Sehr geehrter Herr Kommissar! Ich muss Ihnen heute Industriefeindlichkeit vorwerfen.	Commissioner, today I have to accuse you of hostility to industry.
Was glauben Sie eigentlich, kann man dann mit der europäischen Industrie machen?	What do you actually think will happen to European industry now?
Erst sagt man ja, dass 1998 Schluss ist, dann 2000, dann 2002, und jetzt kommen Sie mit einer Vorlage und sagen überhaupt nichts.	First we are told that, yes, the end will be in 1998, then it is 2000, next 2002, and now you come along with a presentation and have absolutely nothing to say.
Was glauben Sie denn, wie Industrielle arbeiten?	How on earth do you think industrialists work?
Das kann eigentlich nur einem Beamten einfallen, der nie einen Groschen in die eigene Industrie stecken musste.	Such a thing could only occur to a functionary who has never had to put even a brass farthing into his own industry.
Längst könnte die europäische Industrie einen völlig neuen Boom an Kosmetik erleben.	The potential has been there for ages for European industry to have a whole new boom in cosmetics.
Sie haben das verhindert! 1996 haben vier Millionen Menschen unterschrieben, das waren Künstler, schöne Frauen, die gerne Kosmetika benützen.	It is you who have prevented it! In 1996, four million people signed up; they were artists and beautiful women who like using cosmetics.
Und jetzt kommen Sie und sagen, in der Europäischen Union wollen wir ja keine Tiere mehr quälen, wir machen es ein bisschen außerhalb.	Now you come along and tell us that, in the European Union, we do not want to torture animals any more; instead, we will do it just over the border.
Für wie dumm halten Sie dieses Parlament, die schönen Frauen, die Künstler?	This Parliament, the artists, the beautiful women - how stupid do you think we are?
Was glauben Sie eigentlich, wer wir sind?	What do you take us for?
Glauben Sie wirklich, wir sind solche Rassisten oder Ausländerfeinde, dass wir zwar die Viecher hier bei uns in der Europäischen Union nicht quälen, aber wenn es ungarische, polnische Hunde sind, dann quälen wir sie.	Do you really think we are the sort of racists and xenophobes who will not have dumb beasts tormented here in the European Union, but will let it happen to dogs in Hungary or Poland?
Ich finde das ungeheuerlich, und ich finde es eine Beleidigung gegenüber den vier Millionen Menschen, die dagegen unterschrieben haben.	That strikes me as monstrous, and as an insult to the four million people who signed their names to protest against such things.
Wissen Sie, es gibt da einen schönen Satz: 'Der Tag wird kommen, an dem das Töten eines Tieres genau so als Verbrechen betrachtet werden wird wie das Töten eines Menschen'.	You know, there is a fine saying to the effect that 'the day will come when men will look upon the murder of animals as they now look upon the murder of men.'
Das hat nicht irgendein verrückter Tierschützer gesagt, sondern der vielleicht größte Künstler, der je gelebt hat, Leonardo da Vinci.	That was not said by some crazy animal rights activist, but by Leonardo da Vinci, perhaps the greatest artist who ever lived.
Herr Kommissar, es wird Ihnen nie wieder passieren, dass Sie im Zusammenhang mit Leonardo da Vinci genannt werden.	Never again, Commissioner, will you be referred to in the same sentence as Leonardo da Vinci.
Sie sind sicher kein großer Künstler, Sie sind sicher nicht sensibel, aber ich meine, ein bisschen Verständnis könnten Sie für das haben, worüber wir heute sprechen.	You are certainly not a great artist, you are certainly not sensitive, but I do think you might have some idea of what we are talking about today.
Ich möchte Dagmar Roth-Behrendt danken, für das, was sie geleistet hat, und ganz besonders auch Christina García-Orcoyen.	I would like to thank Mrs Roth-Behrendt for what she has achieved, and especially also Mrs Christina García-Orcoyen.
Eine seltene Allianz, Herr Kommissar, ich meine, davor sollten Sie sich fürchten.	An alliance the like of which you rarely come across, and I think that you, Commissioner, should be afraid of them.
