Herr Präsident! Am Anfang Europas stand ein griechischer Gott in der Gestalt eines Stieres.	Europe began with a Greek god in the form of a bull.
Ich bin sicher, daß am Ende Europas nicht eine insulare verrückte Kuh stehen wird.	I am sure that it will not end with an insular mad cow.
Wir müssen das eine sehen, und das hat die BSE-Krise deutlich gemacht: Diese Regierungskonferenz muß Entscheidungsmechanismen voranbringen, die es verhindern, daß eine destruktive Regierung die Handlungsfähigkeit der Europäischen Union blockieren kann.	There is one thing that we must realise, and the BSE crisis has made this clear: this Intergovernmental Conference must make progress on decision-making mechanisms that will prevent a destructive government from obstructing the European Union's ability to act.
Aus diesem Grunde ist die Einführung eines Mehrheitsprinzips in allen Fragen der Gesetzgebung die klare Konsequenz aus der BSE-Krise.	For this reason, the introduction of the principle of taking majority decisions in all matters involving legislation is the clear consequence of the BSE crisis.
Dies ist eine der Aufgaben, der wir uns in dieser Regierungskonferenz stellen müssen.	This is one of the tasks that we must set ourselves at this Intergovernmental Conference.
Herr Präsident Dini, ich bin Ihnen, aber auch Herrn Faggiolo dankbar für die freundliche Haltung gegenüber dem Parlament.	President Dini, I am grateful to you and to Mr Faggiolo for your friendly attitude towards Parliament.
Ich bin auch sicher, daß in der endgültigen Fassung des italienischen Berichtes über den bisherigen Ablauf der Regierungskonferenz die Fragen der Handlungsfähigkeit, der Transparenz und der Ziele des Europäischen Parlaments in angemessener Weise berücksichtigt werden.	I am also sure that, in the final version of the Italian report on the progress made by the Intergovernmental Conference to date, issues such as ability to act, transparency and the objectives of the European Parliament will be adequately taken into consideration.
Lassen Sie mich eine zweite Bemerkung machen.	Let me make a second comment.
Der NATO-Rat in Berlin hat all denjenigen, die bisher aufgrund angeblicher Rücksichtnahme auf die USA gegen eine verteidigungspolitische Identität der Europäischen Gemeinschaft waren, das Alibi genommen.	The NATO Council in Berlin has taken away the excuse used by all those who, on the grounds of their alleged consideration for the USA, were previously against a defence-policy identity for the European Community.
Der NATO-Rat hat mit Zustimmung der USA eindeutig zum Ausdruck gebracht, daß die verteidigungspolitische Identität im beiderseitigen Interesse und im Interesse der Entwicklung der transatlantischen Beziehungen ist und daß wir Europäer aus diesem Grunde dazu aufgerufen sind, unsere eigenen Fähigkeiten zu entwickeln, um gemeinsame Ziele zur Sicherung von Frieden und Freiheit wahrzunehmen.	The NATO Council, with the agreement of the USA, stated quite clearly that such a defence-policy identity is in the interests of both parties and is in the interests of the development of transatlantic relations, and that for this reason we Europeans are called upon to develop our own capacities, in order to fulfil common objectives for the protection of peace and freedom.
Ich meine, daß auch diese Aufgabenstellung in dieser Regierungskonferenz wahrgenommen werden muß, wie manches mehr.	I believe that these tasks will have to be set by this Intergovernmental Conference, as will many other things.
Lassen Sie mich eine letzte Bemerkung machen.	Allow me to make one final comment.
Herr Präsident Santer, ich bin Ihnen dankbar für Ihre Ausführungen.	Mr Santer, I am grateful to you for your remarks.
Wenn die Kommission es wirklich durchsteht, daß die Beseitigung der BSE-Krise unter der Bedingung der Aufgabe der non-cooperation policy erfolgt und daß so Schritt für Schritt unter Einbeziehung aller veterinär- und humanmedizinischen Erkenntnisse und entsprechender auf europäischer Ebene durchgeführter Kontrollmaßnahmen das Vertrauen der Verbraucher zurückgewonnen werden kann und sie das Gefühl haben, ihre Gesundheit sei nicht in Gefahr, dann sind wir in der Lage, diese BSE-Krise zu lösen.	If the Commission succeeds in ensuring that the elimination of the BSE crisis takes place subject to the condition that the policy of non-cooperation is abandoned, so that step by step, by taking all veterinary and medical knowledge into consideration, and by taking corresponding control measures at European level, the confidence of consumers can be won back, so that they feel that their health is not in danger, then we are in a position to solve this BSE crisis.
Wenn Sie diese Bedingungen entsprechend durchhalten, dann sind wir auch in der Lage, dies unseren Verbrauchern deutlich zu machen.	If you are going to stick to these conditions accordingly, then we are also in a position to make this clear to our consumers.
