Herr Präsident, meine Damen und Herren! Ich möchte vier Fragen in diesen Raum stellen.	Mr President, ladies and gentlemen, I would like to put four questions to this Chamber.
Ich beginne mit einem Foto, das ich in der deutschen und auch in der französischen Presse gesehen habe. Es ist ein Foto, das den amerikanischen Verteidigungsminister Rumsfeld mit Saddam Hussein bei einem freundlichen shake hands in Bagdad zeigt.	Let me start with a photograph that I have seen in the German press, and in the French press as well; it shows the American defence secretary Donald Rumsfeld in Baghdad, shaking hands with Saddam Hussein in a friendly way.
Das Foto wurde zu einer Zeit aufgenommen, da Herr Rumsfeld Sonderbeauftragter des Präsidenten Reagan für die Beziehungen zum Nahen Osten war.	The photograph was taken at a time when Mr Rumsfeld was President Reagan's special envoy for relations with the Middle East.
Könnte es sein, dass Herr Rumsfeld damals Gespräche über Waffenlieferungen geführt hat?	Might it be the case that, at that time, Mr Rumsfeld discussed the supply of armaments?
Ich stelle eine zweite Frage: Warum legt die amerikanische Regierung Beweise erst ab 5. Februar vor?	Let me put another question. Why will the American administration provide evidence only after 5 February?
Wenn es die Beweise gibt, dass Saddam Hussein über Massenvernichtungswaffen verfügt, dann wären die Vereinigten Staaten von Amerika verpflichtet, diese Beweise sofort vorzulegen und die Waffeninspektoren mit den Beweisen auszustatten.	If there were evidence that Saddam Hussein possesses weapons of mass destruction, the United States of America would be under an obligation to produce such evidence at once and supply it to the weapons inspectors.
Warum erst ab dem 5. Februar?	Why only from 5 February onwards?
Meine dritte Frage: Die Kollegin Stenzel hat gesagt, gegenüber Nordkorea seien andere Maßnahmen notwendig als gegenüber dem Irak.	My third question is this. Mrs Stenzel said that the measures needed to deal with North Korea were different from those that are appropriate to Iraq.
Dann sagen Sie uns doch welche!	So let her tell us what they are!
Da ist ein Staat Nordkorea, der sagt: Wir bauen Atomwaffen.	Here is one state, North Korea, which announces that it is building atomic weapons.
Da sagen die Vereinigten Staaten von Amerika: Mit euch verhandeln wir.	So the United States of America says, 'We shall negotiate with you.'
Da ist ein anderer Staat, der angeblich Massenvernichtungswaffen besitzt, da sagen die Vereinigten Staaten: Mit dem verhandeln wir nicht, da wird Krieg geführt.	Another state apparently possesses weapons of mass destruction, and the response of the United States is to say, 'We are not negotiating with them; we shall declare war.'
Wo ist da die Logik, wenn sie nicht in der Willkür liegt?	Where is the logic in that, if that is not purely arbitrary?
Ich stelle eine letzte Frage: Könnte es sein, dass die Anti-Terror-Koalition, die so mühsam geschmiedet worden ist nach dem 11. September, durch ein unüberlegtes, kriegerisches Vorgehen zerstört wird?	Let me put my last question. Might it not be that the coalition against terrorism, so laboriously forged in the aftermath of 11 September, might be destroyed by a warlike act that had not been thought through beforehand?
Könnte es sein, dass es Staatsführer muslimischer Staaten gibt, die bereit sind, mit der westlichen Staatengemeinschaft zusammenzuarbeiten, denen es durch ein kriegerisches Vorgehen im Irak unmöglich gemacht wird, in der Anti-Terror-Koalition zu bleiben?	Might there not be heads of Muslim states, prepared to work together with the Western community of states, but who would not be able to remain in the anti-terror coalition if there were hostilities in Iraq?
Und könnte es damit nicht auch sein, dass das, was Frau Stenzel und andere befürworten - und Sie, Herr Morillon, offensichtlich auch -, das größte Terroristenrekrutierungsprogramm wird, das wir in den letzten Jahren gesehen haben?	And might it not be the case that what is advocated by Mrs Stenzel and others - and obviously you, Mr Morillon, as well - might become the greatest campaign for recruiting terrorists that we have seen in recent years?
Wenn Sie all diese Fragen mit Nein beantworten können, dann sind Sie glücklich.	If you can answer all these questions in the negative, then you can count yourselves lucky.
Ich befürchte, Sie werden all diese Fragen mit Ja beantworten müssen, und das ist der Grund, warum meine Regierung zu Recht sagt, diese Region braucht mehr Frieden. Krieg hat sie schon genug!	I fear that you will have to answer them with 'yes', and that is why my government is right to say that what this region needs is more peace, rather than war, of which it has already had enough.
(Beifall)	(Applause)
