. – Frau Präsidentin!	.
Ich danke Ihnen, Frau Kommissarin, für das sehr gemischte Bild, das Sie gezeichnet haben.	Madam President, I am obliged to the Commissioner for painting a picture that is very rich in light and shade.
In der Tat haben wir einige Fortschritte zu verzeichnen, das soll man auch erwähnen und loben. Aber gerade in letzter Zeit gab es wieder große Nervosität und daraus folgend eine Reihe von Maßnahmen, die mit freien Wahlen eigentlich nicht vereinbar sind.	We can indeed point to some advances, and they are deserving of mention and praise, but there has, recently, been a great deal of renewed nervousness, resulting in a number of measures that are not really compatible with free elections.
Es ist ganz entscheidend, dass wir Wahlen nicht nur am Wahltag selbst beobachten – wo auch einige Maßnahmen, die Sie erwähnt haben, Verbesserungen bringen können –, sondern dass wir auch den Zeitraum davor betrachten: Wie transparent wird vorgegangen, in welchem Ausmaß besteht Zugang zu den Medien und welche Möglichkeiten der Entfaltung besitzt die Opposition?	It is quite crucial that we should observe elections not only on the day on which people go to the polls – where some of the measures to which you referred could indeed bring improvements – but also in the period leading up to it; we should observe the transparency of the processes, the degree to which access to the media is possible, and what scope there is for the opposition to develop and expand.
Wir haben bei unserer Zusammenarbeit in der Delegation mit dem Parlament von Aserbaidschan auch eine Reihe von Umständen diskutiert, die uns sehr zu denken geben.	Our delegation’s cooperation with the parliament of Azerbaijan gave us the opportunity to discuss a variety of circumstances that gave us a great deal of food for thought.
Der Botschafter des Landes hatte Mühe zu erklären, warum immer wieder Versammlungen der Opposition abgesagt oder verschoben wurden oder am Stadtrand von Baku stattfinden mussten, wodurch die Opposition sicherlich nicht die Möglichkeit hatte, gerade in Wahlzeiten ihr Programm und ihre Kandidaten vorzustellen.	The country’s ambassador had a job to explain why opposition rallies kept on being cancelled or rescheduled or had to be held on the outskirts of Baku, which must surely have hindered the opposition in its attempts to present its programme and candidates during the run-up to the election.
Es erstaunt mich daher nicht, dass Sie erwähnt haben, dass eine Reihe von Persönlichkeiten, die kandidieren wollten, abgesagt haben, weil sie das Gefühl hatten, dass es keinen fairen Wettstreit und keine fairen Wahlen gibt.	I am, therefore, far from surprised to learn from what you said that a number of intending candidates had changed their minds because they felt that neither the campaign nor the elections were fair.
Aserbaidschan muss sich daran gewöhnen, dass es größere Schritte in Richtung Demokratie und Transparenz setzen muss.	Azerbaijan will have to accept that it needs to make great advances towards democracy and transparency.
Der Transformationsprozess, der in Aserbaidschan stattfinden muss, ist sicherlich schwierig, aber diese Schritte müssen gesetzt werden – trotz des schwelenden Konflikts im Zusammenhang mit Berg-Karabach.	There is no doubting that it has a difficult process of transformation ahead of it, but – the smouldering conflict over Nagorno Karabakh notwithstanding – these steps must be taken.
Bei unserem Besuch im Land ist uns aufgefallen, dass Maßnahmen in Richtung Modernisierung, Transparenz und Demokratie immer wieder mit dem Hinweis, dass man in einem großen Konflikt lebe, abgeblockt worden sind. Das müssen wir zur Kenntnis nehmen.	Something that struck us during our visit to Azerbaijan – and it was something of which we had to take note – was that the fact that the country was living in times of great conflict was the standard reason given for the constant obstruction of measures intended to foster modernisation, transparency and democracy.
Wir wünschen uns natürlich, dass dieser Konflikt gerade im Interesse Aserbaidschans gelöst werden kann. Aber das darf die Regierung nicht daran hindern, die internen Strukturen zu modernisieren und weiterzuentwickeln.	We realise that it is in Azerbaijan’s interest that the conflict should be resolved, and we do of course hope that it can be, but it must not be allowed to prevent the government from modernising and further developing the country’s internal structures.
Sie haben schon vom Zugang zu den Medien gesprochen. Da gibt es große Probleme, auch im Hinblick auf die Sicherheit.	You mentioned media access; the media have great problems to contend with, not least as regards their own safety.
Die Sicherheit von Journalisten, die kritisch und frei sind, ist nicht gewährleistet, wenn ich etwa an Elmar Hüseynov denke, dessen Ermordung noch immer nicht aufgeklärt ist.	The safety of critically-minded and free-thinking journalists cannot be guaranteed; one who comes to my mind is the late Elmar Huseynov, whose murder has still not yet been satisfactorily investigated.
Wir würden uns natürlich wünschen, dass Aserbaidschan hier viel entschlossener vorgeht.	We would of course welcome a much more determined approach to such things on the part of Azerbaijan.
Ich darf in diesem Zusammenhang noch einen weiteren Punkt erwähnen.	There is something else I should like to mention in this connection.
Aserbaidschan ist jetzt ein Land, das aufgrund der Öleinnahmen, die rapide steigen, sehr viele zusätzliche Mittel erwirtschaften kann.	Azerbaijan is now, thanks to the rapid increase in its oil revenues, in a position to raise a great deal more additional funds.
Wir haben bei unserem Besuch auch schon gehört, dass unsere Druckmittel gerade im Zusammenhang mit der europäischen Nachbarschaftspolitik nicht mehr wirklich greifen, weil das Land nicht auf europäische Mittel angewiesen ist.	We heard it said during the course of our visit that we can no longer, through our European Neighbourhood Policy, exert any real leverage, as the country is no longer dependent on European funds.
Dabei sollte es Aserbaidschan doch klar sein, dass es im Interesse der eigenen Bevölkerung unter Absicherung des sozialen und wirtschaftlichen Fortschritts durchaus mehr Investitionen und somit mehr Transparenz, Öffentlichkeit und Demokratie braucht.	It should be obvious to Azerbaijan that its people’s own interests demand that social and economic progress be ensured, and that, if this is to be done, then much more investment will be needed, for which, in turn, more transparency, public access and democracy are prerequisites.
