Herr Präsident, Herr Prodi! Die Diskussion haben wir vor einigen Wochen schon einmal gehabt.	Mr President, Mr Prodi, we have already had this discussion, several weeks ago in fact.
Auch da haben Sie gesagt, Sie wollen den Erfolg Ihrer Arbeit daran messen, wie die Beteiligung bei den Europawahlen 2004 sein wird.	You also made the point then, that you intend to gauge the success of your work from the level of turnout at the European elections in 2004.
Auch damals habe ich Ihnen bereits gesagt: Für ein nicht direkt vom Volk gewähltes Gremium ist das ein recht anmaßendes Vorhaben.	As I said at the time, for a body that is not directly elected by the people, that is a truly presumptuous statement.
Aber Sie haben das vor, und ich werde darauf im einzelnen noch weiter eingehen.	However, that is your plan and I intend to go into it in further detail.
Das Europäische Parlament sowie alle meine Kolleginnen und Kollegen und ich selbst, die wir jeden Tag auf Straßen und Plätzen in Europa für diese Politik der Europäischen Union sehr direkt werben, und nicht nur in den hohen Etagen - ich sage es mal so neutral -, sind darauf angewiesen, daß es funktioniert, und deshalb entnehme ich dem, was Sie gesagt haben, daß die Europäische Kommission noch eindeutiger Hand in Hand mit dem Europäischen Parlament zusammenarbeitet, daß Sie offen und transparent und partnerschaftlich mit uns zusammenarbeiten werden.	The European Parliament, along with myself and all my fellow MEPs - who every day are to be found canvassing in the most direct manner for support for these EU policies, down on the streets and squares of Europe, and who do not just sit in ivory towers - to put it without fear or favour - are reliant on its being able to function. Therefore, I infer from what you have said that the European Commission will work in even closer cooperation with the European Parliament, in a spirit of openness, transparency and partnership.
Ob alle Tendenzen der letzten Wochen Anlaß zu Hoffnungen geben, daß diese Offenheit und Transparenz tatsächlich Platz greifen, werden wir noch sehen, und ich werde Sie daran messen.	We have yet to see whether any of the developments of the last few weeks give us cause to hope that such openness and transparency will actually gain ground, and I intend to judge you on this.
Sie haben heute sehr viel zu den Bereichen gesagt, Herr Prodi, für die ich für meine Fraktion verantwortlich bin.	You have said a great deal today, Mr Prodi, on the areas that I have responsibility for on behalf of my group.
Das sind die Bereiche Umweltpolitik, Verbraucherschutz und Gesundheitspolitik.	The areas in question are environmental policy, consumer protection and health policy.
Erstmals habe ich heute von Ihnen keine ökonomische Vorlesung mit nur einigen kleinen Sommersprossen zu Lebensmittelbehörden, Doping oder Flugverspätungen gehört, und dafür lobe ich Sie ausdrücklich.	I would expressly like to commend you for the fact that, for the first time in my experience, you have diverged from your usual practice of delivering a lecture on economics with only a smattering of comments on matters such as food authorities, doping, or flight delays.
Das tue ich ja selten, und deshalb sage ich das auch gerne hier.	I seldom commend you, and so I am keen to take the opportunity to say this.
Das war im Gegensatz zu sonst eine Rede, die wirklich konkreter war, und die ich auch verstehen konnte.	Unlike speeches you have made in the past, this one was far more down-to-earth and what is more, I could understand it.
