. – Herr Präsident!	.
Die Europäische Union verspricht ihren Bürgerinnen und Bürgern einen Raum der Freiheit, der Sicherheit und des Rechts.	Mr President, the European Union promises its citizens an area of freedom, security and justice.
Viele Gefahren lehren uns täglich, dass für die Garantie der Sicherheit eine aktive und offensive Politik notwendig ist. Aber auch die Freiheit ist nicht nur eine Sache des Rechts, sondern braucht ihrerseits diese aktive und offensive Politik.	The many threats to which we are exposed on a daily basis teach us that positive and proactive policies are needed not only to guarantee security, but also to secure freedom, as the latter is not merely a matter of justice.
Diese Erkenntnis hat die Berichterstatterin zur Basis ihres Berichtes gemacht.	The rapporteur is aware of this fact, and has based her report upon it.
Ich danke ihr dafür. Ich gratuliere ihr, es ist wirklich eine hervorragende Grundlage, um eine ganz wichtige Entscheidung zu treffen.	I should like to thank her for doing so and to congratulate her, as this really is an eminently suitable basis for such a key decision.
Ich weiß, sie war nicht einfach, denn ich habe als Berichterstatter des Artikel-7-Verfahrens eine kleine Kostprobe der Konflikte durch die Fraktionen erfahren, die auch Herr Kirkhope hier kurz angesprochen hat.	I am well aware of how difficult this decision was, because I too, in my capacity as rapporteur on the Article 7 procedure, have had a brief taster of the intragroup disputes that Mr Kirkhope also mentioned in passing.
Ich behaupte, es geht eher um die ewige Angst, die Europäische Union könne wieder irgendwo eine Autorität erlangen, als um sonstige Ängste.	It is my firm belief that these stem primarily from the perpetual fear that the European Union could regain authority in certain fields, rather than from any other fears.
Meine Fraktion ist außerordentlich glücklich, dass sich in diesen Konflikten einige Prinzipien durchgesetzt haben.	My group is absolutely delighted that a number of principles have been agreed on in the course of these disputes.
Diese Agentur ist eine Unterstützung der Mitgliedstaaten und nicht eine Bevormundung.	This agency is intended to act in support of the Member States, rather than to take decisions on their behalf.
Es geht nicht um ständige Überwachungssysteme, sondern es geht um ein Institut der Unterstützung, ein Frühwarnsystem, ein Instrument der Sensibilisierung und des Dialogs.	The aim is not to put in place blanket surveillance systems, but to provide institutional support, an earlywarning system and an instrument for awareness raising and dialogue.
Diese Agentur ist eine Vernetzung von Informationen und Aktivitäten und nicht ihre Bürokratisierung. Ich denke, jeder, der in dieser Materie arbeitet, weiß, wie dringend notwendig dieses von der Berichterstatterin angesprochene Netz der Netze in Europa ist.	Information and activities will be linked up by this agency rather than bureaucratised, and I believe that anyone working in this field will be aware of the urgent need for a European network of networks, as mentioned by the rapporteur.
Es geht nicht um die Konkurrenzierung von Gerichten, sondern um die Vermeidung von gerichtlichen Auseinandersetzungen um die Menschenrechtsprävention in Europa.	The intention is not that courts should compete among themselves, but that legal disputes over the prevention of human rights violations in Europe should be avoided.
Es geht nicht um eine globale Rolle für Europa als Mahnerin der gesamten Welt, die allzu gerne die Splitter in den Augen der anderen sieht, sondern um eine kritische Selbstvergewisserung, um eine ständige kritische Bestandsaufnahme der Menschenrechte in unserem eigenen Haus.	No one wants to see Europe assuming the role of Big Brother to the rest of the world, or for it to be overeager to see motes in the eyes of its neighbours; what we want is for it to take a critical look at itself, and to carry out continual and critical assessments of the human rights situation within its own borders.
Vielen Dank, Sie haben unsere Unterstützung, und ich hoffe, dass die Kommission die besondere Rolle des Parlaments als Anwalt der Grund-, Menschen- und Bürgerrechte ernst nimmt und diesem Bericht auch eine entsprechende Rechtsgrundlage – wie vom Haus gewünscht – zuerkennt.	I should like to thank the rapporteur, and to assure her of our support. I hope that the Commission will give due consideration to Parliament’s special role as an advocate of fundamental rights, human rights and civil liberties, and that it will also comply with this House’s wishes by providing an appropriate legal basis for this report.
