Herr Präsident!	.
Es ist wie immer schwierig, das zu sagen.	Mr President, as always there is no easy answer.
Ich werde versuchen, auf die Fragen einzugehen, möchte jedoch die ganze Antwort mit einem Zitat von Herrn Kindermann anfangen, nämlich: Politisches Zeichen der Solidarität. Und das ist genau das, was wir mit diesem Projekt tun.	I shall attempt to address all the questions that have been asked, but I should like to start my answer with a phrase that Mr Kindermann used; ‘a political sign of solidarity’.
Es ist nur ein kleiner Teil eines weitaus größeren Hilfsprojekts. Es ist eine Möglichkeit, schnell und punktuell Hilfe zu leisten.	Our aim is to send out precisely such a sign by means of this project, which is merely a small part of a much larger aid measure, and one way in which we can provide aid rapidly and to those who need it.
Wenn Sie gestatten, werde ich nun genauer auf einige konkrete Fragen eingehen.	With your permission, I am now going to give a more specific answer to a few particular questions.
Zunächst die Frage der Berechnung.	First, the question of the calculation.
Ich habe Zahlen gehört wie 47 000, 50 000 Euro pro Boot.	I have heard talk of EUR 47 000, 50 000 per vessel.
Wie bereits vor dem Fischereiausschuss dargelegt, sind diese Zahlen nicht richtig.	As has already been explained to the Committee on Fisheries, these figures are not correct.
Die Bootsbesitzer erhalten ohnehin einen Zuschuss für das Abwracken.	The vessels’ owners are paid a scrapping premium for them in any case.
Der einzige Unterschied ist, dass die Boote nicht abgewrackt, sondern überführt werden, und die Transportkosten betragen nicht mehr als 4 000 Euro pro Boot.	The only thing that changes is that the vessels are not scrapped but transferred, and the transport cost is no more than EUR 4 000 per vessel.
Dies sind also die Kosten, die zu berücksichtigen sind, und nicht die aus der Luft gegriffenen Zahlen, die genannt wurden.	That is therefore the cost to be taken into account and not the fanciful figures that have been mentioned.
Im Übrigen handelt es sich nicht um kleine Boote.	Incidentally, they are not small boats.
Kleine Boote wie Dinghies können selbstverständlich vor Ort neu gebaut werden.	Small boats like dinghies can of course be rebuilt on the spot.
Wir sprechen hier jedoch von mittelgroßen, maximal 12 Meter langen Schiffen, und die für den Bau solcher Schiffe erforderlichen Kapazitäten sind vor Ort nicht vorhanden.	What we are talking about here, however, are medium-sized vessels of not more than 12 metres, and the necessary capacity for building such vessels does not exist on the spot.
Eine andere Frage betraf das Alter der Boote.	Another question was about the age of the vessels.
Das Durchschnittsalter der sich in Betrieb befindlichen europäischen Boote beträgt 25 Jahre; das der für den Export in die vom Tsunami betroffenen Länder bestimmten Boote wird zwischen 5 und 20 Jahren liegen.	The average age of European vessels in service is 25 years; that of the vessels that will be exported to the countries affected by the tsunami will be between 5 and 20 years.
Es handelt sich also nicht um sehr alte Boote.	We are not therefore talking about very old boats.
Was die Frage der Sachverständigen betrifft, möchte ich sagen, dass Sachverständige bereits in die Region entsandt wurden und noch weitere entsandt werden.	On the question of experts, I would like to say that experts have already been sent out and more will be sent.
Darüber hinaus führt die FAO auf unsere Anfrage hin eine Bewertung des Bedarfs durch, und dieser Punkt wird auf der Ministertagung am 12. März, bei der Herr Borg die Kommission vertreten wird, auf der Tagesordnung stehen.	Moreover, it is at our request that the FAO is making an assessment of needs and this point will be on the agenda for the 12 March ministerial meeting, at which Mr Borg will represent the Commission.
Wir sind alle für eine enge Zusammenarbeit mit der FAO; wir werden dafür sorgen, dass unsere Sachverständigen dazu beitragen.	We are all in favour of close cooperation with the FAO; we will see to it that our experts are able to contribute.
Was das einzurichtende Frühwarnsystem betrifft, ist die Kommission dabei, gemeinsam mit Sachverständigen internationaler Instanzen durch einen Transfer unserer Technologien in die betroffenen Länder Frühwarnsysteme einzurichten.	So far as the establishment of the early warning system is concerned, together with experts from international bodies, the Commission is in the process of setting up early warning systems by transferring our technologies to the countries concerned.
Herr Präsident, ich möchte sehr deutlich sagen, dass der Zustand der Boote und ihre Eignung für den gegebenen Bedarf von den Sachverständigen überprüft werden.	Mr President, I would like to say very clearly that the condition of the vessels and their suitability for the needs will be examined by experts.
Die Bedarfsermittlung wird von der FAO durchgeführt.	The needs will be assessed by the FAO.
Wir möchten bereit sein, wenn Anfragen kommen.	We want to be ready if requests come in.
Wir haben bereits von Thailand eine Anfrage für Boote erhalten.	We have already had a request for vessels from Thailand.
Letztlich denke ich, Herr Präsident, dass es sich hierbei um eine moralische Frage handelt.	Finally, Mr President, I believe this is a moral question.
Können wir hier weiterhin Boote abwracken, wenn sie Fischern am anderen Ende der Welt nützen können?	Can we continue to scrap vessels here if they can be of use to fishermen on the other side of the world?
