Herr Präsident, das Projekt der Osterweiterung ist ohne Zweifel von historischer Bedeutung.	Mr President, the eastward enlargement project is without doubt of historic significance.
Nach dem Fall des Eisernen Vorhangs ist es logische Konsequenz, daß die Union am Bau des gemeinsamen Hauses Europa weiterarbeitet.	After the fall of the Iron Curtain it is a logical consequence that the Union continues with the building of the common house of Europe.
Um der historischen Aufgabe gerecht zu werden, muß den Menschen, die bereits jetzt in diesem Haus wohnen, die Sicherheit gegeben werden, daß sowohl das Fundament als auch der Erweiterungsbau auf soliden Grundlagen stehen.	In order to do justice to this historic task, the people who already live in this house must be given the security that both the foundations and the enlarged structure are built on solid bases.
Ohne Zweifel stehen breite Bevölkerungskreise dem Erweiterungsschritt skeptisch gegenüber.	Without doubt broad sectors of the population have a sceptical view of our steps towards enlargement.
Es muß die Aufgabe dieses Parlaments sein, Ängste und Befürchtungen der Unionsbürger ernst zu nehmen und diese in die Beurteilung des Erweiterungsprojektes miteinzubeziehen.	It must be the task of this Parliament to take seriously the fears and anxieties of the Union's citizens and to incorporate these into the assessment of the enlargement project.
Mit der Agenda 2000 präsentierte die Kommission ein Papier, das den Weg in eine erweiterte Union weisen soll.	With Agenda 2000 the Commission presented a paper designed to show the way to an enlarged Union.
Um bei meinem Bild zu bleiben: Die Agenda 2000 stellt lediglich eine Skizze für den Erweiterungsbau dar, keinesfalls aber einen detaillierten Bauplan.	To stay with my image: Agenda 2000 represents only a sketch of the enlargement structure but not by any means a detailed building plan.
Es sind also noch viele Korrekturen institutioneller, finanzieller und politischer Natur notwendig.	Therefore a large number of corrections of an institutional, financial and political nature are still necessary.
Ich bin österreichische Abgeordnete.	I am an Austrian member.
Österreich ist wie kein anderes Land der Union umgeben von potentiellen Beitrittskandidaten.	Austria is like no other country in the Union, surrounded by potential candidates for entry.
Es wird daher die Auswirkungen der EU-Osterweiterung vielleicht unmittelbarer und empfindlicher als manch anderer Mitgliedstaat spüren.	So it will probably feel the effects of the eastward enlargement of the EU more directly and more sensitively than many other Member States.
Wie sensibel die Frage der Erweiterung zu werten ist, zeigt eine einstimmig beschlossene Entschließung des Oberösterreichischen Landesparlaments.	Just how sensitive the question of enlargement actually is can be seen from a unanimously passed resolution of the Upper Austria State Parliament.
Darin wurde von allen Vertretern der Fraktionen gefordert, daß es so lange keine Beitrittsverhandlungen mit der Tschechischen Republik geben dürfe, bis nicht auf den Weiterbau des AKW Temelin verzichtet werde.	In this all party representatives were requested to ensure that there would be no entry negotiations with the Czech Republic until further work on the building of the Temelin nuclear power station was abandoned.
Dies ist erklärter Wille und Ziel eines demokratisch legitimierten österreichischen Parlaments, den die österreichischen Europaabgeordneten zu vertreten aufgefordert wurden.	This is the stated wish and aim of a democratically legal Austrian Parliament which the Austrian MEPs were requested to represent.
Das Haus Europa braucht solide Grundfesten.	The house of Europe needs solid foundations.
Um es zu erweitern, muß Stein auf Stein oder besser gesagt Stein nach Stein gesetzt werden.	In order to enlarge it stone must be laid on stone, or rather stone after stone.
Willy Brand erklärte beim Fall der Berliner Mauer, es wächst zusammen, was zusammengehört.	Willy Brandt declared at the time of the fall of the Berlin Wall that what belongs together, grows together.
Geben wir Europa die Zeit zusammenzuwachsen!	Let us give Europe the time to grow together!
