Auch mir geht es darum, daß wir dieses hohe Schutzniveau auch definieren müssen.	I too am concerned with defining this high level of protection.
Da reicht es mir nicht aus, daß wir sagen: Gerade bei den Nichteinwilligungsfähigen muß eine andere Person die Zustimmung geben.	It is not enough for us to say: someone else has to give consent for those who are incapable of giving their informed consent.
Nein!	No!
Deshalb haben wir einen Änderungsantrag eingebracht, der ganz klar vorsieht, daß an Nichteinwilligungsfähigen keine Forschung ohne direkten Nutzen durchgeführt werden muß.	That is why we have tabled an amendment which provides quite plainly that no research may be carried out on people who are incapable of giving their informed consent unless it is of direct use.
Das ist ganz entscheidend, denn was bedeutet es denn im Umkehrschluß?	This is a crucial point, because what would happen in the reverse case?
Wenn wir diesen Änderungsantrag hier nicht unterstützen, bedeutet es doch de facto , daß nur irgendjemand für diese Nichteinwilligungsfähigen zustimmen muß und schon Forschung an diesen Menschen ohne jeglichen Nutzen gemacht werden kann.	If we do not endorse this amendment, then that would surely automatically mean that anyone at all can consent on behalf of these people who are incapable of giving their informed consent, and that research can be carried out on them which is of no use at all.
Da sind wir wirklich bei Versuchskaninchen mit Menschen, denen ein hohes Schutzniveau zugesprochen werden muß.	Then we really will be treating people to whom we have promised a high level of protection just like guinea pigs.
Ich glaube, hier dürfen wir auch nicht vergessen, daß wir hier Gefahr laufen, die Tür zur Eugenik aufzustoßen, wenn wir nicht gewährleisten, daß es ein direktes Schutznivau gibt.	In my view, we must not forget either that we are running a risk of opening the door to eugenics, unless we guarantee a direct level of protection.
Gerade die Vergangenheit hat bewiesen, daß man an geistig behinderten Menschen, die nicht in der Lage sind, ihre Zustimmung zu geben, keine Forschung machen darf, ohne daß es einen direkten Nutzen gibt.	The past has after all proved that we must not carry out research on the mentally handicapped who are incapable of giving their consent, unless it is of direct use.
Daher bitte ich Sie ganz eindringlich, diesen Änderungsantrag der Fraktion Die Grünen zu unterstützen, damit genau das gewährleistet ist.	So I would very urgently ask you to support this amendment by the Green Group, so that we can ensure precisely that.
Ich betone es auch noch einmal ganz besonders vor dem Hintergrund, daß auch über die Bioethik-Konvention hier im Europäischen Parlament sehr heftig diskutiert worden ist, insbesondere auch in vielen gesellschaftlichen Gruppen.	Let me also place special emphasis on this aspect against the background of the heated discussions we have already seen here in the European Parliament, and especially also among many social groups, concerning the bioethics convention.
Die Bundesregierung hat diese Bioethikkonvention nicht unterzeichnet, genau aus diesen von mir genannten Gründen.	The Federal Republic has not signed this bioethics convention, for precisely the reasons I have just given.
Daher muß es unsere höchste Aufgabe sein, daß wir nicht einer Richtlinie zustimmen, die nicht gewährleistet, daß speziell dieser Schutz der Nichteinwilligungsfähigen gegeben ist.	That is why our prime concern should be that we do not approve a directive which does not specifically guarantee protection for people who are incapable of giving their informed consent.
Daher bitte ich Sie um Zustimmung zu unserem Änderungsantrag, der klar zum Ausdruck bringt, daß hier nur Forschung mit direktem Nutzen gemacht werden darf und alles andere ausgeschlossen ist.	I would therefore ask the House to endorse our amendment, which makes it clear that research may only be conducted if it is of direct use, and that any other research is quite out of the question.
