– Ich möchte noch kurz zur Abstimmung etwas sagen.	. I would just like to make a brief point on the vote.
Wir haben die Möglichkeit, diesen Bericht in der ersten Lesung und damit noch in dieser Legislaturperiode abzuschließen.	We have the opportunity to conclude this report at first reading, that is, during the current legislative term.
Ein kurzer Hinweis zur Abstimmung selbst: Ich bitte um Unterstützung für meine Änderungsanträge, die ich im Namen meiner Fraktion eingereicht habe.	Let me comment briefly on the vote itself: I would ask you to support my amendments, which I have tabled on behalf of my group.
Die Änderungsanträge zur Internalisierung der externen Kosten möchte ich ablehnen, weil sie mit diesem Bericht nichts zu tun haben.	I would like to reject the amendments on the internalisation of external costs because they have nothing to do with this report.
Dies ist ein technischer Bericht, und die Internalisierung der externen Kosten wird im nächsten Jahr im Rahmen der Regelung der Infrastrukturtarifierung geregelt.	This is a technical report, and the internalisation of external costs will be regulated next year when we deal with infrastructure-charging systems.
Das muss man trennen.	The two issues must be kept separate.
Änderungsanträge, die sich auf den Schutz des Londoner Systems beziehen, die Änderungsanträge 22, 44 aber auch 41 und 45 sind absolut überflüssig, weil der Richtlinienentwurf ohnehin nichts mit städtischen Systemen oder mit anderen Insellösungen zu tun hat, wobei ich mit Insel jetzt nicht unbedingt die englische Insel meine.	Amendments which relate to the protection of the London system, that is, Amendment Nos 22 and 44, but also 41 and 45, are completely redundant as the draft directive has nothing to do with urban systems or other island solutions, and by island, I do not necessarily mean the British isles.
Ein Hinweis zu Galileo.	Let me make a comment on Galileo.
Die Änderungsanträge 43 und 48 sind identisch.	Amendment Nos 43 and 48 are identical.
Sie wollen beide dasselbe.	They both aim to achieve the same thing.
Änderungsantrag 48, den ich eingereicht habe, steht meines Erachtens am besseren Platz.	Amendment No 48, which I tabled, is in the more appropriate place, in my view.
Deshalb bitte ich für ihn um Unterstützung.	I would therefore ask you to support it.
Ich bitte Sie, meine Damen und Herren, geben Sie Ihrem Herzen einen Stoß.	Please, ladies and gentlemen, take heart.
Stimmen Sie mit meiner Fraktion, und dann machen wir, was richtig ist, und wir können es noch in dieser Legislatur abschließen.	Vote with my group, and then we can do the right thing and conclude the matter during this parliamentary term.
