amtierender Ratspräsident.	President-in-Office of the Council.
Herr Präsident, liebe Kolleginnen und Kollegen! Ich möchte nur auf einige Punkte eingehen: Was haben wir denn eigentlich für eine andere Alternative als einen Dialog mit unseren Nachbarn?	Mr President, ladies and gentlemen, I should just like to discuss a few points. What alternative is there but dialogue with our neighbours?
Die Europäische Union hat in den letzten Jahren eine breite Palette an Maßnahmen festgelegt, und zwar nicht einseitig, sondern in Kooperation mit vielen arabischen Ländern.	In recent years, the EU has laid down a wide palette of measures - not unilaterally, but in cooperation with many Arab countries.
Die Stichworte sind genannt worden: der Barcelona-Prozess beispielsweise, aber auch der derzeitige Ausbau der Nachbarschaftspolitik.	The key ones have already been mentioned: the Barcelona process, for example, and also the further development of neighbourhood policy that is currently taking place.
Trotzdem stellen wir unterschiedliche Entwicklungen in den einzelnen Ländern fest.	Nevertheless, we note different developments in individual countries.
Wer hätte etwa gedacht, dass der König von Marokko eine Wahrheitskommission einsetzt, die versucht aufzuarbeiten, was in der Vergangenheit an Verbrechen begangen worden ist?	Who would have thought, for example, that the King of Morocco would have launched a truth commission seeking to reappraise what crimes were committed in the past?
Natürlich erfüllt dieser Untersuchungsausschuss nie die Kriterien, die wir in den europäischen Mitgliedstaaten an Untersuchungsausschüsse knüpfen.	Of course, this committee of inquiry does not come close to meeting the criteria the EU Member States lay down for such committees.
Oder wer hätte gedacht, dass in bestimmten Ländern weit weg von uns das Wahlrecht ausgebaut wird?	Who would have thought, also, that certain distant countries would extend the right to vote?
Es ist viel geschehen, doch müssen wir feststellen, dass wir in bestimmten Punkten mehr erreicht hätten.	A great deal has happened, but it is apparent that, on certain points, we could have achieved more.
Die Bevölkerung in den arabischen Ländern hätte sich auch erhofft, stärker an wirtschaftlichen Entwicklungen teilhaben zu können als dies der Fall ist.	The people in Arab countries would also have hoped for a greater share in economic development than has been the case.
Aber es gibt keine andere Alternative als den Dialog, als das Gespräch.	There is no alternative to dialogue, however.
Wenn Sie, Herr Rocard, davon sprachen, dass wir eine Strategie entwickeln müssen, dann kann dies immer nur zusammen mit den arabischen Ländern funktionieren.	Mr Rocard spoke of the need for us to develop a strategy: this can only work in cooperation with Arab countries.
Möglicherweise unterscheidet sich die Strategie gegenüber einem bestimmten Land von der Strategie gegenüber einem Land, das zu den Golfstaaten gehört.	It is possible that the strategy towards a certain country will differ from that towards a Gulf State.
Wichtig ist aber auch festzustellen, dass die Arabische Liga wieder an Stärke gewonnen hat.	It is also important, however, to note that the Arab League has regained strength.
