Herr Präsident, man lernt nie aus!	Mr President, we live and learn!
Ich bin eigentlich überrascht, wie positiv Kollege von Habsburg den Iran sieht.	I am genuinely surprised to hear how favourably Mr von Habsburg assesses the Iranian situation.
Ich bin sehr solidarisch mit der Gruppe der Bahai und stimme darin überein, daß die nicht verfolgt werden dürfen.	I am very much on the side of the Bahai and agree that they must not be persecuted.
Aber so zu tun, als ob alles, was über die Frauen, über intellektuelle und kritische Leute gesagt wurde, nichts wäre, da bin ich eigentlich fassungslos!	But to act as if everything that has been said about women, about intellectuals and about critics of the regime was irrelevant - I am simply stunned!
Es ist schon richtig, und so wollte ich eigentlich auch beginnen, Iran hat einen neuen Präsidenten, den ich nach seinen Äußerungen, nach seinen Einstellungen durchaus schätze, auch wenn ich nicht alles im Detail teile.	It is certainly true, and this is how I had actually planned to begin, that Iran has a new President, for whom, on the basis of his statements and attitudes, I certainly have a high regard, even if I do not agree with him on every detail.
Aber vielleicht gerade weil hier ein relativ liberaler Präsident vom Volk gewählt wurde, gegen die Meinung der Ayatollahs oder zumindest der fundamentalistischen Ayatollahs, gibt es im Iran eine deutliche Bewegung, die diesem "liberalen Spuk" ein Ende machen möchte und die massiv gegen die Öffnung und gegen die Liberalisierung im Lande kämpft.	But perhaps it is precisely because a relatively liberal President has been elected by the people against the wishes of the ayatollahs, or at least of the fundamentalist ayatollahs, that there is a definite current within the country which seeks to exorcise the spectre of liberalism and which is mounting a massive campaign against foreign influence and liberalisation in the country.
Das sind alles sehr relative Begriffe, aber man kann durchaus die Möglichkeit sehen, auch den Dialog mit dem Iran fortzusetzen.	But these things have to be kept in perspective, and it is certainly possible to envisage a continuation of dialogue with Iran.
Nur, bei jedem Dialog, ob man ihn kritisch oder offen nennt, muß doch klar sein, daß dieses Parlament nicht darauf verzichten kann, die Menschenrechte auch im Iran, so wie in vielen anderen Ländern, in den Mittelpunkt seiner Überlegungen zu stellen, und diesen Kampf führen muß.	However, any dialogue, whether we call it critical or open, must be conducted on the clear understanding that Parliament cannot refrain from putting human rights in Iran, as in many other countries, at the heart of its deliberations and that it is duty bound to wage this campaign.
Sicherlich muß es auch Kommission und Rat auffordern, gerade auch der Entwicklung der Menschenrechte volle Aufmerksamkeit zu schenken.	We certainly must also call on the Commission and the Council to keep a very watchful eye on the development of human rights.
Ja, wir stehen zu dem Dialog mit dem Präsidenten des Irans.	Yes, we support dialogue with the President of Iran.
Wir hoffen, daß er auch zunehmend für den Iran insgesamt spricht.	We hope that he will speak increasingly for the whole of the Iranian nation.
Aber das wird er auch nur können, wenn er stark genug ist, den Kampf gegen die fundamentalistischen und mit dem Terror verbundenen Gruppen wirklich auch erfolgreich zu führen.	But he will only be able to do so if he is strong enough to wage a successful struggle against the fundamentalists and the groups who engage in or condone terrorism.
Daher hoffe ich, die Kommission und der Rat werden das ebenso sehen wie dieses Parlament.	I therefore hope that the Commission and the Council will see the situation in the same light as this Parliament.
