Herr Präsident! Mein Kollege Karim hat völlig Recht.	Mr President, Mr Karim is absolutely right.
Das Problem liegt einfach in der Formulierung, in den Grundlagen von Artikel 20 selber begründet.	The problem is in the very wording, in the fundamentals of Article 20 itself.
Man muss sich ja auch die Realitäten vor Ort anschauen.	It is necessary to take account of the reality on the ground.
Natürlich ist das notwendig.	Of course it is.
Erstmal haben nicht alle Mitgliedstaaten einen Konsularschutz, und in vielen Fällen ist dieser Konsularschutz eben sehr begrenzt, und die Sicherheitsstrukturen sind noch nicht einmal für die Konsule selber ausreichend.	For one thing, not all Member States have consular protection and in many cases what consular protection there is is very limited and the security structures are insufficient even for the consuls themselves.
Ich habe das im Fall des deutschen Konsuls erlebt, der dann in der Nacht herumgefahren ist, um Kollegen einzusammeln, ohne Sicherheitsschutz, mit seinem Fahrer, unterwegs auf Straßen, die absolut unsicher waren.	I have personal experience of this in relation to the German consul, who drove through the night in order to gather his colleagues, with his driver but no security, on roads that were by no means safe.
Das sind einfach Bedingungen, die nicht akzeptabel sind.	Quite simply, such conditions are unacceptable.
Man kann nicht in Länder wie Indien oder in lateinamerikanische Länder gehen - es gibt viele andere Länder, wo man in einem so kritischen Umfeld wie Mumbai vor Ort präsent sein muss - und dann vor Ort kleine Stäbe ohne ausreichende Sicherheitsstrukturen.	You cannot go to countries such as India or to Latin American countries - there are many other countries where a presence is required in such a critical place as Mumbai - and then have only a small number of staff and inadequate security structures.
Nachrichtendienstliche Informationen werden überhaupt nicht übermittelt, Zugang zu den Daten liegen den Mitgliedstaaten nicht vor, usw. Das heißt, die Begrenzungen sind unendlich, und man braucht sich nicht zu wundern, dass die Mitgliedstaaten ihren Schutz für ihre Bürger oder für ihre Abgeordneten gar nicht in dem Umfang ausüben können, wie sie es vielleicht sogar wollen.	Intelligence is not passed on at all, the Member States have no access to the information, and so on. This means that there is no end to the limitations and it is no wonder that Member States are unable to provide the degree of protection for their own citizens or for their officials to anything like the degree they may wish.
Deshalb ist es wichtig, dass Sie im Rat und auch in der Kommission eine sorgfältige Analyse vornehmen.	That is why it is important that the Council and the Commission undertake a careful analysis of this issue.
Man kann nicht predigen, immer weltweit präsent zu sein und Europa als globalen Partner zu sehen, und dann nicht einmal eine Sicherheitsstruktur haben und über keine intelligenten Informationssysteme verfügen.	You cannot preach about always being present all over the world and seeing Europe as a global partner and then fail to even have in place a security structure and not be in possession of any intelligent information systems.
Wir machen uns einfach lächerlich, wenn wir unsere eigenen Strukturen nicht sauber analysieren und den entsprechenden Schutz, den wir dann noch brauchen, gewährleisten.	We are simply opening ourselves up to ridicule if we do not thoroughly analyse our own structures and ensure the requisite level of additional protection.
Ich würde also dringend raten, dass Sie die Strukturen wirklich noch einmal sauber analysieren, dass Sie eine Simulation durchführen, wie das auch andere Staaten machen, und dass Sie sich nicht nur auf die zentralen Hauptstädte, also die Metropolen konzentrieren, sondern in solchen Mega-Ländern und Mega-Cities sich einfach auch einmal vergegenwärtigen, dass sie eben auch in den anderen großen Städten dieser Welt entsprechende Vertretungen brauchen.	I would thus offer you the urgent advice that you really must carry out a thorough re-evaluation of the structures, that you must carry out simulations, as other States do, and that you must not concentrate solely on the key capitals, the metropolises, but that in these megacountries and megacities you just have to realise that you also need appropriate representation in the other large cities of the world.
Mumbai ist nicht zum letzten Mal passiert.	Mumbai will happen again.
Es wird ein neues Mumbai geben, genau wie es andere Katastrophen gegeben hat.	There will be another Mumbai, just as past disasters have been repeated.
Vergegenwärtigen Sie sich das und stellen Sie sich bitte darauf ein!	Realise this and, I urge you to be prepared for it.
