- Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, I welcome today's debate.
Die heutige Aussprache begrüße ich. Ich bin froh, dass wir sie am Ende des Jahres der Sprachen machen, weil wir im Laufe dieses Jahres mehrfach versucht haben, die Kommission anzuregen, etwas für die Minderheitensprachen zu tun.	I am delighted that we are holding it at the end of the European Year of Languages, because we have tried several times during the course of this year to persuade the Commission to do something about lesser-used languages.
Die Kommission hat immer geantwortet, dass sie das nicht macht, weil sie es erst im nächsten Jahr in einem eigenen Programm machen will.	The Commission's standard response has been that it was not doing anything because it wanted to devise a special programme next year.
Jetzt haben wir läuten hören, dass die Kommission in Sachen Minderheitensprachen gar nichts unternehmen will.	Now we hear that the Commission does not intend to do anything about lesser-used languages.
Insofern bin ich froh, dass wir diese Frage heute auf dem Tisch haben.	In this respect I am glad that this question is on today's agenda.
Ich bin traurig, dass sich irgendein Witzbold erlaubt hat, den Titel dieser Entschließung zu ändern.	I am sorry that some joker has taken the liberty of changing the title of the resolution.
Wir reden nicht über Sprachenvielfalt, sondern wir reden über die lesser used languages. Deswegen tut es mir auch ein bisschen Leid, Herr Kommissar Nielson, dass Sie hier keine Reverenz an eine lesser used language, nämlich Dänisch, gemacht und Dänisch gesprochen haben.	We are not talking about language diversity, we are talking about the lesser-used languages, which is why I am also rather sorry, Commissioner Nielson, that you chose not to honour a lesser-used language by speaking Danish.
Das ist keine Frage des Stolzes, das ist eine Frage der Achtung vor der Vielfalt der europäischen Sprachen, zu denen das Dänische eben auch gehört.	It is not a question of pride, it is a question of respect for the diversity of European languages, of which Danish is one.
Ich bin dafür, dass wir darüber reden, ich bin dafür, dass wir mehr darüber reden, ich bin dafür, dass die Kommission etwas dazu macht.	I am all for talking about it, I am all for talking more about it, I am all for the Commission's doing something about it.
Aber ich muss Ihnen ganz ehrlich sagen, dieser Text, den wir heute vorliegen haben, ist mit heißer Nadel gestrickt, er ist unseriös und unprofessionell, und ich bin durchaus nicht stolz darauf.	But I must say to you in all honesty that the text before us today has been thrown together, it is slapdash and flippant and I, for one, am not proud of it.
Das muss ich einfach sagen.	I am sorry, but it has to be said.
Wir hätten uns etwas Besseres leisten können, wenn wir mehr Zeit dazu gehabt hätten. Deswegen sage ich auch, dass unsere Fraktion nicht alle Änderungsanträge unterstützt.	We could have done a much better job if we had had more time, which is why our group does not support all the proposed amendments.
Ich denke, dass der Artikel 3 besser ist als der Änderungsantrag 4. Warum soll ich denn Ihrem Änderungsantrag zustimmen, wenn unser Artikel in der Entschließung besser ist als Ihr Änderungsantrag?	I think that Article 3 is better than Amendment No 4. Why should I agree to your proposed amendment when our article in the resolution is better than your proposed amendment?
Wir meinen ja dasselbe.	We mean the same thing.
Wir sollten da nur etwas seriöser sein.	We just need less flippancy here.
Zur anderen Frage: Wir alle hier im Hause - und ich persönlich auch - sind für ein Mehrheitsvotum in Sachen Kultur.	On another question, all of us here in the House - including me personally - are in favour of qualified majority voting on cultural affairs.
Aber wir sollten den ersten Schritt machen, bevor wir den zweiten verlangen.	But we should walk before we insist on running.
Wir können erst den zweiten verlangen, wenn der erste Schritt gegangen ist. Deswegen sollten wir vernünftig bleiben und hoffen, dass Laeken etwas im Konvent anregt, was dazu führt.	We can only run once we have learned to walk, which is why we must keep a sense of reason and hope that Laeken prompts something in the convention to bring this about.
Schließlich möchte ich noch sagen, dass wir als Europäische Volkspartei bereit sind, nächstens im Ausschuss für Kultur, Jugend, Bildung, Medien und Sport einen Initiativbericht zum Thema Minderheitensprachen anzuregen.	Finally, I should like to say that we in the European People's Party are ready to suggest an own initiative report on lesser-used languages at the next meeting of the Committee on Culture, Youth, Education, the Media and Sport.
Ich glaube, da können alle, die sich heute so vollmundig verbal dafür einsetzen, einmal zeigen, ob sie auch wirklich dafür sind.	This will allow all those who have spoken so fulsomely in favour today to put their money where their mouth is.
Deswegen wäre ich ganz froh, wenn wir heute die Entschließung wegbekämen, weil sie nicht so gut ist, wie ein Initiativbericht sein könnte.	I for one would be delighted if we dumped this resolution today because it is not as good as an own initiative report could be.
Ich nehme an, dass die Sozialisten nicht mitmachen werden. Dann werden wir eben sehen, wie es am Ende ausgeht.	I assume that the Socialists will want no part of it, so we shall see how it all turns out.
Aber ich kündige an, dass wir einen Bericht beantragen werden.	But I should like to inform the House that we shall be putting in for a report.
Sagen Sie Ihren Kollegen, sie sollen im nächsten Jahr dann mitstimmen.	Please tell your fellow members to vote with us then next year.
