Vizepräsident der Kommission. - Herr Abgeordneter! Zur ersten Frage: Versuchen kann man das immer.	Mr Leichtfried, in relation to the first question, I would say that we can always try.
Während der österreichischen Präsidentschaft ist ja mehrfach versucht worden, den Ferienbeginn zu koordinieren, jedoch ohne jeden Erfolg.	During the Austrian Presidency, there were a number of attempts to coordinate the start of the holiday period, although these met with no success.
Ich würde dafür plädieren, einen weiteren Versuch zu unternehmen, warne aber vor überzogenen Erwartungen.	I would argue in favour of a further attempt being made, but I would also caution against over inflated expectations.
Also die Vorstellung, die in bestimmten Tourismusgebieten herrscht, dass man Ferienzeiten in Europa so koordinieren kann, dass diese Tourismusgebiete das ganze Jahr über ausgelastet werden, ist eine Illusion, und sie hätte übrigens auch meine Unterstützung nicht.	The notion that prevails in certain tourist areas that it is possible to coordinate holiday periods in Europe in such a way that these tourist areas can be at full capacity all year round is an illusion, and incidentally it would not have my support in any case.
Alle Menschen haben das Recht, in der Jahreszeit Urlaub zu machen, in der es ihnen am besten passt und in der der Erholungswert auch am größten ist.	Everyone has a right to have a holiday at the time of year that best suits them and when the recuperation value is at its greatest.
Aber Sie haben vollkommen Recht zu sagen, dass Nachbarländer sich abstimmen sollten, dass die Ferien nicht immer und überall am selben Tag anfangen müssen.	You are absolutely right, however, to say that neighbouring countries should make arrangements so that their holidays do not always have to begin on the same day everywhere.
Das sind Dinge, die ich für möglich halte und die nicht nur vor dem Hintergrund der Tourismuspolitik, sondern schlicht und einfach vor dem Hintergrund der Umweltpolitik und der Verkehrspolitik ernsthaft angegangen werden sollten.	These are things that I believe are achievable and not only from the point of view of tourism policy, but which should be seriously tackled purely and simply in the light of environmental and transport policy.
Was die zweite Frage angeht: Wir haben die Folgen der Wirtschaftskrise für den Tourismus gründlich untersucht, und wir haben in einer Umfrage bei über 50 000 Beteiligten in ganz Europa festgestellt, dass die Menschen weiterhin in Urlaub fahren - also sie verzichten nicht auf ihre Urlaubsreise -, aber die Reisen werden kürzer, es wird weniger Geld ausgegeben, und es wird häufiger Urlaub im eigenen Land verbracht.	As for the question from Mr Chountis, we have comprehensively researched the impact of the economic crisis on tourism and we have determined from 50 000 concerned parties across Europe that people are still going away on holiday - they are not doing without their holiday trips - but they are travelling less far, spending less money and are more likely to holiday in their own country.
Dabei wird aber derselbe Standard verlangt, d.h. derjenige wird jetzt profitieren, der ein besonderes Preis-Leistungs-Verhältnis anbieten kann.	They are still demanding the same standards, though, which means that the ones who will gain at the moment are those who are able to offer a special price/service ratio.
Alle Maßnahmen, die die Kommission auf diesem Gebiet ergreift, können nur in Ergänzung zu Maßnahmen der Mitgliedstaaten erfolgen.	Any measures that the Commission takes in this area can only be complementary to the Member States' measures.
Wir haben keine per se autonome europäische Tourismuspolitik, und es würde jetzt zu weit führen, Ihnen die große Zahl von Initiativen aufzuführen, bei denen es darum geht, die Attraktivität Europas als Tourismusziel weltweit und auch innerhalb Europas bekannt zu machen.	We have no autonomous European tourism policy per se, and it would be too much, at this point, to itemise the great number of initiatives that aim to spread awareness across the world, and also within Europe, of how attractive Europe is as a tourist destination.
Ich will nur ein einziges Beispiel erwähnen, weil das in jüngster Zeit besonders erfolgreich war.	I want to mention just one example, as it has recently been very successful.
Wir haben vor drei Jahren den Wettbewerb "Herausragende europäischen Reiseziele" gestartet.	Three years ago, we launched the European Destinations of Excellence (EDEN) competition.
Hier werden Tourismusregionen in Europa aufgefordert, ihre Leistungen unter bestimmten Themen darzustellen, und hier hat sich in dreijähriger Erfahrung herausgestellt, dass wir unter fast allen Aspekten überall in Europa hervorragende Tourismusangebote haben.	The competition encouraged tourist regions in Europe to demonstrate their achievements in certain areas and three years of experience have shown that we have outstanding tourism products in almost every aspect all over Europe.
Das Entscheidende besteht in der Tat darin, diese Tourismusangebote auch bekannt zu machen.	The crucial thing is actually to also generate awareness of these tourism products.
Aus diesem Grunde haben wir ein Web-Portal geschaffen, das es weltweit ermöglicht, mit einem einzigen Klick den Zugang zu allen tourismusrelevanten Informationen aus allen europäischen Mitgliedstaaten zu finden.	That is why we have created a web portal that provides for worldwide access with a single click to all tourist-relevant information from all the Member States.
Betrifft: Teilhabe der Sozialpartner an der Konzeption und Umsetzung beschäftigungspolitischer Maßnahmen auf nationaler und europäischer Ebene	Subject: Participation by the social partners in devising and implementing employment policies at national and European level
Ohne Zweifel haben die Heftigkeit und das Ausmaß der Wirtschaftskrise bezüglich Organisation und Funktion des Arbeitsmarktes in allen Mitgliedstaaten der EU zusätzliche schwerwiegende Probleme hervorgerufen, deren Lösung die Möglichkeiten der nationalen Regierungen übersteigen.	As is well known, the intensity and extent of the economic crisis has added to the severe organisational and operational problems of labour markets in the EU Member States; management of these problems exceeds the powers of national central governments.
Die schwerwiegendsten Probleme, denen sich die Mitgliedstaaten gegenübersehen, sind der Beschäftigungsrückgang bzw. der steile Anstieg der Arbeitslosigkeit - noch mit steigender Tendenz - sowie die Schwierigkeiten bei der Schaffung neuer qualitativ hochwertiger und stabiler Arbeitsplätze.	One of the worst consequences facing the Member States is the reduction in employment and the corresponding rise in unemployment rates and the extreme difficulty of creating new jobs that are stable and of good quality.
Hinzu kommt noch, dass die nationalen Arbeitsmärkte umgestaltet werden, was insofern negative Auswirkungen auf die Arbeitnehmer hat, als die Tarifvereinbarungen in der Praxis missachtet werden und die unsicheren Arbeitsplätze sprunghaft zunehmen, während die Arbeitsbedingungen immer härter werden, da der Trend hin zu sehr flexiblen Arbeitsformen geht, ohne dass entsprechende Garantien in puncto Sicherheit und Schutz am Arbeitsplatz geschaffen werden.	Moreover, the current restructuring in the way that national labour markets operate is having an unfortunate impact on workers, as collective agreements are circumvented in practice, jobs are becoming less secure, and industrial relations are damaged by the trend towards flexible forms of work without any corresponding reinforcement of the concepts of security and protection at work.
Kann die Kommission mitteilen, ob und wann eine aktivere Teilhabe und Einbindung der Organisationen der Sozialpartner in die Konzeption von Maßnahmen zur Sicherung eines reibungslosen Funktionierens des Arbeitsmarktes geplant ist, um der Arbeitslosigkeit zu begegnen und die Beschäftigung auf nationaler und europäischer Ebene zu fördern?	What is the Commission's position and does it envisage more active participation and involvement of social partner organisations in drawing up policies to ensure smooth organisation and functioning of labour markets, combat unemployment and boost employment at national and European level?
