Verfasserin der Stellungnahme des mitberatenden Ausschusses für Fischerei.	draftsman of the opinion of the Committee asked for an opinion, the Committee on Fisheries.
Herr Präsident, Frau Kommissarin, meine Damen und Herren! Der Ausschuß für Fischerei hat die fischereispezifischen Haushaltszahlen gründlich geprüft.	Mr President, Commissioner, ladies and gentlemen, the Committee on Fisheries has studied in detail the figures in the budget relating to fisheries.
Die Diskussion war angespannt und lebhaft.	The debate was tense and lively.
Es gab zahlreiche Differenzen, erstens zu FIAF, zweitens über die Unterstützung der gemeinsamen europäischen Fischereipolitik durch den Rat und die Mitgliedstaaten, vor allem in bezug auf internationale Fischereiabkommen wie zuletzt dem mit Marokko, und drittens zu den Beziehungen der EU zu anderen internationalen Organisationen.	There were many differences of opinion, firstly on FIFG, secondly on support for the common European fisheries policy by the Council and the Member States, above all in relation to international fisheries agreements such as the most recent one with Morocco, and thirdly on relations between the EU and other international organisations.
Wir appellieren, daß das Europäische Parlament wenigstens die Gelder verteidigt, die in den letzten Haushaltsjahren der gemeinsamen Fischereipolitik bereits zugewiesen worden waren.	We appeal for the European Parliament at least to try to maintain the level of appropriations allocated to the common fisheries policy in recent financial years.
Auf meine Initiative hin haben wir im Ausschuß drei Änderungsanträge formuliert, die alle direkt oder indirekt vom Haushaltsausschuß letztlich angenommen wurden.	On my initiative, we in the Committee have drafted three amendments which have all recently been adopted either directly or indirectly by the Committee on Budgets.
Besonders macht sich der Fischereiausschuß Sorgen über die Zeile B2-901, in der es um Kontrolle und Überwachungsmaßnahmen der Mitgliedstaaten geht, über die Zeile B2-903 zur Unterstützung der gemeinsamen europäischen Fischereipolitik sowie über die Zeile B7-8000 zu internationalen Fischereiabkommen.	In particular, the Committee on Fisheries is concerned about line B2-901 concerning supervision and monitoring measures by the Member States, line B2-903 concerning support for the common European fisheries policy and line B7-8000 concerning international fisheries agreements.
Die Haushaltspolitik wirkt sich vielfach auf die drei folgenden Kernthemen aus.	The budgetary policy variously affects the three following core issues.
Erstens: Strukturpolitik.	Firstly: structural operations.
Auf dem Berliner Gipfel wurden 161 Millionen Euro für Regionen außerhalb der Ziel 1-Gebiete zugewiesen.	At the Berlin Summit, EUR 161 million were earmarked for regions outside Objective 1 areas.
Das ist ein recht erheblicher Teil. Doch die Verpflichtungs- und Zahlungsermächtigungen stiegen in den Jahren 1998 und 1999 an und könnten aller Voraussicht nach weiter ansteigen.	That is a truly considerable amount, yet the commitment and payment appropriations increased in 1998 and 1999 and might, in all probability, increase further.
Zweitens: Der Haushaltsentwurf weist nicht genügend Geld aus für die Durchführung einer effektiven Kontrolle und Überwachungspolitik.	Secondly: the draft budget does not allocate sufficient money for the implementation of an effective supervision and monitoring policy.
Die Mitgliedstaaten haben allein 1999 mehr Geld beantragt, als in den EU-Haushalten vorhanden war.	In 1999 alone, the Member States applied for more money than was available in the EU budgets.
Hieraus erklärt sich die vom Fischereiausschuß beantragte Mehrsumme von 2 Millionen Euro.	This explains why the Committee on Fisheries applied for an additional sum of EUR 2 million.
Daneben beruhigt uns verständlicherweise das dauerhafte Management der Ressourcen, die systematische Erfassung grundlegender Daten und die Vertiefung des Dialogs mit der Industrie.	At the same time, we are understandably reassured by the fact that there is sustainable management of resources, systematic recording of basic data and an intensification of dialogue with the industry.
Dieser Antrag wurde dann auch entsprechend vom Fischereiausschuß hoch budgetiert.	Accordingly, the Committee on Fisheries then made this application a high budgetary priority.
Das dritte Thema ist natürlich Marokko.	The third matter is obviously Morocco.
Wir begrüßen das Verhandlungsmandat, das der Rat nun endlich erteilt hat.	We welcome the negotiating mandate which the Council has finally awarded.
Abschließend möchte ich darauf hinweisen, daß die gemeinsame Fischereipolitik - aber wem sage ich das eigentlich? - einer großen Unterstützung der Gemeinschaft bedarf.	Finally, I would like to point out that the common fisheries policy - but I do not really need to tell you that - requires major support by the Community.
Hiermit ist nicht nur die finanzielle Unterstützung gemeint.	I do not just mean financial support.
Wir stehen großen Herausforderungen gegenüber.	We are facing major challenges.
Wir alle müssen deutlich machen, daß die EU, die im Bereich der Fischerei eine Supermacht darstellt, bereit ist, für eine Industrie einzustehen, welche zahlreiche Regionen, Staaten und Bürger der Union betrifft.	We must all make it perfectly clear that that the EU, which constitutes a superpower in the fisheries sector, is prepared to stand up for an industry which concerns numerous regions, States and citizens of the Union.
Die Zahl und die Qualität der Arbeitsplätze ist von einem hohen Mehrwert für die EU und spielt, wie wir alle wissen, auch bei der Erweiterung eine entscheidende Rolle.	The number and quality of jobs is of significant added value to the EU and, as we all know, also plays a crucial role in enlargement.
