2001 ist China der WTO beigetreten.	China joined the WTO in 2001.
Dies bedeutet neue Rechte, aber auch neue Pflichten.	That means new rights, but also new obligations.
China nimmt für sich heute schon alle Rechte in Anspruch, kommt aber seinen Pflichten in vielen Punkten nicht nach.	China is already claiming all those rights, but is failing to fulfil its obligations in many respects.
Der freie Marktzugang für ausländische Unternehmen wird bei weitem nicht gewährt.	It is far from allowing foreign firms free access to its markets.
Der Zwang, mit chinesischen Unternehmen zusammenzuarbeiten, widerspricht eindeutig dem Geist der WTO.	Requiring them to work with Chinese firms is clearly against the spirit of the WTO.
Die Auswirkungen dieses Zwangs sind besonders schlimm, da der Schutz des geistigen Eigentums, der Patente und des Urheberrechts in China heute in keiner Weise gegeben ist.	The effects are particularly harmful because intellectual property, patents and copyrights are not protected in China today.
Illegale Nachbauten von technischen Produkten, die Fälschung von Textilien, schlichte Ignoranz gegenüber dem geistigen Eigentum ist untragbar.	Illegal copying of technical products, counterfeit textiles and utter disregard for intellectual property are intolerable.
Die Kommission muss künftig diesem Thema einen deutlich höheren Stellenwert einräumen.	The Commission will have to give a much higher priority to this in future.
Die Kommission muss hier viel deutlicher als bisher mit den Chinesen sprechen.	The Commission will have to speak to the Chinese much more plainly about this than it has so far.
So wie derzeit kann es nicht weitergehen.	Things cannot go on as they are.
Bitte sagen Sie das Herrn Kommissar Mandelson!	Please tell that to Commissioner Mandelson.
Es gibt viele weitere Missstände: die Währung ist immer noch nicht freigegeben, China ist keine demokratische Marktwirtschaft, Chinas öffentliches Auftragswesen ist vollkommen intransparent, Schutzzölle werden mit staatlicher Billigung umgangen.	There are a lot of other things that need to be put right. The currency is still not allowed to float, China is not a democratic market economy, its public contracting is totally opaque, and the state looks on approvingly as protective duties are circumvented.
Die soziale Frage ist nicht beantwortet, Arbeitnehmer haben fast keine Mitbestimmungsrechte, es gibt keine Freiheit zur Bildung starker Gewerkschaften, die Umweltverschmutzung ist enorm.	Social issues are still not being addressed, workers have almost no co-determination rights, there is no freedom to form strong trade unions, environmental pollution is unconscionable.
Hier muss China nachbessern, und hierzu rufen wir China in unserer Entschließung auf.	It is in these areas that China must make improvements, and that is what our resolution calls on it to do.
Nur wenn sich China daran hält, ist ein vernünftiger Welthandel möglich.	Only if China does that will proper world trade will be possible.
Doch auch wir müssen unsere Hausaufgaben machen.	There are things we need to do too, however.
Wir müssen endlich ernsthaft daran arbeiten, dass Europa auch in Zukunft eine starke Volkswirtschaft bleibt.	We must work hard to ensure that Europe remains a strong economy in the future.
Wir brauchen mehr unternehmerische Freiheit und mehr unternehmerische Verantwortung.	We need more commercial freedom and more commercial responsibility.
Wir brauchen mehr Bildung und Forschung und mehr Bereitschaft, uns den Herausforderungen zu stellen.	We need more training and research and a greater willingness to face up to challenges.
Denn das heutige Problem China ist sicher auch künftig eine große Herausforderung.	The fact is that if China is a problem today, it will certainly be a major challenge in the future too.
Aber China bietet dann auch eine große Chance zur Schaffung neuer Arbeitsplätze in Europa.	China also, however, offers a great opportunity for creating new jobs in Europe.
