Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, allow me to raise three points.
Lassen Sie mich drei Punkte ansprechen. Eine große Problemgruppe am Arbeitsmarkt werden europaweit zukünftig nicht nur die Jugendlichen und Erwachsenen ohne jegliche Ausbildung, sondern auch solche mit veralteter oder überholter Ausbildung sein.	A major problem group throughout the European labour market of the future will consist not only of young people and adults without any training qualifications at all, but also those whose training qualifications are outdated or irrelevant.
Die Anpassung der Berufsbildungs- und Weiterbildungssysteme an den strukturellen Wandel muß immer rascher erfolgen.	Vocational training and further education systems must be adapted ever more rapidly to changing employment structures.
Gemeinsame Anstrengungen der Mitgliedstaaten zur Innovation in diesem Bereich sind besonders erfolgversprechend.	Joint efforts by the Member States to introduce innovations in this sector seem to hold the greatest promise.
Gerade LEONARDO II wird hier exzellente Möglichkeiten der Zusammenarbeit bieten, die dringend genutzt werden sollten.	Leonardo II in particular will offer excellent opportunities for cooperation in education and training, and it is imperative that these opportunities should be taken.
Zweitens: Die Nutzung des europaweiten Arbeitsmarktes durch die Bürger ist bislang gering.	Secondly, the people of Europe have hitherto made little use of the single European job market.
Gerade 2 % leben und arbeiten für längere Zeit in einem anderen Mitgliedsland.	A mere 2 % have been living and working for any length of time in a Member State other than their own.
Chancen der Beschäftigung außerhalb der nationalen Grenzen sind oft noch zu wenig bekannt, Mobilitätshindernisse für Ausbildung und Arbeit immer noch nicht ausgeräumt.	Jobseekers are still too frequently unaware of employment opportunities beyond their national borders, and obstacles to the mobility of trainees and labour have still not been removed.
Initiativen wie EURES und CITIZENS FIRST sind Schritte in die richtige Richtung, aber noch nicht ausreichend.	Initiatives such as EURES and Citizens First are steps in the right direction, but are not yet the complete answer.
Parlament, Kommission und Rat sind hier gefragt, weitere Initiativen auf den Weg zu bringen.	It is up to Parliament, the Commission and the Council to launch new initiatives.
Positiv zu erwähnen ist die Einführung des Europasses, der die Transparenz der im Ausland erworbenen beruflichen Qualifikationen sicherstellt.	One particularly useful development has been the introduction of the Europass Training document, which guarantees the transparency of vocational qualifications acquired abroad.
Drittens: Zusätzliche Arbeitsmöglichkeiten können in Europa geschaffen werden, wenn sich neue Unternehmen auf der Basis einer innovativen Technologie, neuer Marketingmöglichkeiten oder Servicefunktionen gründen.	Thirdly, additional employment opportunities can be created in Europe if new businesses are set up on the basis of innovative technology, new marketing potential or new service functions.
Das setzt aber voraus, daß das Potential dazu gerade bei jungen Menschen voll ausgenutzt wird.	This, however, depends on young people in particular being able to take full advantage of these assets.
Bereits in der Erstausbildung und weiterhin im Prozeß des lebensbegleitenden Lernens müssen entrepreneurship und Kenntnisse über das Wirtschaftsleben vermittelt und gefördert werden.	Even during initial training and then in the course of lifelong learning, entrepreneurship and knowledge of business practices must be imparted and encouraged.
Gleichzeitig sind aber auch bestehende Überregulierungen im gesetzlichen Bereich, finanzielle Hürden und Informationsdefizite zu beseitigen.	At the same time, however, it is also necessary to eliminate excessive legal regulation, financial obstacles and information gaps.
Die Verfügbarkeit von Risikokapital ist zum Beispiel dabei ein entsprechender Faktor.	The availability of venture capital, for example, is a key factor here.
Zuletzt nochmal ganz herzlichen Dank an Thomas Mann für seinen ausgezeichneten Bericht.	Finally, may I again express my very sincere thanks to Thomas Mann for his excellent report.
