Herr Präsident, erst einmal einen freundlichen "Guten Morgen" zu später Stunde.	Mr President, first of all I would like to say a belated "good morning' .
Ich freue mich, Sir Leon, daß Sie die Gelegenheit zu einer Erklärung wahrgenommen haben, ohne daß wir aufgrund der Zeitbegrenzung auf das, was Sie sagten, erwidern und eingehen können.	I am pleased to see, Sir Leon, that you have taken the opportunity to make a statement when, due to pressure of time, we can neither reply to what you have said nor even really go into it.
Ich freue mich über die Würdigung der Arbeit des Europäischen Parlaments, der Entschließung und den Dank für unsere Anwesenheit in Genf.	I am pleased about the appraisal of the work of the European Parliament, the resolution and your gratitude for our presence in Geneva.
Ich garantiere Ihnen, daß wir die Zusammenarbeit weiter forcieren werden und dankbar sind für die enge Kooperation.	I can guarantee that we will continue to push for collaboration and we are grateful for the small measure of cooperation.
Diese Runde in Genf hatte natürlich am Anfang auch mehr Feier und Proklamation im Sinn, denn 50 Jahre GATT waren ein Grund zum Feiern.	Naturally, at the start of the round in Geneva, the emphasis was more on celebration and proclamation, because 50 years of GATT was indeed reason enough to celebrate.
Es war ein Rückblick auf eine erfolgreiche Zeit.	It was a look back at a time of success.
Man stelle sich vor, was wir geschaffen haben, damit sich die Kritik an dem, was noch nicht erledigt ist, relativiert.	We focus on what we have achieved so that criticism of what has not yet been done will be made relative.
Wir als Europäisches Parlament hätten mehr erwarten, die Kommission und den Rat auffordern können, nicht den USA allein den Vortritt zu lassen.	As the European Parliament, we should have had higher expectations; we should have urged the Commission and the Council not to let the USA have precedence alone.
Aber wir wissen auch, daß die Kritik des Europäischen Parlaments an der Tatsache, daß bei Handel, Umwelt und Sozialnormen noch nicht so viel erreicht wurde, im wesentlichen daran liegt, daß es gerade die Entwicklungsländer sind, die in dieser Frage aus nachvollziehbaren Gründen zögern.	However, we also know that European Parliament criticism of the fact that not much has been achieved in terms of trade, the environment and social norms is largely down to the developing countries themselves quite understandably dragging their heels on these issues.
Wir sollten auch vorsichtig sein und uns mit unseren Forderungen nicht selbst überfrachten, damit das, was wir miteinander wollen, auch glaubwürdig ist.	We should also take care not to overburden ourselves with our own demands so that what we hope to achieve will remain credible.
Mein Vorredner hat gesagt, er erwarte ein bißchen mehr an Forderungen vom Europäischen Parlament.	The previous speaker said he expected more demands by the European Parliament.
Ich würde rückwirkend sagen: Bei den Beschlüssen, der Anhörung und vielem anderen, was wir gemacht haben, sind wir in unserer Erwartungshaltung häufig weiter gegangen, als im Moment umsetzbar war; vielleicht ist dies aber auch richtig.	I would say, conversely: in the decisions, the hearing and many other things we have had a part in, our expectations have often gone beyond the realms of possibility for what could be implemented at the time; however, I may be wrong here.
Sir Leon, ich freue mich, daß wir in New York eine Runde vor uns haben, von der die Kommission ausgeht, daß es eine große Runde sein muß.	Sir Leon, I am pleased that we will be having another round in New York. The Commission is assuming that it will have to be a major round.
Sie darf sich nicht einschränken.	The Commission must not limit itself.
Sie muß dafür sorgen, daß alles auf den Tisch kommt.	It must ensure that everything is addressed.
Bei dieser Politik, Herr Kommissar, werden Sie die Unterstützung des Europäischen Parlaments finden.	Commissioner, with that as a policy, you can count on the support of the European Parliament.
