Frau Präsidentin! Als Mitglied der SAARC-Delegation konnte ich Sri Lanka einige Male besuchen.	Madam President, as a member of the SAARC Delegation, I was able to visit Sri Lanka several times.
Vor Ort erlebte ich mit, wie sehr die Bevölkerung unter dem Bürgerkrieg leidet, der seit 25 Jahren andauert und 70 000 Menschenleben gekostet hat.	I saw for myself on the ground how much the population is suffering as a result of the civil war that has been going on for 25 years and has claimed 70 000 lives.
Die Kämpfe zwischen Regierungstruppen und LTTE sind weiter eskaliert.	Fighting between government forces and the LTTE has further escalated.
Große Teile des Nordens wurden unter Kontrolle gebracht und Hochburgen der tamilischen Rebellen eingenommen.	Large parts of the north have been brought under control and strongholds of the Tamil rebels have been taken.
Die damalige Aussage, die mir Menschenrechtsorganisationen sowohl in Colombo als auch in Jaffna machten, wird leider immer wieder bestätigt: "War is an institution."	What human rights organisations in both Colombo and Jaffna told me at the time is unfortunately confirmed time and again: 'war is an institution'.
Die humanitäre Lage ist alarmierend.	The humanitarian situation is alarming.
Tausende sind auf der Flucht.	There are refugees in their thousands.
Es fehlt an medizinischer Versorgung und Nahrungsmitteln.	There is a lack of medical care and of food.
Den Hilfsorganisationen muss es möglich sein, in einer zu vereinbarenden Feuerpause ungehindert Zugang zur Zivilbevölkerung zu haben.	Aid agencies must be given unrestricted access to the civilian population in a cease-fire to be agreed.
Die Regierung ließ Korridore einrichten, um die Evakuierung der Zivilisten aus den Kampfzonen zu erleichtern - unfassbar, dass die Tamil Tigers diesen Sicherheitsbereich nicht respektieren, das Feuer fortsetzen und Menschen als Schutzschilder missbrauchen.	The government has set up corridors to facilitate the evacuation of civilians from the combat areas; it is incomprehensible that the Tamil Tigers have failed to respect this safe zone, are continuing to fire and are using people as human shields.
Die Tokio-Gruppe, bestehend aus Japan, USA, Norwegen und der Europäischen Union, forderte die LTTE-Führung auf, mit der Regierung von Sri Lanka endlich über Einzelheiten eines Waffenstillstandes zu verhandeln.	The Tokyo group, consisting of Japan, the United States, Norway and the European Union, has called on the LTTE leadership to negotiate the details of a cease-fire with the Sri Lankan Government at long last.
Es ist im Interesse aller - auch der Tamilen -, wenn der Friedensprozess angestoßen wird.	The launch of a peace process is in the interests of everyone - including the Tamils.
Ich begrüße ausdrücklich die Entscheidung der Regierung, den 13. Zusatzartikel der Verfassung einzuhalten und den zuständigen Provinzrat an die gewählten Repräsentanten des Nordens und des Ostens zu übergeben.	I expressly welcome the decision by the government to comply with the 13th Amendment to the Sri Lankan Constitution and hand over the competent provincial council to the elected representatives of the north and the east.
Wir erwarten auch die Einhaltung einer Garantie, dass die Menschenrechtsverletzungen, über die wir gerade gesprochen haben, und die Verstöße gegen die Pressefreiheit sorgfältig und neutral untersucht werden.	We also expect it to respect a guarantee of a careful, neutral investigation into the human rights violations we have just discussed and the violations of press freedom.
Sicherheit und Stabilität dürfen für Sri Lanka keine Zukunftsträume bleiben.	Security and stability must not remain a pipe dream for Sri Lankans.
