Herr Präsident, der Weg zur Gleichheit zwischen Frauen und Männern ist schwer zu begehen.	Mr President, the road to equality between women and men is a hard one.
Er hat erhebliche Lücken.	It has a lot of potholes.
In Betrieben und Unternehmen sind Diskriminierungen aufgrund des Geschlechts noch viel zu oft Realität.	In businesses and organizations discrimination on grounds of sex is far too often the reality.
Die Frauen - und nicht nur sie - warten auf konkrete Veränderungen und auf eine Angleichung der Verfahren in allen Mitgliedstaaten.	Women - and not only women - await concrete changes and approximation of procedures in all Member States.
Hier hat das Europäische Parlament Zeichen gesetzt.	The European Parliament has shown the way in this respect.
Der Rat hat in seinem neuen Gemeinsamen Standpunkt Bedenken unserer Fraktion berücksichtigt.	With its new common position, the Council has taken the reservations of our group into account.
Das haben einige KollegInnen noch nicht erwähnt.	Some of my female colleagues have omitted to mention this.
So gibt es den Untersuchungsgrundsatz nicht mehr.	For example, the principle of investigation has gone.
Auch der Auskunftsanspruch für alle Parteien ist nicht mehr vorgesehen.	The right to information for all parties has also been dropped.
Er hätte zu Ausforschungen geführt, die unvereinbar sind mit mitgliedstaatlichem Zivilrecht.	It would have led to investigations which are not compatible with the civil law of Member States.
Etliche Vorschläge unseres Parlaments wurden von der Europäischen Kommission - Kommissar Flynn sei Dank - übernommen. Drei Beispiele: Erstens, die jetzt weiter gefaßte Definition der mittelbaren Diskriminierung.	All the suggestions of our Parliament were accepted by the European Commission - thanks to Commissioner Flynn.
Zweitens, die Übernahme von Richtlinien in das Sozialversicherungsrecht. Drittens, die Pflicht der Mitgliedstaaten zur Berichterstattung nach mindestens zwei Jahren.	Three examples: first, the now redrafted definition of indirect discrimination; secondly, the incorporation of directives into social security law; thirdly, the obligation of Member States to report after at least two years.
Einigen Änderungsanträgen der wie üblich sehr präzisen Berichterstatterin Ghilardotti werden wir nicht folgen können, etwa der Streichung der Erwägungen 15 und 16. Wir meinen, daß Besonderheiten der Rechtsordnungen der Mitgliedstaaten sehr wohl zu beachten sind, insbesondere wenn offensichtlich eine Diskriminierung vorliegt.	There are a number of amendments tabled by the, as usual, extremely precise rapporteur, Mrs Ghilardotti, which we will not be able to accept, such as the deletion of proposals 15 and 16. We believe that specific aspects of the legal provisions of Member States certainly must be considered, especially if there is clearly discrimination taking place.
Insgesamt wurde ein Mittelweg gefunden.	All in all, a middle way has been found.
Beklagte müssen nachweisen, daß sie den Grundsatz der Gleichbehandlung befolgt haben, ein wichtiges Korrektiv in allen Mitgliedstaaten, denn gemeinsame Rechtsinstrumente werden sowohl die mittelbare als auch die unmittelbare Diskriminierung einbeziehen.	The accused must prove that they have adhered to the principle of equality, an important corrective in all Member States, for common legal instruments will include both direct and indirect discrimination.
Diese Beweislast-Richtlinie ist auf dem eingangs beschriebenen steinigen Weg ein aus meiner Sicht sehr wohl beachtlicher Schritt nach vorn!	The burden of proof directive has, I believe, taken us a valuable step forward on the stony road I referred to at the start!
