Herr Präsident, Herr Kommissar! Lieber Herr Monti, Sie hatten eine sehr undankbare Aufgabe.	Mr President, Commissioner, you had a rather thankless task, my dear Mr Monti.
Ich kann mir nicht vorstellen, dass Sie sich heute Abend sehr wohl in Ihrer Haut gefühlt haben, denn ich möchte Ihnen sagen: Die Worte höre ich wohl, allein mir fehlt der Glaube.	I cannot imagine that you felt very comfortable this evening, because I should like to say to you that, although I hear your words, I cannot believe them.
Das ist das Problem.	That is the problem.
Wir warten jetzt schon seit Monaten auf das, von dem Sie uns heute wieder angedeutet haben, dass es jetzt vielleicht im Sommer kommt. Ihr Wort in Gottes Ohr, oder wo auch immer das dann gemacht wird, was Sie uns vorgetragen haben.	For months now, we have been waiting for something which will now - as you have again indicated today - perhaps be available in the summer, God - or whoever is going to do the work you mentioned - willing.
Ich meine, wenn man etwas irgendwo wegnimmt, dann muss man doch wissen, wo man es hingibt.	I mean, if you take a dossier away from one area of an organisation then you must surely know where you are going to reallocate it.
Man hat es Leuten weggenommen, die das in den letzten Monaten und Jahren eigentlich ganz gut gemacht haben.	This portfolio has been taken away from people who have actually been doing a fairly good job over the last few months and years.
Die haben im Laufe dieser Arbeit dazugelernt.	During the course of the project they learnt more about it.
Jetzt hat man es irgendwo hingegeben und jetzt dümpelt das so vor sich hin.	Now it has been put on someone else's desk and is in limbo.
Ich finde das schrecklich.	This is a dreadful state of affairs.
Das ist wie so ein armes Waisenkind.	It is like a poor orphan.
Keiner kümmert sich so richtig, keiner ist so richtig verantwortlich.	No one really cares about it; no one is really responsible for it.
Deswegen finde ich eigentlich, dass das, was man theoretisch gut gewollt hat, in der Praxis bis jetzt noch nicht zu einer guten Sache geworden ist.	That is why I actually think that what sounded good in theory has not yet developed into anything worthwhile in practice.
Wir warten also schon ewig auf die Mitteilung, und ich bin gespannt, wann sie denn kommt.	We have already been waiting for the communication for ages, and I am eager to know when it will be forthcoming.
Ich möchte der Kommission über das hinaus, was ja auch in unseren Texten steht, den Vorschlag machen, dass sie vielleicht nicht so schrecklich viel Neues schaffen muss, sondern vielmehr auf diejenigen zugreifen sollte, die vor Ort tolle Arbeit leisten.	Over and above what is, of course, also in our written contributions, I should like to suggest to the Commission that it, perhaps, does not need to create so very much that is new; instead it should concentrate much more on harnessing those who are doing fantastic work on the spot.
Es gibt sie.	They do exist.
Es gibt unwahrscheinlich gut arbeitende Netze, und die sollte sie nutzen.	There are networks which work incredibly well and it should use them.
Wenn ich mir vorstelle, dass Sie hier die Infopoints so loben.	When I consider that you praise the Info-Points here!
Also ich kenne einen Infopoint, der macht eine tolle Arbeit, aber von dem Geld der Europäischen Kommission, das immer erst am Ende des Jahres oder übernächstes Jahr kommt, kann er nicht leben.	Well, I know of an Info-Point which is doing a great job, but which cannot survive on the money from the European Commission, which never arrives until the end of the year or the following year.
Die wissen heute nicht, ob sie nächstes Jahr noch bestehen.	Today they do not know whether they will still exist next year.
Wie sollen dort Menschen arbeiten, die mit Motivation auch andere motivieren?	How are people supposed to work there and be motivated to motivate others?
Ich meine, in dem Bereich gibt es sehr viel zu tun.	In my view there is much more to be done in this field.
Wir wünschen uns ja, dass wir alle an einem Strang ziehen und dass wir gemeinsam das Beste herausholen. Nur, es geht nur durch Dezentralisierung.	Of course, we all of us want to act in concert and to achieve the best results together but this will only work with decentralisation.
Sie haben es gesagt.	You said it yourself.
Deswegen lassen Sie uns nicht das Rad neu erfinden, sondern alle die einsetzen, die mit Lokalkolorit wirklich Europa rüberbringen können und nicht nur das Brüsseler Europa!	So let us not reinvent the wheel, but let us deploy all those who really are able to convey the concept of Europe with local colour, and not only the bit of Europe that is in Brussels!
