im Namen der PSE-Fraktion. - Herr Präsident, Frau Kommissarin! 2010 ist eigentlich schon morgen!	on behalf of the PSE Group. - Mr President, Commissioner, 2010 is just round the corner.
Wenn der Titel dieses Berichts "i2010: Auf dem Weg zu einer Europäischen Digitalen Bibliothek" lautet, dann heißt das, dass wir noch vieles zu erledigen haben, von dem ich meine, dass wir es lange hintangestellt haben.	Given that the title of the report is 'i2010: towards a European digital library', that means that we still have a great deal of work to do and in my view, we have been dragging our feet.
Ich freue mich, dass Frau Descamps einen sehr guten Bericht vorgelegt hat, der ein Wegweiser ist, der zeigt, was man tun kann und tun könnte.	I am pleased that Mrs Descamps has presented a very good report, which points the way forward and shows us what can and could be done.
Wir müssen uns aber alle anstrengen, um es auch auf den Weg zu bringen.	However, we must all make efforts to get things moving.
Der Bericht ist eine Herausforderung und eine Antwort auf die neuen Techniken, den neuen Umgang mit Wissen und Information und vor allen Dingen aber auch auf den Zugang der Jugendlichen zum Lernen, zu Information und zum Abruf von Wissen.	The report is a challenge and a response to the new technologies, the new management of knowledge and information, and above all, young people's access to learning, information and knowledge.
Hier sind wir einiges schuldig und müssen uns wirklich sputen.	We have a lot of catching up to do here and, as far as I am concerned, we really have to speed things up.
Wir brauchen nicht nur die Konservierung und die Sicherstellung des kulturellen Erbes, sondern wir haben täglich neue Dinge, die wir dazunehmen und mit aufnehmen müssen, denn das, was gestern erfunden und niedergeschrieben worden ist, ist bereits morgen schon kulturelles Erbe.	It is not only about preserving and safeguarding cultural heritage. Every day, new things arise that we must add to the equation, for things that were invented and written down only yesterday will be our cultural heritage tomorrow.
Das heißt, wir haben viel nachzuholen.	That means that we have a great deal of ground to make up.
Wir haben aber auch immer den Blick nach vorne zu richten, um mit dem Tempo Schritt halten zu können.	However, we must always look ahead at the same time, to be able to keep pace with developments.
Es wird sehr wichtig sein, die Koordinierung zu gestalten und die Länder aufzurufen, dass wir nationale Befindlichkeiten - wie es gerade erwähnt wurde - hintanstellen, und dass wir uns gemeinsam auf einen europäischen Weg zur Sicherung der kulturellen Vielfalt machen.	It will be very important to coordinate the process and urge countries - as has just been said - to put national sensitivities behind them and to move forward together along a European path to safeguard cultural diversity.
Es gibt Hürden zu überwinden.	There are hurdles to overcome.
Das eine ist das finanzielle Manko, das wir haben.	The first is the financial shortfall that we face.
Die Kommissarin hat das richtig angesprochen.	The Commissioner was right to talk about this.
Alle Minister und alle Präsidenten sind sehr groß in Sonntagsreden und stolz über die kulturelle Vielfalt. Wenn es dann aber um die Finanzierung und Realisierung geht, machen sie sehr schnell einen Rückzug und vergessen vieles von dem ganzen Stolz, den sie ausgebreitet haben.	All the ministers and presidents are very good at giving big speeches and are proud of our cultural diversity, but when it comes to funding and implementation, they quickly pull back and forget all about the pride that they have been propounding.
Für mich ist auch ganz wichtig, dass wir die Urheberrechte sichern und dass es hier eine Absprache sowohl mit den Autoren als auch den Verlegern und mit all denjenigen gibt, die eingebunden sind, und dass man gegen ein angemessenes Entgelt auch die Information ins Netz stellt und abrufen kann.	From my perspective, it is also very important to safeguard copyright, so there needs to be an agreement with the authors and publishers and everyone else involved, so that for an appropriate fee the information can be put on the Internet for people to access.
Ich denke, dass wir hier einiges berücksichtigen müssen.	I think that we have a lot to think about here.
Das wird sicher nicht leicht sein, aber die Vorschläge liegen auf dem Tisch, und die Länder könnten sich hier sehr vieles abrufen.	It is certainly no easy task, but the proposals are on the table and the countries could gain a lot.
Ich bin überzeugt, dass wir morgen positiv über diesen Bericht abstimmen.	I am convinced that we can achieve a positive vote on this report tomorrow.
Ich glaube, dass wir die neuen Technologien nutzen und dieses Projekt fördern müssen, um einen freien Zugang nicht nur für uns Europäerinnen und Europäer zu ermöglichen, sondern unsere Kultur weit darüber hinaus in die ganze Welt hinaustragen zu können.	In my view, we must use the new technologies and support this project in order not only to facilitate access for us as Europeans but also to carry our culture far out into the world.
