Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	.
Als erstes möchte ich noch einmal den Kolleginnen und Kollegen für ihre konstruktive Zusammenarbeit im Ausschuss danken. Mein Dank geht aber auch an den Nichtständigen Ausschuss zur Finanziellen Vorausschau, denn er hat erheblich mit dazu beigetragen, dass wir nun mit PROGRESS nicht nur ein gutes Instrument zur besseren Umsetzung der Sozialpolitischen Agenda bekommen, sondern dass wir auch genügend Geld haben werden, um wirklich für mehr Nachhaltigkeit sorgen zu können.	Mr President, Commissioner, ladies and gentlemen, I would like at the outset to reiterate my thanks to my fellow-members of the Committee for their constructive cooperation, but would also like to thank the Temporary Committee on the Financial Perspective, which has played a substantial part in ensuring, not only that PROGRESS is now a good instrument for the better implementation of the social policy agenda, but also that we will have enough money to be able to really ensure greater sustainability.
Mit PROGRESS tragen wir den Umfrageergebnissen des Eurobarometers Rechnung. Bürger und Bürgerinnen wollen nämlich ein stärkeres Engagement der EU, wenn es um die Bekämpfung von Arbeitslosigkeit und Armut geht.	PROGRESS represents a response to the results of the Eurobarometer surveys, for what the public wants is greater involvement on the part of the EU in the combating of unemployment and poverty.
Auch hierfür bedarf es aber in erster Linie eines gut organisierten und strukturierten Erfahrungsaustausches. Dazu zählt vor allem, dass wir das wechselseitige Voneinanderlernen erheblich mehr fördern müssen, sei es durch die Unterstützung europäischer Netzwerke, sei es durch das Initiieren europaweiter Studien und Analysen oder eben gar durch Konferenzen.	For that, though, a primary requirement is for well-organised and structured sharing of experience, with it being particularly necessary that we should promote to a far greater degree the process of learning from one another, whether by supporting European networks, setting in motion Europe-wide studies and analyses or even by means of conferences.
Nur so wird es uns gelingen, auch in Zukunft ein möglichst hohes soziales Schutzniveau in ganz Europa zu bewahren, was ja schließlich die Grundvoraussetzung für den Erhalt von sozialem Frieden und Zusammenhalt in der Europäischen Union ist.	This is the only way in which we will succeed in maintaining, in future, the highest possible level of social protection throughout Europe, on which, after all, the maintenance of a peaceful society and social cohesion in the European Union depends.
Die Mitgliedstaaten scheinen das ja nun endlich auch begriffen zu haben.	That is something that the Member States now, at last, appear to have realised.
Was nun den Vorschlag der Kommission betrifft, so haben wir eine Reihe von Nachbesserungen und Ergänzungen vorgeschlagen.	Let me now turn to the Commission proposal, to which we have proposed a range of improvements and additions.
Die Nachbesserungen beziehen sich vor allem auf die Aufstockung der Gesamtmittel und eine etwas andere Verteilung auf die einzelnen Aktionsfelder.	The improvements primarily have to do with an increase in the overall appropriations and certain changes to the way in which they are distributed among the various areas targeted.
Alles in allem haben wir jetzt für PROGRESS 225 Millionen Euro mehr beschlossen als von der Kommission ursprünglich vorgesehen. In diese Summe ist im Übrigen die geschätzte Inflation mit einberechnet.	What this boils down to is that we have now voted PROGRESS EUR 225 million more than the Commission originally allocated it, and I might also mention that this sum takes estimated inflation into account.
Um einen der fünf Programmbereiche von PROGRESS haben wir zusammen mit dem Ausschuss für die Rechte der Frau und die Gleichstellung der Geschlechter besonders gerungen, und zwar die Geschlechtergleichstellung.	There was one of the fields to which the PROGRESS programme applies for which we, together with the Committee on Women’s Rights and Gender Equality, had to fight particularly hard, and that was gender mainstreaming.
Ich will nun nicht die alten Wunden wieder aufreißen, aber ich bin fest davon überzeugt, dass die Stärkung des Grundsatzes des in allen Programmbereichen und Maßnahmen letztlich auch den Frauenausschuss wieder versöhnen müsste, wenn es in Zukunft kein formal eigenständiges Aktionsprogramm zur Förderung der Chancengleichheit mehr geben wird.	Without wanting to reopen old wounds, I have to say that I am firmly convinced that, if there are in future to be no more officially free-standing action programmes to promote equality of opportunity, reinforcing this in all areas to which the programme relates and measures taken under it is what is needed to win over the Women’s Committee.
Darüber hinaus war unser Ausschuss nicht bereit, die vom Rat und von der Kommission angestrebte Kürzung der eigentlich für Chancengleichheit vorgesehenen Mittel zu akzeptieren.	Moreover, our Committee was not prepared to accept the cuts in the resources set aside for gender mainstreaming that the Council and the Commission sought.
