Herr Präsident, wir haben heute über die Wichtigkeit und Unwichtigkeit von Berichten gesprochen.	Mr President, we have spoken today about the importance and unimportance of reports.
Ich glaube, dies ist ein wichtiger Bericht, und deshalb bin stolz und glücklich, dass dieser Bericht an einem Freitag beraten und abgestimmt wird, denn dieser Freitag ist ein Arbeitstag wie jeder andere.	I believe this is an important report, and I am therefore proud and happy that it is to be debated and voted upon on a Friday, for Friday is a working day like any other.
Ich bin der Ansicht, dass wir als Europäisches Parlament auch stolz darauf sein können, dass wir die Idee einer europäischen Polizeiakademie auf den Weg gebracht haben.	I am of the view that, as a European Parliament, we can also be proud of the fact that we have got the idea of a European Police College under way.
Sie wissen, die Idee ist 1995 bei einer Fachtagung in Deggendorf in Niederbayern entstanden und wurde 1998 von diesem Hohen Hause im Rahmen eines Berichts über Osterweiterung und innere Sicherheit einstimmig übernommen.	As you know, the idea came about in 1995 at a professional convention in Deggendorf in Lower Bavaria and was unanimously adopted in 1998 by this Parliament in the context of a report on internal security and eastward enlargement.
Damals ging es um das wichtige Thema, das sich uns immer drängender stellt, dass wir die Beitrittskandidatenländer nicht nur wirtschaftlich reif für den Beitritt machen müssen, sondern dass es darum geht, dass vor allem die Rahmenbedingungen bei Demokratie, Rechtsstaatlichkeit und Verwaltung stimmen.	At the time, we were concerned with the important matter, which we are finding ever more pressing, of not only having to get the applicant countries ready economically for accession but also of having to ensure, above all, that the framework conditions in terms of democracy, constitutionality and administration were right.
Wenn wir die jüngsten Fortschrittsberichte gelesen haben, dann stellen wir fest, die Umsetzung der Legislation hat sich erheblich verbessert, aber die Anwendung der Legislation in den Kandidatenländern ist noch problematisch, weil es eine gewaltige Aufgabe ist, nach Jahrzehnten der Diktatur eine neue Polizei, eine neue Justiz, eine neue Staatsanwaltschaft aufzubauen.	On reading the latest progress reports, we note that there has been a considerable improvement in the way in which the legislation has been transposed. However, the way in which the legislation is applied in the applicant countries is still problematic because it is huge task, after decades of dictatorship, to construct new police forces, new systems of justice and new public prosecution authorities.
Wir haben im damaligen Bericht gesagt, wir wollen, dass in diesen Ländern, die aus eigener Kraft zur Demokratie gefunden haben, nach Jahrzehnten des Polizeistaates Polizisten herangebildet werden, die wirklich europäisch-demokratische Standards nicht nur übernehmen, sondern partnerschaftlich mit setzen.	In the report we produced at that time, we said that, in those countries which had found their way to democracy through their own efforts, we wanted, after decades of police States, to see the training of police who did not only genuinely accept the standards of European democracy but were also prepared to act in partnership.
So ist die Idee einer europäischen Polizeiakademie für die Mitgliedstaaten der Europäischen Union und für die Kandidatenländer entstanden.	That is how the idea of a European Police College for the Member States of the European Union and for the applicant countries arose.
Diese Idee des Hohen Hauses wurde dann vom Gipfel von Tampere übernommen, und ich bin dem Rat sehr dankbar dafür, dass er dieses Projekt, das aus diesem Hause gekommen ist, als sein eigenes angenommen hat.	This idea of Parliament's was then adopted at the Tampere Summit, and I am very grateful to the Council for adopting this project, originated by Parliament, as its own.
Dankbar bin ich vor allem Herrn Kommissar Vitorino, der sich vehement für die Realisierung der Europäischen Polizeiakademie einsetzt, was auch darin zum Ausdruck kommt, dass die portugiesische Regierung, die ihm ja nicht ganz fern steht, dankenswerterweise diese Initiative ergriffen hat.	I am especially grateful to Commissioner Vitorino who has shown his vigorous commitment to a European Police College, something which also finds expression in the fact that the Portuguese government, which thinks along similar lines to himself, has thankfully seized this initiative.
Die Europäische Polizeiakademie soll bereits im nächsten Jahr Wirklichkeit werden, nach dem Willen des Rates und nach dem Willen des Innenausschusses dieses Parlaments, und zwar als vernetzte Einrichtung der nationalen Polizeiakademien mit gemeinsamem Import, mit gemeinsamer Führung und mit gemeinsamen Ausbildungsprogrammen.	In accordance with the will of the Council and of that of this Parliament's Committee on Legal Affairs and the Internal Market, the European Police College is to become a reality as early as next year, more precisely as part of a network of national police training institutes with a joint remit, joint leadership and joint training programmes.
Aber wir wollen, dass dies nur eine erste Stufe ist, und wir wollen, dass in spätestens zwei oder drei Jahren eine tatsächliche Polizeiakademie eingerichtet wird.	However, we want this only to be a first step and we want an actual Police College to be set up within no more than two or three years.
Hier möchte ich ein schönes Wort der französischen Ratspräsidentschaft zitieren, die gesagt hat: Wir brauchen diese gemeinsame tatsächliche Polizeiakademie, um eine europäische Kultur der Polizeiausbildung zu schaffen.	In this context, I should like to refer to a valuable comment by the French Presidency of the Council which said that we need a common, actually existing Police College of this kind in order to create a European culture of police training.
Gerade was den Schutz der Außengrenzen und den Kampf gegen die grenzüberschreitende Kriminalität, aber auch die Anwendung der menschenrechtlichen Standards in der Europäischen Union betrifft, ist eine solche gemeinsame Ausbildung dringend vonnöten.	Joint training of this kind is urgently needed when it comes to protecting external borders and combating cross-border crime and also when it comes to applying human rights standards in the European Union.
Sie wird auch von den Polizeigewerkschaften und Verbänden massiv unterstützt.	It also has very wide support from police trade unions and professional associations.
Sie wissen, dass sich im Grenzland zwischen der EU und den Kandidatenländern, also etwa in Ostbayern, bereits zahlreiche Städte für eine solche Polizeiakademie beworben haben.	They know that, in the border area between the current EU and the applicant countries, such as in Eastern Bavaria, a great many towns have already asked for such a Police College.
Aber ich bin der Ansicht, es ist noch zu früh, dazu eine Entscheidung zu treffen.	I am of the view, however, that it is still too early to make a decision on the matter.
Selbstverständlich wäre das der beste Standort.	Naturally, that would be the best place for it to be located.
Aber heute geht es erst einmal darum, dass diese Polizeiakademie tatsächlich geschaffen wird. Hier wirken alle politischen Kräfte zusammen.	It is now firstly a question, however, of actually creating this Police College, and all political forces are together helping to achieve this goal.
Ich danke dem bayerischen und dem deutschen Innenminister, auch dem früheren österreichischen Innenminister Schlögel, die dies damals in Tampere gemeinsam möglich gemacht haben.	I would thank the Bavarian and German ministers of the interior, as well as former Austrian Minister of the Interior Schlögel, who together made this possible back in Tampere.
Ich glaube, dass es eine einmalige Chance ist, hier im Konkreten Europa zu schaffen, nämlich ein Europa der Rechtsstaatlichkeit, das nicht nur in irgendwelchen Dokumenten steht, sondern im Alltag Anwendung findet, und wir können als Europäisches Parlament stolz sein, dass dies eine Idee und Initiative dieses Hauses ist, die schon in wenigen Monaten Wirklichkeit wird.	I believe this is a one-off opportunity to create a Europe in practical terms, namely a constitutional Europe that does not just exist in some documents or other but finds expression on an everyday basis. As the European Parliament, we can be proud that this is one of our own ideas and initiatives, which is to become a reality in just a few months' time.
