Herr Präsident! Der Automobilbau ist eine Schlüsselindustrie in Europa.	Mr President, car manufacturing is one of Europe's key industries.
Sie beschäftigt 12 Millionen Menschen, sie steht für Innovation und Wachstum und ein Produkt, das individuelle Mobilität ermöglicht.	It employs some 12 million people, it represents innovation and growth and it produces something designed to provide individual mobility.
Es muss daher unser Ziel sein, dass die europäische Autoindustrie weltweit spitze und wettbewerbsfähig bleibt.	It must therefore be our aim to see that the European car industry maintains its global leadership and its competitiveness.
Wir müssen uns aber auch immer daran erinnern, dass heutzutage in einer globalisierten Weltwirtschaft der Grad zwischen Anreizen zu Innovationen und der Bestrafung für wirtschaftliches Handeln sehr klein ist und wir am Ende auch noch die besten Produkte auf der Welt exportieren und nicht etwa nur Produktionsstandorte verlagern.	At the same time, however, we need to remember that in today's global economy there is a very fine line between incentives for innovation and penalties for economic actions, and that, at the end of the day, we are still exporting the best products in the world and not just outsourcing our production locations.
Ich will mich nur auf den CO2-Aspekt - der ja mit Sicherheit einer der wichtigsten Aspekte ist, die wir hier diskutieren - konzentrieren.	I essentially want to focus on the CO2 issue, which is without doubt one of the most important aspects of the subject we are discussing here.
Die Lifestyle-Kritik, von der Herr Verheugen gesprochen hat, ist längst ein unerträglicher Bestandteil in der europäischen Klimaschutzdebatte.	Lifestyle criticism, which Mr Verheugen mentioned, has long been an unpleasant aspect of the European climate debate.
Es ist in, individuelle Lebensstile zu kritisieren.	It is very 'in' to criticise individual lifestyles.
Claude Turmes hat das gerade gesagt.	Claude Turmes has just done as much.
Nur, wenn wir Zweitonnen-Limousinen vom Markt nähmen, was er am liebsten tun würde, wären die CO2-Minderungen kaum messbar, der volkswirtschaftliche Schaden allerdings gigantisch.	The thing is, if we were to withdraw all the two-tonne limousines from the market, as he would dearly like to do, the CO2 reductions would scarcely be measurable, but the damage to the national economy would be enormous.
Ein Wort noch zum CO2-Verordnungsvorschlag, der jetzt auf dem Tisch liegt.	Let me now comment on the proposed CO2 regulation that is currently on the table.
Herr Verheugen hat hier gerade deutlich gesagt, dass es ihm nicht daran gelegen war, eine Lifestyle-Kritik-Verordnung auf den Weg zu bringen.	Mr Verheugen has said quite clearly in this respect that he has no wish to introduce legislation that would constitute a lifestyle criticism.
Wenn ich mir aber die Strafzahlungen anschaue, die jetzt für minimale Grenzwertabweichungen auf dem Tisch liegen, dann hat die Kommission meines Erachtens genau das getan.	However, when I look at the penalty payments now being proposed for minimal deviations from the prescribed limits, I tend to be of the view that this is precisely what the Commission has done.
An der Stelle wird hier von uns eine Verordnung diskutiert und erlassen, die innovationsfeindlich ist, denn das Geld, das die Automobilhersteller da zahlen müssen, brauchen sie für Innovation und Forschung.	In actual fact, the regulation that we are discussing and approving here today is hostile to innovation, for the money that the car manufacturers will have to pay out is needed for innovation and research.
