Herr Präsident, Herr Kommissar Verheugen! Sie haben sich zum Thema Innovation geäußert.	– Mr President, Commissioner Verheugen, you have spoken on the theme of innovation.
In diesen Tagen, wo es um die Fußball-WM geht, stellt sich bei diesem Thema automatisch das Bild der Japaner ein, die wunderbar bis zum Strafraum gespielt haben, dann aber kein Tor gemacht haben. Oder das Spiel Brasilien gegen Ghana, wo die Ghanaer vielleicht das beste Bild einer afrikanischen Mannschaft abgegeben haben, aber Tore sind nicht geschossen worden.	At a time like this, when the Football World Cup is on, the image that comes to mind in connection with this topic is that of the Japanese: they played wonderfully up to the penalty area, but then they did not score a goal.
So sieht es bei uns Europäern mit der Innovation aus. Wir sind wunderbar, wenn es darum geht, Dinge zu erfinden.	Then there was the match between Brazil and Ghana, where the Ghanaians gave perhaps the best showing of any African team, but did not score any goals.
Wir sind wunderbar, wenn es darum geht, bis zum Strafraum zu kommen. Aber wir verwandeln die Dinge nicht.	It is much the same with we Europeans when it comes to innovation: we are brilliant at inventing things, and we are brilliant when it comes to reaching the penalty area, but we cannot convert this into goals.
Deswegen bin ich Ihnen, Herr Kommissar, und auch der Berichterstatterin für diesen Bericht und Ihre Worte dankbar.	I am therefore grateful to you, Commissioner, and to the rapporteur as well, for this report and for your statements.
Ich möchte auch ein lobendes Wort an die Berichterstatterin richten, die es im Ausschuss mit wechselnden Mehrheiten zu tun hatte. Es gibt deshalb in diesem Bericht Licht und Schatten, und ich will zunächst mit dem Schatten beginnen.	I would also like to give my compliments to the rapporteur, who had to deal with shifting majorities in the committee, which led to there being light and dark aspects to this report. I will start with the darker aspects.
Da ist einmal die Frage, die wir mit dem Patentrecht aufwerfen.	Let us take for example the problem posed by patent law.
Die klare Forderung lautet, dass die Mitgliedstaaten nun endlich den Sprachenstreit beenden, damit es zum Europapatent kommt.	The law clearly demands that the Member States end the dispute about languages so that we can have a European patent.
Diese Formulierung ist zu schwach. Es geht mittlerweile doch um weit mehr als um Sprachen.	This formulation is too weak: since then it has become a question of much more than languages.
Es geht darum, eine geschickte, interessante und intelligente Kombination zu finden zwischen dem Londoner Übereinkommen und dem , also einem Streitsystem, wo wir ganz klar auch einen Gerichtshof schaffen, in dem es darum geht, mit Patentrecht umzugehen.	What is needed is to find a skilful, interesting and intelligent combination between the London Agreement and the patent litigation system, in other words a litigation system where we very clearly have to create a court that would be responsible for dealing with patent law.
Ein anderer Punkt sind die Berichtspflichten, die wir für KMU fordern.	Another important point is the reporting responsibilities that we demand for SMEs.
Wir fordern von der Kommission eine Berichtspflicht darüber, wie Innovationspotenzial gemessen wird.	We are asking the Commission to define a responsibility to report on how innovation potential is being measured.
Damit schaffen wir doch ganz eindeutig neue Bürokratie!	In doing so, however, we are quite clearly creating more bureaucracy.
Wenn wir von der Kommission verlangen, diese Berichte anzufordern, so wird sie das bei den kleinen und mittelständischen Unternehmen tun, und entsprechend werden diese zusätzlich mit Bürokratie belastet.	If we ask the Commission to demand these reports then it will do so from small and medium-sized enterprises, and they will thus be additionally burdened with bureaucracy.
Das ist der falsche Weg!	That is the wrong way to go about things.
Richtig sind hingegen die Punkte, die hier im Haus auch eine breite Mehrheit finden werden: dass wir zum Beispiel das Unternehmertum in Europa fördern, dass ein Scheitern im unternehmerischen Bereich durchaus auch einmal dazugehört und wir das anerkennen und akzeptieren, so wie wir das aus dem angelsächsischen Raum kennen.	The correct way to proceed, however, would be to adopt those points that will find a broad majority in this House: for example, if we were to promote business enterprises in Europe in such a way that failure in business were to become a genuine possibility, one that we could recognise and accept - as we can see in Anglo-Saxon countries.
Oder die Maßnahmen, die verhindern sollen, dass gute Forscher, gute Innovatoren aus Europa abwandern, die Infrastrukturen, die wir schaffen müssen, damit die europäischen Forscher wieder heimisch werden. Es gibt doch sehr viele in der Welt, die gerne wieder nach Europa zurück wollen.	We should introduce measures to prevent the best researchers and innovators from leaving Europe, and we must create infrastructures so that European researchers can once again be at home in Europe, since there are indeed many researchers in the world who would gladly move back to Europe.
Oder zusätzliche Hilfen für besonders kreative Klein- und Mittelständler.	We could also arrange additional subsidies for especially creative small and medium-sized enterprises.
Wir haben als Parlament gemeinsam mit der Kommission das Innovations- und Wettbewerbsfähigkeitsprogramm, das CIP verabschiedet — ich bin allen dankbar, dass dies in erster Lesung geklappt hat —, wo wir auch , also Risikokapital für diese besondere Anfangsphase zur Verfügung stellen.	Together with the Commission, this House has adopted the Competitiveness and Innovation Framework Programme, the CIP and I am grateful to everybody that this succeeded in first reading in which we make pre-seed money, that is, risk capital available for these particular initial stages.
Und natürlich Standards: Ich freue mich, dass wir das Thema Standards hier aufgreifen, denn über die Standardisierung und bessere Mechanismen zur Standardisierung können wir die Erfolgsgeschichte, die wir am Beispiel GSM sehen können — Kommissar Bangemann war derjenige, der das gestartet hat — neu auflegen.	Of course, there are standards too. I am glad that we have turned to the issue of standards, since through standards and better standardisation mechanisms we could reproduce the success story that we saw in the case of GSM – Commissioner Bangemann was the one who initiated this.
Lissabon ist nicht tot, aber mir gefiele Liverpool besser, denn der Liverpool-Prozess würde bedeuten, dass man im Champions-League-Finale zur Halbzeit 3:0 zurückliegen und doch gewinnen kann.	Lisbon is not dead, but I would prefer Liverpool, since the Liverpool Process would mean that we could be three-nil behind at half-time in the Champions League Final and yet still win.
Genau da stehen wir.	That is precisely where we now stand.
