Frau Präsidentin! Ich habe noch eine Frage zum Mittwoch.	Madam President, I have another question regarding Wednesday.
Aufgrund unserer Fehlentscheidung, den Freitag zu streichen, die Sie nicht zu verantworten haben, müssen wir am Mittwoch schon um 8.30 Uhr beginnen.	Due to our ill-judged decision to cancel Friday, for which you cannot be held responsible, we now have to begin at 8.30 a.m. on Wednesday.
Wir sind auf dem Weg zum Fünftage-Mittwoch.	We are on the way to a five-day Wednesday!
Wahrscheinlich können wir von Dienstag Mitternacht bis 8.30 Uhr gleich durcharbeiten.	We might as well start at midnight on Tuesday and work right through until 8.30 a.m.
Eigentlich wollte ich mich aber wegen der Fragestunde melden.	However, I rise to address the issue of Question Time again.
Die Kommissionsfragestunde wurde wieder verkürzt.	Question Time with the Commission has been cut yet again.
Wir bereiten uns ja immer präzise vor, so dass wir bestimmten Kommissaren bestimmte Fragen stellen.	We always prepare ourselves very carefully so that we put specific questions to specific Commissioners.
Das hat unser Haus in einer Reform der Fragestunde vor Jahren durchgesetzt.	This was enforced by this House during a reform of Question Time years ago.
Wir haben also Fragen an bestimmte Kommissare gestellt, und ich sehe, dass außer einer einzigen Frage an Herrn Kinnock alles in einen riesigen Topf geworfen wurde.	We have thus addressed questions to specific Commissioners, and I see that apart from a single question to Mr Kinnock, everything has been thrown into one enormous pot.
Die Anwesenheit aller übrigen Kommissare in dieser Fragestunde, die ein halbes Jahr vorher geplant war, ist ersatzlos gestrichen.	The attendance of all the other Commissioners at this Question Time, which was scheduled six months ago, has been cancelled without substitution.
Ich wollte fragen, warum dies der Fall ist.	I would like to know why this is the case.
