Herr Präsident! Diese Richtlinie ist, wie wir alle wissen, ein Kompromiss.	Mr President, as we all know, this directive is a compromise.
Aber sie ist zweifelsohne ein guter Kompromiss, weil sie beiden Seiten Rechnung trägt, bis zu einem gewissen Grad zumindest, auf der einen Seite den Transporten und auf der anderen Seite den Bürgern, die unter Lärm und Abgasen leiden.	However, it is, without doubt, also a good compromise, as it accommodates both sides, at least to a certain extent - both the carriers and the citizens, who have to suffer the noise and the exhaust gases.
Was sind die Vorteile dieser Richtlinie?	What are the advantages of this directive?
Für mich sind es drei.	For me, there are three.
Zum einen ist es die Zweckbindung der Mauteinnahmen für Investitionen in eine verbesserte Verkehrsinfrastruktur, das ist volkswirtschaftlich interessant, das bringt mehr Sicherheit und bessere Verkehrswege.	Firstly, there is the earmarking of the revenue from road charges for investment in improved transport infrastructure, which is in the public economic interest and provides increased safety and better transport routes.
Das zweite ist eine Vereinheitlichung des Inkassos. Das reduziert die Kosten und vermeidet Staus.	Secondly, there is the standardisation of collection, which lowers costs and prevents traffic congestion.
Das dritte und ganz wesentliche ist, dass es den Mitgliedstaaten die Möglichkeit und die Freiheit gibt, Kosten wie Lärm und Schadstoffemissionen künftig in die Maut einzurechnen.	Thirdly - and very importantly - there is the fact that it gives the Member States the ability and the freedom to factor costs such as noise and pollutant emissions into their road charges at a future point.
Das sind dann Lenkungsmechanismen.	These, then, are control mechanisms.
Wer Stoßzeiten und Staus meidet, der zahlt weniger, wer saubere und leise Lkw fährt, der spart Kosten.	Those who steer clear of rush hours and traffic jams will pay less and those who drive clean and quiet goods vehicles will enjoy lower costs.
Ich hoffe, dass diese Anreize dazu führen, dass in Zukunft Staus vermieden und Lkw-Flotten erneuert werden.	I hope that these incentives will mean that, in future, traffic jams will be avoided and goods vehicle fleets will be renewed.
Insgesamt wissen wir, dass in den Verhandlungen zweifelsohne nicht alle Wünsche erfüllt werden konnten, aber diese positiven Aspekte, die wir bei den Verhandlungen aufgrund der Stärke des Parlamentes durchsetzen konnten, sollten zu den gewünschten positiven Effekten führen.	All in all, we are aware that not all wishes could be satisfied in the negotiations, but these positive aspects that we were able to achieve in the negotiations thanks to Parliament's strength should lead to the desired positive effects.
Ich wünsche mir auch, dass es bei der Umsetzung nicht zuviel Bürokratie gibt, denn das würde dem Ganzen wieder schaden.	I also hope that there is not too much bureaucracy in the implementation, as that would harm the whole.
