Herr Präsident! Wir diskutieren heute abend über Zusatzstoffe.	Mr President, this evening we are discussing additives.
Früher hießen Zusatzstoffe Fremdstoffe.	Previously, additives were called foreign ingredients.
Dieses Wort macht es deutlicher, worum es geht, nämlich um fremde Stoffe in den Lebensmitteln.	That word clarifies what this is about, namely foreign ingredients in food.
Der Vorschlag der Kommission zielt auf eine Änderung der Richtlinie aus dem Jahr 1995 über andere Lebensmittelzusatzstoffe als Farbstoffe und Süßmittel ab, wobei die vorgeschlagenen 35 Änderungen fast ausschließlich die entsprechenden Anhänge betreffen.	The Commission's proposal is aimed at changing the 1995 guideline concerning other food additives such as colourings and sweeteners, whereby the 35 proposed amendments almost exclusively cover the corresponding Annexes.
Grundsätzlich gehen wir im Ausschuß für Umweltfragen, Volksgesundheit und Verbraucherschutz davon aus, daß eine Vereinheitlichung der Zulassung und des Einsatzes von Lebensmittelzusatzstoffen in der Europäischen Union zu begrüßen ist, denn ohne eine einheitliche Regelung bei Zusatzstoffen führt das Prinzip der gegenseitigen Anerkennung zu einer großen Verunsicherung der Verbraucher und hohen Defiziten in der Lebensmittelüberwachung und in der Lebensmittelkennzeichnung.	We in the Committee on the Environment Questions, Public Health and Consumer Protection assume that a unification of licensing for the use of food additives in the European Union is to be welcomed. Without a unified regulation of additives the principle of mutual acceptance would lead to insecurity amongst consumers and large problems in food inspection and food labelling.
Mit einer Vereinheitlichung der Zulassung und Anwendung von Zusatzstoffen sollte gleichzeitig soweit wie möglich eine Reduzierung der Stoffvielfalt und der Einsatzgebiete angestrebt werden.	A unified authorization and use of additives should be accompanied at the same time as far as possible by a search for reductions in the number of different additives and their areas of use.
Der Umweltausschuß hat auch noch einmal deutlich gemacht, daß es darum gehen muß, auch den Forderungen der europäischen Verbraucher und ihrer Verbände nachzukommen, denen es vor allen Dingen darum geht, daß in der Lebensmittelindustrie soweit wie möglich freiwillig auf Zusatzstoffe verzichtet wird.	The Committee on the Environment has again made clear that our concern must be to meet the demands of European consumers and their associations. Their concern is mainly that the food industry should as far as possible voluntarily avoid the use of additives.
Die Verbraucher, aber auch die Lebensmittelindustrie haben in den letzten Jahren bewiesen, daß der Einsatz von Zusatzstoffen stark eingeschränkt werden kann.	Consumers and also the food industry have shown over recent years that the use of additives can be greatly reduced.
Wir haben ja die Situation, daß Produkte auf dem Markt sind, die sowohl mit Zusatzstoffen als auch ohne angeboten werden können.	We now have the situation where there are products on the market both with and without additives.
Die Rahmenrichtlinie aus dem Jahr 1989 sieht Kriterien vor für die Zulassung von Zusatzstoffen.	The outline guideline of 1989 provided criteria for the authorization of additives.
Da muß zum einen die technologische Notwendigkeit gegeben sein, ferner, daß sie gesundheitlich unbedenklich sind, daß sie den Verbraucher nicht irreführen und daß sie natürlich nachweislich Vorteile bieten.	First, there must be a technological necessity for them; they must not damage health; they must not mislead the consumer; and they must of course show advantages.
Es gibt jedoch Kritik an dem Kommissionsvorschlag, denn bei dem Kommissionsvorschlag hat man sich nicht die Mühe gemacht, diese technische Notwendigkeit darzulegen und deutlich zu machen, wo die zu erwartenden Vorteile für die Verbraucher liegen.	There has been criticism of the Commission's proposal, however, as it has not taken the trouble to make the technical necessity clear, nor to explain where the advantages to the consumer lie.
Es ist also anzuregen, daß künftig bei der Zulassung von Zusatzstoffen das Kriterium der technischen Notwendigkeit überprüft wird, daß auch nach Jahren noch einmal überprüft wird, ob diese technische Notwendigkeit in der Tat noch gegeben ist.	It is urged, therefore, that in future there should be an examination of technical necessity before the authorisation of additives, and that there should be a further check some years later to see that the technical necessity actually still exists.
Es wäre auch wünschenswert, daß die Kommission endlich objektive Kriterien erließe, um diese zentralen Zulassungsargumente zu entwickeln und zu einer besseren Bewertung von Zusatzstoffen zu kommen.	It is desirable that the Commission should at last to lay down objective criteria to develop these central licensing factors to achieve a better assessment of additives.
Der Umweltausschuß hat mehrere Änderungen vorgeschlagen.	The Committee on the Environment has proposed several amendments.
Die Kommission wollte, daß bei Sahne, auch bei teilentrahmter, entrahmter und sterilisierter Sahne, die bislang 38 Zusatzstoffe aufweisen kann, weitere Zusatzstoffe zugesetzt werden können.	The Commission wanted cream, low-fat cream, non-fat cream and sterilized cream, which have 38 additives, to be allowed to have more.
Hiergegen hat sich der Ausschuß ausgesprochen, denn es ist davon auszugehen, daß der Verbraucher relativ unbehandelte Lebensmittel will und gerade Sahne als solches wahrgenommen wird.	The Committee expressed its opposition to this, as it can be assumed that the consumer wants relatively unprocessed food, and this applies particularly to cream.
Der Verbraucher sollte auch darüber informiert sein, wo es für bestimmte Bevölkerungsgruppen Gesundheitsgefährdungspotential gibt.	The consumer should also be informed where there is a potential hazard to certain groups of the population.
Gerade bei den Zusatzstoffen hat sich gezeigt, daß sie ein zunehmendes allergieauslösendes Potential besitzen und genau diese Allergien angestiegen sind.	It has been shown that particularly the food additives possess an increasing allergenic capability, and that it is precisely these allergies which have increased in frequency of occurrence.
