Herr Präsident, liebe Kolleginnen und Kollegen! Ich möchte mich zu vier Punkten äußern.	Mr President, ladies and gentlemen, I wish to make four points.
Zum ersten möchte ich sagen, dass das ambitionierte Ziel, das SOKRATES ja seit Jahren beinhaltet, nämlich die Schaffung eines europäischen Bildungsraumes, nun fast Wirklichkeit geworden ist - ich hoffe, dann auch in den Texten!	Firstly, I should like to say that the ambitious goal Socrates has pursued for years, the creation of a European educational area, is now almost reality - and I hope it will soon be embodied in the texts.
Der Rat, die Räte von Feira, von Lissabon und von Stockholm und auch noch von Nizza haben die Bedeutung und die Rolle von Erziehung und Ausbildung in der Gesellschaft und für die Gesellschaft des Wissens hervorgehoben.	The Council, the Councils of Feira, Lisbon, Stockholm and now also of Nice, have stressed the importance and role of education and training in society and for the knowledge society.
Ich möchte gerne unterstreichen: Erziehung und Ausbildung bedeuten heute erstens die wichtigsten politischen Prioritäten in der Europäischen Union, zweitens eine politische Herausforderung und eine wirtschaftliche Herausforderung, denn wir alle wissen: Ohne Bildung und Erziehung können wir auch den jungen Menschen keine Ausbildungsplätze anbieten.	I should like to underline that today education and training are, first of all, the European Union' s most important political priorities; secondly, they are a political challenge and an economic challenge, because we all know that without education and training we cannot offer young people training places.
Drittens bedeuten sie eine Gelegenheit, das linguistische und das kulturelle Erbe Europas weiterzuentwickeln und ihm einen europäischen Mehrwert zu vermitteln.	Thirdly, they are an opportunity to further develop Europe' s linguistic and cultural heritage and give it European added value.
Der zweite Punkt, den ich ansprechen möchte: Kommission und Rat scheinen wirklich auf der einen Seite Maximalisten und auf der anderen Seite Minimalisten zu sein - Maximalisten in den Strategien und den politischen Ambitionen, die sie entwickeln, die sie zu Papier bringen.	The second point I want to address is that the Commission and Council really seem to be both maximalists and minimalists. Maximialists in the strategies and political ambitions they develop on paper.
Auf der anderen Seite ist die Europäische Union und vor allen Dingen der Rat ein ganz großer Minimalist, wenn es darum geht, diese großen Entwürfe auch wirklich mit finanziellen Mitteln auszustatten.	On the other hand, however, the European Union and, above all, the Council, is a very great minimalist when it comes to actually giving these great projects financial resources.
Gescholten wird dann immer die Kommission oder auch das Parlament, oder wer auch immer, aber nie die Herrschaften, die den großen Räten in allem Glanz und Gloria verkünden, wie wichtig die Bildung, wie wichtig die Erziehung ist!	Then it is always the Commission or Parliament or whoever that come in for criticism, but never the people who with great pomp and ceremony announce to the great councils how important training and education are.
Wenn sie dann am nächsten Tag das Geld dafür geben würden, wären wir alle - vor allen Dingen aber unsere Bürger - sehr dankbar!	If they would provide the money for it the next day, we would all, especially our citizens, be very grateful.
Die Europäische Union war eigentlich immer geizig in den Budgets, die die Erziehung betrafen.	The European Union has, in fact, always been mean in the budgets for education.
Und ich erinnere alle Kolleginnen und Kollegen an den schrecklichen Vermittlungsausschuss-Marathon, als es um das bisschen mehr ging, was wir für SOKRATES verlangt haben.	I should like to remind you all of the dreadful Conciliation Committee marathon over the little bit extra we wanted for Socrates.
