Frau Ratsvorsitzende, Herr Kommissar! Wir können hier nur reden.	Madam President-in-Office, Commissioner, all we can do here is talk.
Aber wir sollten auch nichts beschönigen und den Verantwortlichkeiten gegenüber eine klare Sprache sprechen.	But we should not use euphemisms and must speak plainly to those responsible.
Zunächst einmal: Ich kann es wirklich nicht mehr hören. Wir sollen Lehren ziehen.	First of all, I am fed up with hearing that we should learn lessons.
Acht Jahre dauert die Tragödie schon, und jeder, der die Lage in Bosnien mit Augen und Ohren mitverfolgt hat, wußte, daß Kosovo die nächste Bombe ist, die nächste Katastrophe sein wird, die explodiert.	The tragedy has been going on for eight years, and everyone who saw and heard about the situation in Bosnia knew that Kosovo would be the next time-bomb waiting to explode, the next disaster.
Seit vielen Jahren geschieht nichts.	Yet nothing was done for years.
Zweitens: Aus ethnischen Gründen wird ganz bewußt mit militärischem Terror die Zivilbevölkerung vertrieben und bewußt in Kauf genommen, daß sie dezimiert wird.	Secondly, the civilian population is quite deliberately being driven out by military terror and deliberately being decimated.
Das ist ganz klar ein Kriegsverbrechen.	That is quite clearly a war crime.
Das sollten wir aussprechen.	And it needs to be said.
Als nächstes: Wer ist verantwortlich?	Next: who is responsible?
Natürlich Milosevic!	Milosevic of course!
Aber darüber ist genug gesprochen worden.	That too has been said often enough.
Aber ebenso klar sollten wir aussprechen: Mitverantwortlich in hohem Maße sind die im Rat zusammentretenden nationalen Regierungen unserer Mitgliedsländer, die seit Jahren keine geeigneten politischen Maßnahmen finden, um der Situation Herr zu werden.	But we should also say quite plainly that the national governments of our Member States meeting in the Council bear their share of responsibility after failing for years to find the appropriate political measures to tackle the situation.
Diese Regierungen sind mitverantwortlich.	These governments share the responsibility.
Doch besondere Verantwortung tragen gerade jetzt zwei Regierungen, nämlich die Griechenlands und Großbritanniens, die nicht einmal die Beschlüsse von Cardiff hinsichtlich der Flugsanktionen bereit sind mitzutragen.	But two governments, those of Greece and the United Kingdom, bear special responsibility today, because they were not even prepared to endorse the Cardiff decisions on airline sanctions.
Das sind die Hauptverantwortlichen der Situation.	They are primarily responsible for the situation.
Niemand möge sich herausreden: Das Leben von 300 000 Menschen ist bedroht.	Let no one try to talk his way out of this: the lives of 300 000 people are at risk.
Wer da mitverantwortlich ist und nichts tut und keine Sanktionen ergreift, der ist mitschuldig.	Anyone who is partly responsible but does nothing and does not apply sanctions bears a share of the blame.
Das sollte ganz klar gesagt werden!	That needs to be said quite clearly!
