Herr Präsident, die Fraktion der Europäischen Volkspartei unterstützt die gemeinsame Entschließung.	Mr President, the Group of the European People's Party supports the joint resolution.
Wir legen großen Wert darauf, daß die Regeln der WTO eingehalten werden müssen.	We consider it most important for the WTO rules to be observed.
Es ist absolut inakzeptabel, wenn die USA mit einseitigen Maßnahmen gegen europäische Unternehmen drohen, die mit der Bananenmarktordnung, mit dem Streit darüber, nun wirklich absolut nichts zu tun haben.	It is absolutely unacceptable for the USA to threaten unilateral measures again European firms that really have nothing at all to do with the banana market organisation, with the dispute about it.
Es ist auch völlig inakzeptabel, wenn die Politik in den USA dem Druck von Chiquita und anderen nachgibt.	It is also entirely unacceptable for US policy to give in to the pressure from Chiquita and others.
Die Kommission muß unterstützt werden, wenn sie verlangt, daß die Regeln der WTO eingehalten werden.	We must support the Commission in its demand for respect for the WTO rules.
Aber auch die EU muß sich an die Regeln der WTO halten. D.h., wenn wir auch das nächste Panel verlieren, muß die Marktordnung erneut angepaßt werden.	But the EU must also respect the WTO rules, which means that if we lose again at the next panel, we will have to revise the market organisation again.
Ich bitte die Kommission, sich schon zu überlegen, wie man dann reagiert, wenn ein solcher Fall eintritt.	I would ask the Commission to consider how we will react if that happens.
Ich sage persönlich, daß ich die Marktordnung nicht für eine gute Marktordnung halte.	For myself, I would say that I do not regard this as a good organisation of the market.
Sie ist diskriminierend gegenüber dem Produzenten in Lateinamerika, und sie schützt nicht die kleinen Produzenten gegen die Multis, wie das so oft gesagt wird, denn auch in Lateinamerika gibt es kleine, unabhängige Produzenten.	It discriminates against producers in Latin America and it does not protect small producers against the multinationals, as is said so often, for there are small, independent producers in Latin America too.
In Ecuador haben 60 % der Erzeuger weniger als 20 Hektar, und sie sind im nationalen Besitz, nicht im Besitz von Chiquita.	In Ecuador, 60 % of producers have fewer than 20 hectares, and they are owned nationally, not owned Chiquita.
In Costa Rica gibt es fair-trade -Bananen, und alle diese werden durch die Marktordnung diskriminiert.	In Costa Rica there are fair-trade bananas, and the organisation of the market discriminates against all of them.
Wenn der Kommissar Pinheiro vor zwei Wochen zu meinem Bericht über Bananen sogar gesagt hat, daß die Multis in den AKP-Staaten Geld von der Kommission bekommen sollen, um dort Bananenplantagen aufzubauen, dann ist das nur der Gipfel der Heuchelei, wenn man sagt, wir wollen hier die Kleinen gegen die Großen verteidigen.	For Commissioner Pinheiro actually to say two weeks ago in regard to my report on bananas that the Commission should give the multinationals in the ACP states money to build up banana plantations is pure hypocrisy, if at the same time we say we want to defend the small producers against the big shots.
Es geht vielleicht um ganz andere Dinge.	Perhaps quite different issues are at stake here.
Das soll uns aber nicht daran hindern, immer wieder zu betonen, daß die Regeln der WTO eingehalten werden müssen und daß wir die Angriffe der Vereinigten Staaten nicht akzeptieren können.	But that should not prevent us from insisting again and again that the WTO rules must be respected and that we cannot accept the US attacks.
Wir können auch nicht akzeptieren, was das Hormonfleisch und was die Frage der genetisch veränderten Organismen angeht.	Nor can we accept the US views on hormone-containing meat and on the question of genetically modified organisms.
Wir müssen hier unsere Gesetzgebung verteidigen.	Here we must stand up for our legislation.
Wir müssen unsere Gesetzgebung aber dann, wenn wir sehen, daß sie möglicherweise nicht mit den WTO-Regeln in Einklang steht, auch anpassen.	But should we find that our legislation is not compatible with the WTO rules, then indeed we have to revise it.
Ich möchte den Kommissar Sir Leon Brittan auch auf die Debatte zum Bericht Bowe aufmerksam machen, die wir eben geführt haben.	I would also draw Sir Leon Brittan's attention to the debate we have just held on the Bowe report.
Hier wurde vom Ausschuß ein Änderungsantrag beschlossen, der sagt, wir sollen sozioökonomische Kriterien bei der Genehmigung von genetisch veränderten Organismen berücksichtigen.	There the committee proposed an amendment to the effect that we should take account of socio-economic criteria when authorising genetically modified organisms.
Ich denke, wenn der Antrag angenommen wird und in die Gesetzgebung Einfluß nimmt, dann ist es ja eine Steilvorlage für die Amerikaner.	I believe that if that amendment is adopted and has an influence on the legislation, it will be a through ball for the Americans.
Wir müssen anhand wissenschaftlicher Dokumente beweisen, daß unsere Politik richtig ist, und die gibt es sowohl beim Hormonthema als auch bei den GVO.	We have to prove on the basis of scientific evidence that our policy is the right one, and this applies both to the hormone issue and to GMOs.
Wir machen das Vorsorgeprinzip zur Grundlage unserer Politik und nicht irgendwelche willkürlichen sozioökonomischen Kriterien.	We regard the precautionary principle as the foundation of our policy, not some arbitrary socio-economic criteria.
Auch hier müssen wir aufpassen, daß wir im Herbst nicht neue Probleme bekommen.	Here too we must take care we do not come up against new problems in the autumn.
