Herr Präsident! Schönen Dank auch an die Berichterstatterin!	Mr President, I would like to thank the rapporteur.
Ich denke, sie hat ein paar wichtige Punkte angesprochen, auf die ich auch gleich noch einmal zu sprechen kommen werde.	I believe she has touched on a few important points, which I intend to raise again myself very shortly.
Zuerst einmal, wir diskutieren über die Zustimmung des Parlaments zu den angesprochenen Verträgen unter WIPO.	First and foremost, we are discussing Parliament' s assent to the aforementioned WIPO treaties.
Noch ist nichts in Kraft, die Entscheidung des EP hat diesmal also Gewicht.	Nothing is in force yet and so this time Parliament' s decision will carry some weight.
Der Beitritt der EU entspricht ihrem Ansinnen, alle internationalen wie internen Kompetenzen an sich zu ziehen, aber unklar ist, wo die Kompetenzen ankommen sollen, die der nationalen Kontrolle entzogen werden.	In signing up, the EU is acting in accordance with its intention to arrogate all internal and international powers, but it is unclear as to where the powers withdrawn from national control, are to end up.
Zustimmung ist hier also nur angesagt, wenn das EP bei jeder Fortentwicklung des WIPO-Rechts von Anfang bis zum Ende einbezogen ist und Mitentscheidungsrecht hat.	Therefore assent will only be the order of the day here if the EP is involved in the development of WIPO law every step of the way, from start to finish, and has the right of codecision.
Das ist im Amsterdamer Vertrag nicht vorgesehen.	This is not provided for in the Treaty of Amsterdam.
Was sagt die Kommission dazu?	What does the Commission have to say to that?
Wesentliche Aspekte sind in den WIPO-Vertragsentwürfen unklar geblieben, das sagt auch die Berichterstatterin.	Crucial aspects have remained unclear in the draft treaties, and the rapporteur says the same.
Um ein Beispiel zu nennen: Der Begriff "Urheber " ist eben im Vertrag gar nicht definiert. Damit wären Rechtsstreitigkeiten für die Vertragsparteien vorprogrammiert.	To quote one example: the concept "author" is not defined in any way in the Treaty, which would make the situation ripe for litigation amongst parties to the Treaty.
Hier frage ich die Kommission: Will sie blinden Auges in dieses Problem hineinlaufen?	I would like to ask the Commission at this point if it intends to go into this with its eyes shut?
Will sie anderen Vertragsparteien ihre Urheberrechtsdefinitionen aufzwingen?	Does it intend to impose its own definitions of copyright on other parties to the Treaty?
Auch stützt sich die WIPO-Konzeption auf das Individualrechtskonzept.	In addition, the WIPO approach is based on the concept of individual rights.
Das führt z. B. bei den indigenous people der Sami zu Problemen, da sie ein anderes Rechtsverständnis, ein Kollektivrechtsverständnis haben.	This will lead to problems for indigenous people such as the Sami, for they have a different notion of rights: that of collective rights.
Es stehen aber auch öffentliche Interessen auf dem Spiel.	However, there are also public interests at stake.
Unklar ist z. B., ob es öffentlichen Bibliotheken in Zukunft überhaupt noch erlaubt ist, kostenlos Bücher, Videos und Kassetten zu verleihen.	For example, it is unclear as to whether public libraries will even be allowed to loan books, videos and cassettes at no charge in the future.
Damit wird das Recht auf gleichen Bildungszugang unmittelbar berührt.	This would directly affect the individual' s right to equality of opportunity with regard to access to education.
Warum schweigt sich die Kommission darüber aus?	Why does the Commission say nothing about this?
Will sie die Bildung auch privatisieren?	Does it in fact want to privatise education?
Wirtschaftliche Interessen sind in den Verträgen ganz groß, öffentliches Interesse hingegen ganz klein geschrieben.	Economic interests are there in the large print of the treaties; public interests, on the other hand, are there in very small print indeed.
Es wird das Bild des armen Poeten gemalt. Es geht hier jedoch um die lückenlose Vermarktung des Titanic soundtracks.	We have been conjuring up images of the penniless poet, but what we are talking about here is the total marketing of the soundtrack of Titanic.
Außerdem ist das Verhältnis von WIPO und TRIPS nicht geklärt, zumal sich Teile von beiden Verträgen decken.	Furthermore, the relationship between WIPO and TRIPS has not been clarified, particularly as parts of the two treaties overlap.
Jetzt könnte man sagen: Klar, TRIPS, der Unterschied ist trade related intellectual property, aber bei WIPO geht es ja hauptsächlich um die Handelsrelevanz.	One could now say: "fine, TRIPS, the difference is trade-related intellectual property, but WIPO is mainly about relevance to trade.
Deswegen: Wo ist die Abgrenzung zwischen beiden Verträgen, und soll es eine Zusammenarbeit geben?	Therefore, how do we distinguish between these two treaties and ought there to be cooperation?
Wenn ja, in welcher Form?	If so, what form should this take?
Soll mit der WIPO ein Präzedenzfall geschaffen werden, um auch TRIPS ganz der EU-Kompetenz zu unterstellen?	Should we set a precedent with WIPO so as to give the EU complete control over TRIPS too?
Alles in allem besteht bei der Vorlage noch erheblicher Klärungs- und Nachbesserungsbedarf.	All in all, there is still a huge amount of room for improvement and clarification as far as the draft is concerned.
Ich erwarte von der Kommission Auskunft über die aufgeworfenen Fragen, um eine Stimmerklärung für meine Fraktion überhaupt abzugeben.	I expect the Commission to provide some information on the questions that have been raised so that I can at least give an explanation of vote for my group.
