Herr Präsident, die derzeitige Haushaltsordnung ist veraltet.	Mr President, the present Financial Regulation is out of date.
Sie genügt den Anforderungen eines modernen Finanzmanagements nicht mehr.	It no longer meets the requirements of modern financial management.
Basierend auf den Prinzipien dezentraler Verantwortung und Transparenz hat die Kommission einen Vorschlag für eine neue Haushaltsordnung vorgelegt.	The Commission has put forward a proposal for a new Financial Regulation based on the principles of decentralised responsibility and transparency.
Die beiden Berichterstatter, Herr Dell'Alba und Herr van Hulten, haben im Haushaltsausschuss und im Ausschuss für Haushaltskontrolle diesen Vorschlag durchgearbeitet und Änderungen vorgeschlagen.	The two rapporteurs, Mr Dell' Alba and Mr van Hulten, have worked through the proposal in the Committee on Budgets and the Committee on Budgetary Control and tabled amendments.
Dafür Lob und Anerkennung!	They deserve praise and recognition for this.
Dennoch bleiben für meine Fraktion einige Punkte offen.	However, my group finds a number of points still open.
Zum ersten: Der jüngste Bertrugsbekämpfungsbericht 2000 der Kommission stellte eine sprunghafte Zunahme von Betrügereien und Unregelmäßigkeiten gegenüber dem Vorjahr fest.	Firstly, the Commission' s most recent report on combating fraud in the year 2000 showed a massive increase in fraud and irregularities compared to the previous year.
Rund 2 Mrd. Euro gingen verloren.	Around EUR 2 billion were lost.
Die Erfahrung lehrt, dass sich bestenfalls 15 % bis 20 % der Verluste zurück holen lassen.	Experience shows that at best 15% to 20% of the losses can be recovered.
Ist es da sinnvoll, vorbeugende Ex-ante-Kontrollen durch eine unabhängige Finanzkontrolle abzuschaffen?	In such circumstances, is there any sense in abolishing preventive ex ante checks by independent financial control?
Wir wollen keine Rückkehr zu schematischen zentralisierten Vorabkontrollen, die Verantwortung abnahmen und falsche Sicherheit vorspiegelten.	We do not want a return to schematic centralised preliminary controls that took away responsibility and created a false sense of security.
Vielmehr sollten künftig auf der Grundlage effizienter Risikoanalysen und Stichproben unabhängige Finanzkontrolleure dezentral dazu beitragen, dass das Geld der Steuerzahler vorab nicht unrechtmäßig ausgegeben wird.	Rather, on the basis of efficient risk analyses and random checks, independent financial controllers should in future help to ensure decentrally that taxpayers' money is not spent illegally from the outset.
Zweitens: Bei mehr Verantwortung auf allen Ebenen sollen künftig die Finanzakteure bei Fahrlässigkeit oder vorsätzlichem Verstoß gegen die Finanzvorschriften in Haftung genommen werden.	Secondly: with more responsibility at all levels, it will in future be possible to hold financial actors liable for negligence or deliberate breaches of the financial regulations.
Unser Antrag soll hier ein gerechtes Verfahren durch ein unabhängiges Gremium für alle Institutionen schaffen.	Our motion here is designed to create a fair procedure by means of an independent body for all institutions.
Zum Stichwort Unabhängigkeit: Mit Verwunderung nehmen wir zur Kenntnis, dass die Kommission in ihrem Vorschlag für die neue Haushaltsordnung den internen Prüfern sang- und klanglos die eigenständige Klagebefugnis gestrichen hat, wie sie in der derzeitigen Haushaltsordnung verankert ist.	On the matter of independence: we are astonished to note that the Commission in its proposal for the new Financial Regulation has quietly deleted the independent right of action for internal auditors that is enshrined in the present Financial Regulation.
Wir möchten dieses durch einen Antrag wieder herstellen.	We should like to restore this again through a motion.
Der letzte Punkt: der Vergabebeirat.	The final point: the Advisory Committee on Procurements and Contracts.
Es ist das Beratungsgremium, das vor der Vergabe von Verträgen einzuschalten ist.	This is the advisory body that must be consulted before contracts are awarded.
Dieses Haus hat in der letzten Sitzung in Straßburg eine Reform dieses Verfahrens beschlossen.	At the last session in Strasbourg, this House resolved to reform this procedure.
Ich glaube, wir machen uns unglaubwürdig, wenn wir nun 14 Tage später die Abschaffung des Gremiums fordern.	I think we will lose credibility if we now call for the body to be abolished 14 days later.
