Herr Präsident! Die Strategie von Lissabon hatte keinen nachhaltigen Erfolg.	Mr President, the Lisbon Strategy did not have any sustainable success.
Warum?	Why not?
Mitgliedstaaten, Sozialpartner und weite Teile der Bürgergesellschaft wurden zu wenig einbezogen und fühlen sich deshalb nicht mitverantwortlich.	Member States, social partners and large parts of civil society were too little involved and so they had no sense of shared responsibility.
Die Strategie EU 2020 kann anders sein.	The EU 2020 strategy can be different.
Sie kann erfolgreich werden, Herr Kommissar, wenn sie sich auch mit denen befasst, die sich ausgegrenzt fühlen, die oft zu kurz kommen, die oft keine Lobby haben.	It could be a success, Commissioner, if it also deals with those who are excluded, who are losing out and who often do not have a lobby.
In der EU sind nicht einmal zwei Drittel der Erwerbsfähigen auch beschäftigt.	In the EU, not even two thirds of those who are capable of work are in work.
Nur knapp die Hälfte aller älteren Arbeitnehmer hat einen Job.	Only just under a half of all older workers have a job.
80 Millionen Europäer sind unzureichend qualifiziert, mit immer geringer werdenden Chancen auf den Arbeitsmärkten - eine Perspektive, die nicht hinzunehmen ist!	Eighty million Europeans are insufficiently qualified and have increasingly fewer opportunities in the labour market. This is a situation we cannot accept.
Eine echte Zukunftsstrategie benötigt doch eine sozialere Ausrichtung.	However, a genuine future strategy needs a social orientation.
Qualitatives Wachstum in Wirtschaft und Beschäftigung auf der einen Seite muss in Einklang gebracht werden mit dem sozialen Ausgleich und mit der Nachhaltigkeit, Kommissar Andor, unser gemeinsames Arbeitsfeld!	Qualitative growth in the economy and employment on the one hand must be reconciled with social equality and with sustainability. Commissioner Andor, we are both working on that.
Was heißt das konkret?	What does this mean in concrete terms?
Die sozialen Sicherungssysteme in den Mitgliedstaaten müssen dem demographischen Wandel angepasst werden.	The social security systems of Member States must be adapted to democratic change.
Durch den europaweiten Austausch von best practices können wir unseren Teil dazu beitragen, können wir von- und miteinander lernen.	Through exchange of best practice throughout Europe, we could make our contribution to that and we could learn from and with each other.
Der Europäische Sozialfonds - eines Ihrer Steckenpferde - muss an die neuen Herausforderungen angepasst werden, damit wir vor Ort noch wirksamer werden können.	The European Social Fund - one of your hobby horses - must be adapted to the new challenges, so that we can be even more efficient on the ground.
Der Europäische Globalisierungsfonds ist so auszubauen, dass die von Arbeitslosigkeit Bedrohten wieder Fuß fassen können.	The European Globalisation Fund is so constructed that those at risk of unemployment are able to find their feet.
Unsere Gesellschaft muss integrieren, etwa die Jugendlichen durch eine qualifizierte Bildung und Ausbildung, damit sie sich beruflich und persönlich besser entfalten können.	Our society must be integrative and integrate young people, for example, through appropriate education and training, so that they can develop professionally and personally.
Trotz aller notwendigen Konsolidierung der nationalen Haushalte - was wir gerade erleben und heute Vormittag diskutiert haben - darf bei einem nicht gespart werden: bei den Investitionen in unsere Bürger.	Despite all the necessary consolidation of national budgets - which is exactly what we are going through and debated this morning - there is one thing we must not seek to save money on: investment in our citizens - in economic, sustainable and social terms.
Wirtschaftlich, nachhaltig und sozial, mit diesen drei Säulen steht und fällt die Strategie EU 2020.	The EU 2020 strategy will rise and fall with these three pillars.
