im Namen der ALDE-Fraktion. - Frau Präsidentin! Vielen Dank für Ihre Antwort, Herr Kommissar.	Madam President, thank you, Commissioner, for your response.
Ich bin auch Mitglied im Verkehrsausschuss und finde es sehr wichtig, dass wir diese Frage jetzt auf der Tagesordnung haben.	I am also a member of the Committee on Transport and Tourism and I think it is very important that we have this issue on the agenda now.
Brian Simpson hat sie ja bereits für uns vorgestellt.	Indeed, Mr Simpson has already presented it to us.
Es gibt im Verbraucherschutz, wie er derzeit besteht, tatsächlich eine Lücke, was Flugreisende angeht.	As it stands, there is a gap in consumer protection where air passengers are concerned.
Diese Lücke betrifft die Insolvenzen von Flugunternehmen, das wurde bereits thematisiert.	This gap relates to the insolvency of airlines, as has already been discussed.
Aus meiner Sicht ist es ganz wichtig, Verbraucherrechte hochzuhalten. Das tun wir auch.	In my opinion, it is extremely important to uphold consumer rights, and that is what we are doing.
Wir versuchen, die Verbraucher zu schützen, soweit es geht.	We are trying to protect consumers as far as possible.
Ich möchte noch einen Aspekt aus der Sicht unserer Fraktion hinzufügen, der bisher hier keine Rolle gespielt hat, den ich aber bei den Überlegungen auch für wichtig halte.	I would like to mention one other aspect from the point of view of our group which has not been a factor in this up to now, but which I think is also an important consideration.
Denn wir wollen natürlich, dass die Verbraucherrechte geschützt werden, dass die Verbraucher aber auch Wahlmöglichkeiten haben.	Of course, we want consumer rights to be protected, but we also want consumers to have choice.
Bei den Überlegungen, wie man diese Lücke schließen kann, kann es durchaus sein, dass, ein Vorschlag, den Sie in der Kommission erarbeiten, zu einer Überregulation führt, die vielleicht dann Innovationen bei Angeboten in diesem Bereich behindern könnte.	When considering how we can close this gap, it may well be the case that a proposal that you draw up in the Commission will result in over-regulation, which may then hinder innovation when it comes to the options offered in this area.
Verbraucherrecht heißt ja auch, dass man eine Auswahl zwischen verschiedenen Angeboten haben sollte, die es bei Fluglinien zum Beispiel gibt.	Consumer law also means, of course, that there should be a choice between various different offers from airlines, for example.
So gab es ja beispielsweise die Entwicklung, dass jetzt statt Pauschalreisen teilweise sehr günstige Flugreisen angeboten und von den Verbrauchern auch gerne angenommen werden.	Thus, the trend now, for example, is for some very cheap flights to be on offer in place of some flat-rate journeys, something which is also very much welcomed by consumers.
Damit Sie mich nicht missverstehen: Ich möchte auf keinen Fall die Verbraucherrechte schmälern!	Please do not misunderstand me; I do not want to diminish consumer rights in any way.
Mir ist auch der Schutz dieser Rechte sehr wichtig, und wir brauchen ein passendes Instrument dafür.	Protection of these rights, too, is very important to me, and we do need an appropriate instrument to do this.
Wir sollten aber schon sehen, welche Gesichtspunkte wir berücksichtigen müssen, damit auch tatsächlich im Bereich der Angebote im Flugverkehr weiterhin eine große Vielfalt bestehen bleibt und auch neue Angebote auf den Markt kommen können, die Verbraucher aber trotzdem geschützt werden und nicht auf irgendwelchen finanziellen Problemen sitzenbleiben, wenn tatsächlich eine Fluggesellschaft bankrottgehen sollte oder Insolvenz anmelden muss.	However, we should consider the perspectives that we need to take into account to ensure that there indeed remains a large degree of choice when it comes to air travel and that new options can come onto the market, but that consumers are nevertheless protected and are not left with any sort of financial problems if an airline were to actually go bankrupt or has to file for bankruptcy.
In diesem Sinne freue ich mich, dass Sie gesagt haben, Sie arbeiten an einer Antwort.	In this regard, I am pleased to hear you say that you are working on a solution.
Die Richtung war ja klar, es könnte auch einen Hilfsfonds geben.	The direction was, of course, clear in that there may also be an aid fund.
Ich bin sehr gespannt auf die Diskussion im Ausschuss, vielleicht sogar noch in diesem Jahr. <BRK>	I am looking forward to the discussion in committee, which may perhaps even take place this year.
