. Herr Präsident, meine Damen und Herren!	.
China ist in den vergangenen Jahren zu einem wichtigen Spieler auf dem globalen Markt geworden. Deshalb hat China gewisse Verpflichtungen einzuhalten und trägt eine große Verantwortung.	MrPresident, ladies and gentlemen, China has, over recent years, become a major player in the global market, and so it has certain obligations to fulfil and bears a considerable responsibility.
In diesem Zusammenhang stelle ich der Kommission folgende konkrete Fragen:	This being so, I would like to put a number of questions to the Commission.
Erstens, im vergangenen Jahr gab es in China 9 000 Prozesse gegen Produktpiraten.	Firstly, last year saw 9 000 court cases in China involving product piracy.
Das ist ein guter Anfang.	That is a good start.
Was wird die Kommission tun, um die Chinesen bei diesen Anstrengungen zu unterstützen?	What is the Commission going to do to support the Chinese in their efforts to this end?
Zweitens, die gefällten Urteile werden oft nicht wirkungsvoll vollstreckt.	Secondly, although sentences are handed down, they are often not carried out.
Wie wird die Kommission die chinesischen Behörden bei der Vollstreckung von Urteilen gegen Produktpiraten unterstützen?	How will the Commission support the Chinese authorities in enforcing the sentences passed on product pirates?
Drittens, aus China exportierte Produkte verletzen oft Patente und das Urheberrecht.	Thirdly, products exported from China are often in breach of patents and copyright.
Am 8. März hat mir Kommissar Kovács in der Fragestunde zugesagt, den Chinesen anzubieten, dass die EU auf eigene Kosten Zollbeamte nach China abstellt, um die chinesischen Zollbeamten bei ihrer Arbeit zu unterstützen.	During Question Time on 8 March, Commissioner Kovács assured me that the EU would offer to send customs officers to China at the EU’s own expense to help their Chinese counterparts in their work.
Wurde dieses Angebot den Chinesen unterbreitet? Wie haben die Chinesen darauf reagiert?	Has this offer in fact been made to the Chinese, and how have they responded to it?
Viertens, vor kurzem starben zwei Menschen in Griechenland wegen eines in China hergestellten Dampfbügeleisens. Dieses hatte die CE-Kennzeichnung, entsprach jedoch nicht den Standards.	Fourthly, a steam iron made in China, which bore the CE label but did not meet the relevant standards, recently caused the deaths of two people in Greece.
Was wird die Kommission tun, damit die Mitgliedstaaten bald eine wirksame Marktkontrolle einrichten, die den Verkauf solcher Produkte verhindert und die chinesischen Hersteller so zur Einhaltung der Standards und Patente zwingt?	What will the Commission do to get the Member States, without delay, to put in place effective market controls preventing such products from being put on sale and compelling the Chinese manufacturers to comply with standards and patents?
Fünftens, bis heute gibt es in China zahlreiche Hindernisse für europäische Firmen.	Fifthly, there are to this day in China many obstacles to European firms.
Was wird die Kommission unternehmen, um diese meist nicht tarifären Handelshemmnisse wirksam zu beseitigen?	What does the Commission propose to do in order to effectively remove these barriers to trade, most of which do not take the form of tariffs?
Sechstens, moderne Waffen beinhalten die modernsten Technologien.	Sixthly, modern weapons contain the most modern of technologies.
Welche negativen Auswirkungen auf Unternehmen und Arbeitsplätze in Europa befürchtet die Kommission im Falle einer Aufhebung des Waffenembargos und des damit verbundenen Technologietransfers?	What adverse effects on businesses and jobs in Europe does the Commission anticipate if the embargo on weapons – and on the transfer of associated technologies – is lifted?
Siebtens, welche konkreten Maßnahmen unternimmt die Kommission, damit China den Wechselkurs seiner Währung freigibt?	Seventhly, what is the Commission actually doing to induce China to allow its currency’s exchange rate to find its own level?
