Frau Präsidentin, Verbraucherschutz fängt bei der Art der Erzeugung an.	Madam President, consumer protection begins with the type of product.
Von daher ist es verständlich, wenn die Verbraucherinnen und Verbraucher in den vergangenen Jahren und auch in der jüngsten Vergangenheit vorsichtig waren mit dem Verzehr von Rindfleisch.	For this reason it is understandable when consumers have show caution in past years, and also in the most recent past, in the consumption of beef.
Denn wenn wir die Kühe auf der Weide gelassen und sie nicht mit Fleischmehl gefüttert hätten, das dann auch noch infiziert war, dann hätten wir dieses Problem heute nicht und müßten eine Verkaufsförderung möglicherweise gar nicht vornehmen, weil Rindfleisch ja eine Delikatesse ist und alle Menschen das auch wissen und sehr wohl genügend Fleisch abgesetzt werden könnte ohne diese Maßnahmen.	If we had allowed cows to graze on pasture and had not fed them with meat protein - which also happened to be infected - we should not have this problem today. Then we should probably not have had to introduce a sales promotion programme, because beef is a delicacy and everyone knows that; enough meat would certainly have been sold without this measure.
Nun haben wir aber BSE, weil wir eben auf die Art der Erzeugung zu wenig geachtet haben und weil auch die Verbraucherinnen und Verbraucher sich keine Wege erarbeitet haben, die eine Kontrolle der Erzeugung in den Betrieben möglich machte, sie also wußten, woher ihr Fleisch kam.	We now do have BSE, however, simply because we paid too little attention to the method of production, and also because consumers established no channel for monitoring products in the shops, as they knew where the meat came from.
Nun muß der Staat eingreifen und das an die Wand gefahrene Fahrzeug wieder flottmachen.	Now the state has got to intervene and put the train back on the rails.
Diese Verordnung, die wir heute besprechen, ist nicht neu.	This regulation which we are debating today is not new.
Sie ist 1993 bereits in Kraft getreten.	It became effective back in 1993.
Ich zitiere: " Die Qualität des Rindfleischs hängt ab von der Rasse, der Art und Weise der Haltung der betreffenden Tiere und den Bedingungen bei der Schlachtung, der Behandlung, Beförderung und Vermarktung" .	I quote: "The quality of beef depends upon the breed, the method of rearing the animals concerned, and the conditions of slaughter, transport and marketing' .
Dann heißt es weiter, daß es auch darauf ankommt, welche Stoffe verwendet werden und welche nicht.	It continues to say that which materials are used, and which not, is also relevant.
Ich begrüße, daß jetzt eine Neuauflage dieser Verordnung ansteht, vor allen Dingen, wenn wir die Möglichkeit erhalten, tatsächlich auf die Art und Weise der Produktion hinzuweisen.	I welcome the fact that a new version of this regulation is now pending, particularly if we are really given the opportunity to direct the method of production.
Wir haben aber nicht nur diese Verkaufsförderung, sondern im Rahmen dieser Verordnung wird eine Erweiterung vorgenommen, und zwar die Förderung der jetzt beschlossenen Etikettierung, also Kennzeichnung von Rindfleisch.	We do not have just this sales promotion, however, but an extension has been made within the framework of this regulation. This concerns the support given to the tagging of beef, its identification.
Diese Etikettierung, die den Bauern als obligatorische Maßnahme und der Industrie als freiwillige Maßnahme auferlegt wurde - wir haben das dann im Parlament umgeändert, Herr Mayer war Berichterstatter - wurde dann vom Rat aufgenommen.	This tagging, required of farmers as an obligatory measure and of the industry as a voluntary one - we then altered it in Parliament, Mr Mayer was the rapporteur - was accepted by Council.
Sie kennen die Entscheidung, daß unsere Vorlage nach 100 a einstimmig abgelehnt wurde.	You are aware of the decision whereby our submission according to 100a was unanimously rejected.
Diese Etikettierung soll nun im Rahmen dieser Maßnahme zu 100 % finanziert werden bei der Industrie.	According to this measure tagging is now to be financed 100 % by the industry.
Das ist überhaupt nicht angegeben in den Artikeln, sondern nur im Anhang.	That is not contained in the Articles at all, only in the Annex.
Im Artikel ist nur die Rede von einer Förderung in Höhe von 60 % bzw. 80 %.	In the Article there is a mention only of a requirement for between 60 % and 80 %.
Das ist die Verkaufsförderung, aber der 100 %ige Zuschuß - ich zitiere - " ist für die Information über die Neuetikettierung und die technische Unterstützung" .	That is for the sales promotion, but the 100 % is, I quote: "for information about the new tagging and the technical support' .
Was hier passiert, ist, daß die gesamte Logistik, die die Industrie aufbringen muß, um diese Etikettierung durchzuführen, von der Kommission unterstützt wird, dagegen wäre noch nichts zu sagen, aber zu 100 %!	What has occurred here is that the whole logistic effort to be made by the industry in order to introduce tagging is to receive a subvention from the Commission - this would not be controversial, if it were not 100 %!
Ich habe heute den Kommissar gefragt, und Sie haben gehört, daß er auf dieser Förderung zu 100 % bestanden hat.	I asked the Commissioner about this today, and you have heard how he insisted on a 100 % subvention.
Ich bin zu ihm hingegangen, siehe da, er hatte überhaupt nicht zur Kenntnis genommen, daß es hier eine neue Regelung gibt, nämlich die Einführung der Logistik.	I approached him and, Lo and behold!, he was entirely unaware that this was a new regulation because of the introduction of logistics.
Er will das überdenken.	He will consider the matter.
Von daher bin ich der Ansicht, wir müssen diesem Bericht von Frau Hardstaff, so gut er auch ist, und ich beglückwünsche sie dazu, an den Ausschuß zurücküberweisen, damit wir diesen Punkt klären und nicht der Industrie das Geld zu 100 % gewissermaßen in den Rachen werfen.	For this reason I believe we must refer this report by Mrs Hardstaff, good as it is - and I congratulate her on it - back to the Committee, so that we can clarify this point and not, in a manner of speaking, force the 100 % money down the throat of the industry.
