Herr Präsident! Das war eine Naturkatastrophe mit schlimmen Folgen für viele Menschen.	Mr President, this was a natural disaster which had terrible consequences for many people.
Aber wenn wir sie mit der Flutkatastrophe und dem gleichzeitigen Hurrikan in Australien oder mit dem Erdbeben in Christchurch in Neuseeland vergleichen, sind wir alle gut davongekommen.	However, if we compare it with the floods and the simultaneous hurricane in Australia or with the earthquake in Christchurch in New Zealand, we all escaped unharmed.
Die Sicherheit hatte die absolute Priorität, das war richtig so.	Safety had absolute priority, and rightly so.
Kommissar Siim Kallas hat die richtige Entscheidung getroffen, auch in Absprache mit den EU-Verkehrsministern in den Mitgliedstaaten.	Commissioner Kallas made the right decision in agreement with the EU transport ministers in the Member States.
Die Kritik der Fluggesellschaften kann ich nicht nachvollziehen.	I cannot understand the criticism directed at the airlines.
Natürlich haben sie einen Verlust gemacht, von zwei Milliarden wurde gesprochen.	They clearly suffered a loss - a figure of 2 billion was mentioned.
Aber den Fluggesellschaften die Verantwortung dafür zu übertragen, ob geflogen wird oder nicht, das ist falsch.	However, it is wrong to lay the responsibility as to whether or not flights go ahead at the feet of the airlines.
Das muss politisch entschieden werden!	That decision must be made at a political level.
Die Sicherheit muss die oberste Priorität haben!	Safety must be given top priority.
Man stelle sich nur vor, ein Flugzeug wäre wegen der Vulkanasche abgestürzt!	Imagine if an aeroplane had crashed as a result of the volcanic ash.
Wir hätten eine völlig andere Diskussion, nämlich wie unverantwortlich es gewesen wäre, auch nur ein Flugzeug starten zu lassen.	We would have had a completely different debate, namely, how irresponsible it was to even allow one aeroplane to take off.
Wir brauchen einen Plan B. Das ist richtig gesagt worden. Und die Schiene ist die Alternative!	We need a plan B, as has quite rightly been said, and the rail system is the alternative.
Die Fluggesellschaften bekommen wegen der Befreiung von der Kerosinsteuer jedes Jahr 30 Milliarden Euro vom europäischen Steuerzahler.	As a result of their exemption from fuel tax, airlines receive EUR 30 billion per year from European taxpayers.
Dieses Geld muss in die Schiene investiert werden, zumindest ein Teil davon, damit wir bei solchen Katastrophen eine Alternative haben.	This money must be invested in the rail system, at least in parts of it, so that we have an alternative in the event of this sort of disaster.
Safety first - das ist der Appell.	Safety first - that is what people are calling for, and rightly so.
Das war richtig so, das muss auch in Zukunft richtig sein!	It must also be the case in the future, too.
