Herr Präsident! Herr Karas hat hier heute Vormittag gesagt, dass es eine große Mehrheit geben wird.	Mr President, this morning Mr Karas said that there will be a large majority in favour.
Ich werde nicht zu dieser Mehrheit gehören.	I will not be part of that majority.
Ich glaube, dass mit dem Vorschlag der Kommission und auch mit dem Bericht ein sehr grundsätzlicher Paradigmenwechsel in den europäischen Systemen zur Altersvorsorge und zur sozialen Sicherheit insgesamt fortgesetzt wird, nämlich weg von solidarischen gesetzlichen Systemen hin zu privaten kapitalgestützten Systemen.	I believe that the Commission's proposal and also the report imply a continuation of the fundamental change in European retirement provision systems and also in social security in general. By that I mean a move away from legal systems based on solidarity and towards private capital-based systems.
Meine Kritik bezieht sich vor allem auf zwei Fragen.	My criticisms relate above all to two issues.
Erstens: Sollen die Betriebsrentensysteme in der EU einem gemeinschaftsweiten Wettbewerb unterworfen werden?	The first is this: are occupational pension schemes in the EU to be subject to Community-wide competition?
Ich habe sicherlich in den letzten zehn Jahren viel hinzugelernt, was den Wettbewerb und seine Chancen betrifft, aber mich wird niemand überzeugen, dass ausgerechnet eine so grundlegende Frage wie die soziale Sicherheit im Alter dem Wettbewerb unterworfen werden soll.	I have certainly learnt a great deal over the last ten years about competition and what it can achieve, but no one can convince me that an issue as fundamental as social security provision in old age should be subject to competition. There are three specific problems here.
Es gibt drei konkrete Probleme dabei, nämlich erstens, dass keine verbindlichen Vorschriften für die Sicherheit der eingezahlten Beträge vorgesehen werden, zweitens, dass die Aufsichtsregelungen meiner Meinung nach ungenügend sind, und drittens, dass in ihrem Bericht, Herr Karas, zudem die Möglichkeit eingeräumt wird, die Betriebsrente in Form einer Einmalzahlung auszuzahlen.	The first is that there are no binding rules governing the security of contributions paid in. Secondly, I believe that the supervisory arrangements are inadequate, and, thirdly, there is the fact that in your report, Mr Karas, there is the additional option of an occupational pension being paid out by way of a lump sum.
Das bedeutet riesige Risiken im Alter.	That implies enormous risks in old age.
Das zweite große Problem ist diese einseitige Orientierung an den Finanzmärkten.	The second major problem is this one-sided orientation towards financial markets.
Dazu ist hier alles gesagt worden.	Everything that can be said has already been said about that.
Meiner Meinung nach geht es hier auch mehr um die Gegenwart und Zukunft des europäischen Kapitalmarktes als um die Zukunft der Renten.	As I see it, this has more to do with the present and future of Europe's capital markets than it has with the future of pensions.
Die Spielräume für die Bewahrung und moderne Erneuerung solidarischer gesetzlicher Rentensysteme sind in keinem Mitgliedsland der Europäischen Union ausgeschöpft.	The scope for maintaining and updating legal pensions systems based on solidarity has not been used to the full in any Member State of the European Union.
Was wir aber tatsächlich bräuchten, wäre eine europäische Koordinierung von Betriebsrentensystemen, wie das ähnlich schon bei den gesetzlichen Rentenversicherungen der Fall ist.	However, what we really need is European coordination of occupational pension systems, as is already the case with legal pension insurance systems.
Das ist hier nicht gelöst worden.	That problem has not been solved here.
