. – Herr Präsident!	.
Als Schattenberichterstatterin meiner Fraktion möchte ich dem Berichterstatter, Michael Cashman, allen Kollegen der anderen Fraktionen und natürlich auch der luxemburgischen Ratspräsidentschaft herzlich für die geleistete gemeinsame Arbeit danken.	Mr President, as shadow rapporteur for my group, I should like to extend sincere thanks to the rapporteur, Mr Cashman, to all of my counterparts from the other groups and, of course, to the Luxembourg presidency for the work we have done together.
Die Fraktionen dieses Hauses haben eindrucksvoll demonstriert, dass eine kooperative und effektive Zusammenarbeit untereinander und zugleich mit dem Rat möglich ist.	The various groups within this House have amply demonstrated their ability to cooperate jointly and effectively, both among themselves and with the Council.
Zu Beginn unserer Arbeit hatten wir zum Beispiel folgende Situation: Ein Drittstaatsangehöriger will mit Visum in die EU einreisen.	Let me give an example of the sort of case that could occur, the sort of case with which we were faced when we began work on this dossier.
Die Einreise wäre ihm aber verweigert worden, weil er an der Grenzübergangsstelle nicht alle erforderlichen Unterlagen vorlegen konnte.	A citizen of a third country wishing to enter the EU, and holding a visa to do so, could be refused entry if he was unable to produce all the required documents at a border crossing point.
Diese Einreiseverweigerung hätte einen Passvermerk zur Folge gehabt, der dokumentiert, dass dem Einreisenden die Einreise in das Gebiet der EU verweigert worden ist.	This would have resulted in a stamp being placed in his passport showing that he had been refused entry to the EU.
Hätte eine solche Person mit so einem Vermerk im Pass noch in die USA, nach Kanada oder Australien reisen können? Wohl kaum.	It is hardly likely that the person in question would then have been able to travel to the USA, Canada or Australia with a stamp of this kind in his passport.
Ich möchte daher besonders hervorheben, dass es uns nach langen Verhandlungen gelungen ist, in der Verordnung ein Beschwerderecht festzuschreiben, das im Fall einer unbegründeten Einreiseverweigerung vor allem die Berichtigung aller Vermerke, die auf eine Einreiseverweigerung in die EU hinweisen, zur Folge hat.	The point I should particularly like to emphasise is therefore that we have succeeded in enshrining the right to appeal in the regulation, following lengthy negotiations. The most important consequence of this is that all stamps indicating refusal of entry into the EU will be corrected in cases where entry has been refused for no good reason.
Wir haben weitere wesentliche Verbesserungen für Drittstaatsangehörige erstritten.	We have also achieved other, equally significant improvements for third–country nationals.
Grenzkontrollen müssen die menschliche Würde wahren, Diskriminierungen – aus welchen Gründen auch immer – sind nicht zulässig.	Human dignity must be respected during border controls, and discrimination on any grounds is prohibited.
Kurzum: Durch uns alle wurde eine gemeinsame Lösung erreicht, die besagt, dass Einreisekontrollen an den Außengrenzen deutlich gastfreundlicher werden.	In a nutshell, our joint efforts have resulted in a solution which means that checks on those crossing the EU’s external borders will become a great deal more welcoming.
