Vizepräsident der Kommission.	Vice-President of the Commission.
Herr Präsident, meine Damen und Herren! Ich möchte gerne noch einmal die Politik der Kommission in Bezug auf den Umgang mit nachgewiesenermaßen hochgiftigen Stoffen in unserer Umwelt klarstellen.	Mr President, ladies and gentlemen, I will be glad to once again clarify the Commission's policy with regard to the handling of demonstrably highly toxic substances in our environment.
Wir können Risiken in unserer Gesellschaft nicht ausschließen, aber immer dann, wenn die Voraussetzungen für eine Substitution gegeben sind, muss der Substitution der Vorrang gegeben werden.	We cannot rule out risks in our society, but whenever the conditions for substitution are present, substitution must take priority.
Ich kann überhaupt nicht verstehen, wie man das anders sehen kann.	I fail to understand how anyone could see it differently.
Wenn es nicht notwendig ist, mit einer hochgiftigen Substanz in unserer Umwelt zu hantieren, dann muss man das doch auch nicht tun.	If it is not necessary to work with highly toxic substances in our environment, then we simply must not do it.
Das gilt auch in Bezug auf die Energiesparlampen, die Herr Krahmer angesprochen hatte, in denen in der Tat Quecksilber in sehr kleinen Mengen vorkommt.	That also applies with regard to the energy-saving light bulbs that Mr Krahmer mentioned, which do indeed contain very small quantities of mercury.
Dafür gibt es noch keine Substitution.	There are as yet no substitutes for that.
Aber es muss daran gearbeitet werden, und sobald es eine solche gibt, ist selbstverständlich auch hier eine Herstellung ohne die Verwendung von Quecksilber vorzuziehen.	But work must be done on it, and as soon as there are substitutes, manufacture without the use of mercury must of course be preferred here too.
Lassen Sie mich zum Schluss noch einmal auf die Barometer eingehen.	May I conclude by talking about barometers again.
Sie werden kaum einen größeren Freund schöner alter Geräte finden als mich.	No one is a greater friend of beautiful old instruments than I am.
Ich bin ein großer Freund traditioneller Herstellungsmethoden, ein großer Freund traditioneller Unternehmen, vor allen Dingen, wenn es sich dabei um kleine Unternehmen handelt.	I am a great friend of traditional production methods, a great friend of traditional firms, especially small firms.
Niemand will auch nur ein einziges kleines, traditionelles Unternehmen in Europa vom Markt verdrängen.	And no one wants to drive even one small traditional firm off the European market.
Ich habe hier den Katalog eines dieser Hersteller.	I have here a catalogue from one of these manufacturers.
Es gibt überhaupt keinen Zweifel.	There is no doubt at all.
Sie bieten heute schon wunderschöne Barometer an, die nicht den geringsten äußerlichen Unterschied zu den bisher hergestellten Barometern aufweisen, aber kein Quecksilber mehr enthalten.	Even today they offer beautiful barometers that show not the slightest external difference from the barometers that were manufactured in the past, but they no longer contain mercury.
Sogar das berühmte Prince-of-Wales-Barometer, eine Kopie des königlichen Barometers von John Russell, zum Preis von immerhin 795 Pfund, ist bereits zu haben, ohne dass es auch nur die geringste Spur von Quecksilber enthielte.	Even the famous Prince of Wales barometer, a copy of John Russel's royal barometer, nevertheless costing GBP 795, is already available without the slightest trace of mercury.
Das Argument, dass auch nur irgendein Unternehmen in seiner Existenz gefährdet wäre, ist einfach nicht richtig Darum sage ich Ihnen ganz klar: Man dient den Interessen dieser kleinen Unternehmen nicht, wenn man sie davon abhält, einen notwendigen Schritt zu tun, um das, was sie herstellen, auch zukunftsfähig zu machen.	The argument that even one firm could be forced out of business is simply not correct. I can therefore tell you quite clearly that we are not acting in these small firms' interests if we prevent them from doing what is necessary to give their products a future.
Und zukunftsfähig sind diese traditionellen Barometer nur dann, wenn sie ohne Quecksilber hergestellt werden.	And these traditional barometers will only have a future if they are made without mercury.
