Herr Präsident! Eine Besteuerung von Flugkraftstoff scheint wirklich überfällig zu sein.	Mr President, the taxation of aircraft fuel really does seem to be long overdue.
Eigentlich ist es nicht zu verantworten, dass alle anderen Treibstoffe hoch besteuert werden, Kerosin aber nicht, obwohl gerade der Flugverkehr eine enorm steigende Tendenz aufweist, sei es im Frachtbereich oder im Passagierbereich.	There is absolutely no justification for imposing high taxes on all fuels except kerosene at a time when the volume of air traffic is rising sharply in terms of both cargo and passenger miles.
Verbunden damit ist eine ebenso stark ansteigende Emissionsrate von Treibhausgasen und Lärm.	This has been accompanied by a correspondingly sharp increase in emissions of greenhouse gases and noise levels.
Eine Besteuerung von Kraftstoffen verfolgt mehrere Ziele.	Fuel taxation serves several purposes.
Zum einen dienen diese Steuern natürlich, wie alle Steuern, der Finanzierung der Staatshaushalte.	On the one hand, excise duties on fuel, like all taxes, help to finance national budgets.
Zum anderen aber verfolgen sie auch den regulierenden Zweck, den Kraftstoffverbrauch, d.h. den Verbrauch fossiler Energieträger, zu senken, sowie den Ausstoß an Treibhausgasen zu reduzieren.	On the other hand, they also have a regulatory function in that they reduce fuel consumption and hence the depletion of carbonised energy resources and the emission of greenhouse gases.
Diese Steuern sind also immer eine Aufforderung an die Industrie, Fahrzeuge mit einem geringeren Treibstoffverbrauch zu produzieren.	These taxes therefore confront industry with a constant challenge to manufacture vehicles with lower fuel consumption.
Genau das wünschen wir uns auch für Flugzeuge!	That is precisely what we want to see for aircraft too.
Warum also sollte Flugbenzin nicht spätestens jetzt besteuert werden?	So why should aircraft fuel not be taxed now, at long last?
Hier geht es schließlich auch darum, eine Ungleichbehandlung der verschiedenen Verkehrsträger zu beenden.	We are, after all, anxious to ensure that no mode of transport is treated unfairly.
Nun, ganz so einfach ist die Sachlage eben nicht.	But the situation is not quite as straightforward as that.
Flugverkehr überwindet größere Distanzen als jeder andere Verkehrsträger.	Air traffic covers greater distances than any other mode of transport.
Und vor allen Dingen überwindet er Grenzen und auch Grenzen der Europäischen Union.	More significantly, aircraft fly across borders, including the borders of the European Union.
Schon jetzt stehen die Flughäfen innerhalb der EU auch ohne Kerosinbesteuerung in enormer Konkurrenz zueinander.	Even now, without kerosene duty, the airports in the EU are locked in fierce competition.
Das liegt wesentlich an regional festgelegten unterschiedlichen Nachtflugregelungen, wovon besonders der Frachtverkehr betroffen ist.	The main reason for this is the fact that different regions have different rules for night flying, a situation which affects cargo transport in particular.
Der Preisdruck auf die Fluglinien ist allein aus diesem Grund schon enorm.	This puts enormous pressure on airlines to keep their prices down.
Würden wir jetzt auch noch im europäischen Alleingang das Flugbenzin mit Steuern belegen, könnten europäische Anbieter mit außereuropäischen Fluglinien kaum noch konkurrieren.	If we were now to go it alone in Europe and tax aircraft fuel, European operators would scarcely be able to compete with airlines based outside Europe.
Wir würden diesen europäischen Markt selbst kaputt machen.	We would destroy our own European market.
Eine Besteuerung von Kerosin kann es daher nur im internationalen Konsens geben, um Wettbewerbsgleichheit zu garantieren.	So the taxation of kerosene is only possible on the basis of an international consensus if a level playing-field is to be guaranteed.
Darauf muss Europa hinarbeiten, obwohl es ein schwerer und langer Weg sein wird.	This is what Europe must work towards, even though it will be a long and arduous process.
Bis es so weit ist, gibt es aber durchaus noch andere Möglichkeiten der Regulierung, beispielsweise emissionsbezogene Start- und Landegebühren auf allen europäischen Flughäfen wären eine solche Möglichkeit.	Until this goal is achieved, there are certainly other means of regulating air traffic, such as emission-based take-off and landing fees at all European airports.
Davon wären alle Fluglinien betroffen, europäische und außereuropäische.	That option would affect all airlines, European and non-European.
Es wäre wettbewerbsneutral.	It would not distort competition in any way.
