Frau Präsidentin, der Bericht beschäftigt sich mit der zweiten europäischen Konferenz in Berlin.	Madam President, the report discusses the second European conference in Berlin.
Grundrichtung war, Empfehlungen für die Mitgliedstaaten abzugeben, um den Bereich der kleinen und mittleren Unternehmen noch effizienter zu gestalten.	The basic aim was to issue recommendations to the Member States on how to make small and medium-sized undertakings more efficient.
Ich glaube aber, unser Augenmerk sollte in die Zukunft gerichtet werden.	But I think we should look mainly to the future.
Auch heuer findet wieder eine derartige Konferenz statt, und ich glaube, es wäre dringend notwendig, das Europäische Parlament in die Vorbereitungsarbeiten und auch in die Zielsetzung dieser Konferenz miteinzubinden.	Another conference of this kind is being held today and I believe it is urgently necessary to involve the European Parliament in the preparatory work of that conference and in setting its objectives.
Wir behandeln derzeit im Parlament drei wichtige Initiativen, die gerade für die kleinen und mittleren Unternehmen sehr wichtig sind: Erstens die SLIM-Initiative, die unter anderem auch einen Schwerpunkt auf die Vereinfachung der Konjunkturstatistik gelegt hat, ein ehrliches Ärgernis für unsere kleinen und mittleren Betriebe; sie betrifft aber auch zum Beispiel die Diplome.	At present Parliament is considering three important questions which are particularly important to small and medium-sized undertakings. First, the SLIM initiative, which gives priority, among others, to simplifying the economic statistics, which are a major irritation for our SMEs; but it also concerns diplomas, for instance.
Ich glaube, daß es in Zukunft wichtig wäre, sich auch mit Verfahrensverkürzungen zu beschäftigen, damit, wenn irgendwo Ausbaupläne bestehen, diese so schnell wie möglich umgesetzt werden könnten.	I think it is important for the future to look at means of cutting down on procedure so that if an undertaking has plans to expand, these can be implemented as quickly as possible.
Diese Analyse, die die SLIM-Gruppe durchführt, ist wichtig, und vielleicht sollte man sich auch Rahmen der Institutionen überlegen, ob der Wirtschafts- und Sozialausschuß sich in Zukunft nicht noch mehr mit dieser Tätigkeit auseinandersetzen sollte.	The SLIM group is carrying out an important analysis here and perhaps the institutions could also consider involving the Economic and Social Committee more closely in this activity in future.
Der zweite Bereich, der im Europäischen Parlament zur Zeit läuft, ist fiche d'impact .	The second question the European Parliament is currently considering is the fiche d'impact .
Hier geht es um die Vorbeugung, daß also Rechtsvorschriften von Haus aus schlank und effizient gestaltet werden.	This is a question of preventive action, i.e., of having slim-line and efficient legal provisions from the outset.
Das ist natürlich eine vordringliche Aufgabe des Europäischen Parlaments, und man könnte hier im Vorfeld schon sehr viele Vorschriften verhindern, die dann nachher zu einer Belastung ausarten.	That is of course an urgent task for the European Parliament, which could clear the way by doing away with many provisions that subsequently become a burden for undertakings.
Der dritte Bereich ist das benchmarking , das wir zur Zeit behandeln.	The third question we are currently considering is benchmarking.
Hier geht es darum, Vergleichstatbestände zu liefern über Eigenkapitalausstattung, Steuerlasten und Lohnkosten.	Here the aim is to provide comparative facts on own capital resources, tax burdens and wage costs.
Diese Objektivierung ist ein ganz zentraler und wichtiger Punkt.	This objective approach is a quite central and important point.
Vielleicht wäre der ADR der richtige Ausschuß, um in diesem Bereich verstärkt zu arbeiten, weil gerade das benchmarking in den Regionen einen ganz wichtigen Beitrag leistet.	Perhaps the Committee on Agriculture and Rural Development would be the appropriate committee to do more work in this field, because benchmarking is particularly important for the regions.
Es geht aber auch darum, die Aus- und Weiterbildung zu verstärken.	We must also reinforce training and further training.
Man sollte sich überlegen, ob die Mittel, die derzeit für LEONARDO zur Verfügung gestellt werden, im nötigen Ausmaß vorhanden sind.	We should consider whether the resources currently available for LEONARDO are adequate.
Ich möchte betonen, daß das letzte Jahr des lebensbegleitenden Lernens ein ganz wichtiger Schritt war, weil das Bewußtsein für das lebensbegleitende Lernen gestützt und auch vermittelt wurde, daß Lernen Freizeitvergnügen sein kann.	Let me point out that calling last year the year of lifelong learning was a very important step because it raised people's awareness of the importance of lifelong learning and showed that learning can be an enjoyable pastime.
Forschung und Entwicklung ist ein wichtiger Bereich, aber nicht nur die Produktforschung, sondern auch die Marktforschung.	Research and development is an important area, not just product research but also market research.
Wir sollten uns also auch Gedanken machen, wo die kleinen Betriebe in Zukunft ihre Märkte finden.	We should also consider where small undertakings will find their markets in future.
