Herr Präsident! Die Berichte zur Erweiterung liegen vor.	Mr President, the enlargement reports are on the table.
Zu sagen gäbe es viel, leider kann ich nur auf wenige Punkte eingehen.	There is much to be said about them, but unfortunately I can only deal with a few points.
Zur Tschechischen Republik sollte begriffen und respektiert werden, dass die Geschichte zwei Seiten hat und dass es mit dem Potsdamer Abkommen auch internationales Recht gibt.	As far as the Czech Republic is concerned, we should understand and respect the fact that history can be seen from two perspectives and that the Potsdam Agreement was international law too.
Am 4. Dezember 1989 habe ich mich im Namen der Regierung der DDR bei den Völkern der Tschechoslowakei für die Ereignisse vom August 1968 entschuldigt, aber ich habe dabei nicht vergessen, dass es einen 9. Mai 1945 gegeben hat.	On 4 December 1989, I apologised on behalf of the Government of the German Democratic Republic to the peoples of Czechoslovakia for the events of August 1968, but at the same time I did not forget the 9 May 1945.
Wir brauchen Einsichten, den Mut zur Vernunft und zum Verzicht, um nicht wider besseres Wissen gegen die Geschichte zu steuern und neue Gräben zu schaffen.	We need vision and the courage to let wisdom prevail and to resist any inclination to do what we know to be wrong by swimming against the tide of history and creating new divisions.
Was Geschichte überhaupt betrifft, sollte die Nachkriegsgeschichte des ganzen Europa, und diese nicht nur aus politischer Sicht, betrachtet werden, und es gilt, die historischen Zusammenhänge dabei allseitig zu beachten.	As for the general historical context, consideration should be given to the post-war history of the whole of Europe, not only in its political dimensions, and all of us must act in full awareness of our historical legacy.
Es wird die Forderung erhoben, die erweiterte Union möge mit einer Stimme sprechen.	There are calls for the enlarged Union to speak with one voice.
Das ist gewiss berechtigt. Aber es muss eine Stimme für den Frieden, eine Stimme für die Sicherung des Rechtes der Vereinten Nationen, eine Stimme gegen ein neues Wettrüsten und eine Stimme im Kampf gegen Hunger und Armut in der Welt sein.	These calls are certainly warranted, but that one voice must plead for peace; it must uphold the rights of the United Nations, speak out against a new arms race and rally support for the fight against hunger and poverty in the world.
Die historischen Dimensionen des Augenblicks sind unbestritten.	The historical dimensions of the present moment are beyond dispute.
Streitbar ist jedoch, wie sich die Europäische Union in dieser Situation verhält, und ob sie sich dem historischen Anspruch von heute und der europäischen Geschichte in genügender Ausgewogenheit gewachsen zeigt.	What is questionable, however, is the way in which the European Union is proceeding, whether it is proving equal to the historic mission with which it has now been entrusted in fulfilment of Europe's historical destiny and whether it is taking a sufficiently balanced approach to that mission.
Tut sie es nicht, wird ihre weitere Entwicklung offener sein, als viele es heute wahrhaben wollen.	If it fails to do these things, the future development of the Union will be more uncertain than many people are prepared to acknowledge today.
