Frau Präsidentin! Ich werde mal mein Redemanuskript verlassen.	Madam President, I am going to set my notes aside.
Ich habe mir vieles andere noch aufgeschrieben. Aber was wir hier haben, ist sicher nicht das non plus ultra.	I had prepared a lot of other things to say, but I must point out that we have certainly not achieved all we can here.
Auch ich habe mir mehr oder bessere Regelungen vorgestellt.	I, too, hoped for more or better regulations.
Es wohnen zwei Seelen in meiner Brust: die Seele dessen, der das Beste haben will, und dessen, der hier auf europäischer Ebene entscheiden muss, auch über Mindeststandards, die in Ländern gelten sollen, die keinerlei Standards haben.	I am in two minds: one that wants to have the best and one that, here at European level, must make a decision, including about minimum standards that should apply in countries that have no standards at all.
Da soll doch jeder mal in sein eigenes Land hineinschauen, was da passiert, welche Standards es hat.	Each of us should look at how things are in our own country, at what is happening there, what standards our country has.
Sieht es denn da so toll aus?	Are they really all that great?
Als Europäisches Parlament können wir nur Mindeststandards festlegen.	As the European Parliament, we can set only minimum standards.
Dass es im Rat überhaupt zu einer Einigung kommt, grenzt doch fast schon an ein Wunder, weil vier bis fünf Staaten, auch mein eigener Bundesinnenminister, eigentlich gar keine Regelung haben wollten, und gesagt haben: So wie es bei uns ist, das genügt mir doch.	The fact that the Council has managed to come to any agreement at all borders on a miracle, because four or five states, including my own Federal Minister of the Interior, did not want to have any regulation at all and said they were happy with the way things were in their countries.
Jetzt sind doch mal die nationalen Parlamente und die nationalen Regierungen gefragt, es wesentlich besser zu machen.	Now the challenge is for the national parliaments and the national governments to do considerably better.
Es hindert sie doch niemand daran, bessere Lösungen zu finden. Wo steht denn das geschrieben?	Nobody is stopping them finding better solutions - where is that written?
Einen Satz habe ich auch gelernt im Studium: Ein Blick ins Gesetzbuch erleichtert die Rechtsfindung.	When I was a student, I learned that 'looking in the statute books makes it easier to find the law.'
Kollege Deprez hat Recht: Lesen wir doch mal alle Artikel zusammen, dann wird klarer, was wir hier bewirken können.	Mr Deprez is right: if you read all the articles together, then what we can achieve here becomes clearer.
Es ist doch nicht so, dass wir hier den Stein der Weisen finden werden.	It is not as if we are going to find the philosopher's stone.
Der ist noch nie gefunden worden, ganz im Gegenteil.	Nobody has ever found that - quite the contrary.
Aber ich will diesen Kompromiss als Grundlage genutzt sehen, dass es in Zukunft in der Europäischen Union besser gemacht werden kann.	However, I want to see this compromise used as the basis, so that in future, the European Union can do it better.
Und dabei müssen meine Kolleginnen und Kollegen im Bundestag, in den deutschen Bundesländern mithelfen, denn wir haben 18 Monate Abschiebehaft.	My colleagues in the Bundestag, the lower house of the German Parliament, and in each of the German federal states will have to play their part, as our country has an 18-month period of detention pending removal.
Wir haben ein Rückreiseverbot, das viel länger ist, und wir haben in einzelnen Staaten viele Entscheidungen, die nicht akzeptabel sind.	We have a re-entry ban that is much longer, and in many federal states there have been decisions that are not acceptable.
Zu sagen, dass es ein Ding der Schande ist -, dann kann ich nur empfehlen: So geht es nicht und, lieber Justo, nur dagegen zu sein, das hat den Menschen, die in diesem Bereich arbeiten müssen und die in den Ländern ohne Richtlinie sitzen, überhaupt noch nie geholfen.	To say that it is a shameful thing - then all I can do is advise that this is not the way ahead. Just to oppose it all the time - heavens above, that has never provided any help at all to the people who have to work in this area and those who are stuck in the countries that do not have any guidelines.
