Herr Präsident! Wir sind bereit, die demokratischen Bestrebungen in Indonesien zu unterstützen.	Mr President, we are prepared to support the efforts to establish democracy in Indonesia.
Ich denke, das ganze Haus und auch die Institutionen sind bereit, einen friedlichen Prozeß auch materiell zu unterstützen.	I believe the entire House and the other EU institutions are also willing to lend material support to a peaceful democratisation process.
Allerdings muß Indonesien auch zeigen, daß es diesen friedlichen Prozeß will, daß es die Demokratie vorantreibt, und da sind uns zwei Gebiete sehr wichtig.	However, Indonesia will also have to show that it wants a peaceful process and that it is actively encouraging democracy, and in this respect there are two regions that we consider to be very important.
Das eine ist Osttimor.	The first of these is East Timor.
Das Referendum in Osttimor muß schnellstens vorangetrieben werden, ja die Unabhängigkeit Osttimors ist eigentlich ein Gebot der Geschichte.	The referendum in East Timor must be organised as quickly as possible; in actual fact, the independence of East Timor is historically inevitable.
Die Unterdrückung dort muß beendet werden, und das weiß Herr Habibie.	The repression there has to be ended, and Mr Habibie knows that.
Ich denke, dies sollten wir schnellstens unterstützen, indem wir zum Beispiel auch von europäischer Seite, von seiten der Mitgliedstaaten Leute in der Verwaltung ausbilden, damit eine Infrastruktur geschaffen wird und Osttimor für sich allein existieren kann.	I believe we should act quickly to assist in the transition to independence. Such assistance might, for example, take the form of training for East Timorese administrators in the European Union, in the Member States, with a view to the creation of an administrative infrastructure that would enable East Timor to manage its own affairs.
Der zweite Bereich ist, daß die Konflikte, die gegenwärtig auf den Molukkeninseln stattfinden, und die anscheinend von seiten der Polizei mit unterstützt wurden, dort nicht weiter vorangetrieben werden.	The second region is the Moluccas, where we must ensure that an end is put to the conflicts which are raging at the present time and which are apparently being encouraged by the police.
In Amborn haben wir die Situation, daß dort 85 % Christen leben.	On Ambon, we have a situation in which 85 % of the island's population are Christians.
Wir müssen verhindern, daß hier zwischen den Religionen Kriege entstehen, und da hat die Regierung in Jakarta natürlich auch eine große Verantwortung, indem sie die Bevölkerung entmilitarisiert, indem sie die Polizei in ihre Schranken verweist und die Polizei eben als Ordnungskraft einsetzt und nicht, um Konflikte anzuheizen.	We must prevent the outbreak of hostilities between religious groups, and in this respect a heavy burden of responsibility falls on the government in Jakarta to demilitarise the population by restraining the police and by using the police force to uphold law and order, rather than to fan the flames of conflict.
Wenn das geschieht, glaube ich, können wir die Kommission nur auffordern, in diesen Konfliktsituationen humanitäre Hilfe zu leisten und die demokratischen Bestrebungen, die Wahlen zu unterstützen, und dies schnellstens, damit dort Frieden herrscht.	If that happens, I believe our only option is to call on the Commission to provide humanitarian aid in these conflict-torn areas and to support the campaign for democracy and the elections, and to do these things as quickly as possible in order to ensure that peace prevails throughout Indonesia.
Beifall	Applause
UN-Menschenrechtskommission	UN Commission on human rights
