Ich danke Frau Todini für ihre fundierte Stellungnahme.	I must congratulate Mrs Todini on the sound opinion she has produced.
In der Tat handelt es sich bei grenzüberschreitender Mobilität um eine existentielle Frage für den weiteren Aufbau eines vereinten Europas, das letztendlich vom Verstehen und von der Verständigung seiner Bürger lebt und - was Arbeit und Ausbildung anbetrifft - immer mehr von der Bereitschaft junger Menschen zur Mobilität.	Transnational mobility is indeed fundamental to continued unification in Europe, which ultimately stands or falls by the sympathy and understanding of its citizens, and increasingly - as far as employment and training are concerned - by the readiness of young people to move about.
Mobilitätsförderung ist nämlich auch Beschäftigungspolitik.	The promotion of mobility is in fact a form of employment policy.
Das muß stärker erkannt werden und gilt nicht nur für die Grenzregionen in Europa.	This needs to be more widely recognized, and does not only apply to Europe's border regions.
Es ist schon eine merkwürdige Situation, heute feststellen zu müssen, daß der Waren- und Kapitalverkehr in Europa oft problemloser vonstatten geht als die Mobilität von Menschen.	It is curious to note that in many cases, the movement of goods and capital through Europe is less problematic nowadays than that of persons.
Ich sehe auch in diesem Bereich eine Gefahr, die schon eingetreten ist, daß durch eine einseitige Verteilung der Austauschchancen, zum Beispiel für Jugendliche in der Berufsausbildung, die Chancenungleichheit im Bildungswesen, die wir in den letzten Jahrzehnten in Europa ein gutes Stück abgebaut haben, ausgerechnet über die Europaaktivitäten wieder auflebt.	I can also see a danger here - and it has already arisen - that if, for example, young people undergoing vocational training are given privileged access to exchange opportunities, then inequality of opportunity in education, which has been reduced considerably in Europe in recent decades, will be resuscitated as a paradoxical result of European contacts.
Tatsache ist nämlich, daß weniger als 1 % der Jugendlichen in der Berufsausbildung außerhalb von Hochschulen heute an Austauschprogrammen teilnehmen oder, wie schon angedeutet wurde, studierende Jugendliche faktisch ausgeschlossen werden, weil die Höhe der ERASMUS-Stipendien einem besseren Taschengeld entspricht oder weil in einigen Ländern die Stipendien nicht ins Ausland mitgenommen werden können.	As we have seen, less than one per cent of young people in vocational training outside universities now take part in exchange programmes and - as has already been mentioned - young students are in effect excluded because ERASMUS grants are worth no more than pocket- money; furthermore, some countries do not allow grants to be taken abroad.
Wir sind zwar für den europäischen Arbeitsmarkt, geben aber Arbeitslosen nicht die Chance, ihre Vermittlungsmöglichkeiten durch sprachliche Fortbildung im Nachbarland zu verbessern.	We are all in favour of a European labour market, but we are not giving unemployed people an opportunity to improve their communication skills through language tuition in neighbouring countries.
Wir brauchen in der Tat europäische Freizügigkeitsregelungen und die Abkehr vom Territorialprinzip.	We really do need rules on the freedom of movement and a departure from the principle of territoriality.
Es ist auch äußerst ärgerlich, daß - abgesehen von diesen rechtlichen Hürden - bei vielen Verwaltungsstellen in Europa noch immer ein heimlicher Widerstand gegen die Freizügigkeit herrscht.	It is also extremely irritating that - apart from these legal hurdles - many administrations in Europe still harbour an inbuilt resistance to freedom of movement.
Ebenso ärgerlich ist es, wenn Studenten in schikanöser Weise, wie kürzlich geschehen, auf ihre Aufenthaltsgenehmigung warten müssen oder die gegenseitige Anerkennung von Studienabschlüssen beim Zugang zu den reglementierten Berufen in europäischen Staaten zum Teil verzögert oder aus egoistischen Gründen der Abschottung schlicht verweigert wird.	It is equally irritating when, as happened recently, students are kept waiting for their residence permits for no good reason, or the mutual recognition of diplomas for access to the regulated professions in European countries is either delayed or simply refused out of an egotistical desire to put up barriers.
Ich hoffe, daß wir hier vorankommen und Verbesserungen erreichen.	I hope that we can make some headway here and bring about improvements.
Ich hoffe aber auch, daß die Mitgliedstaaten selbst ihre Bildungssysteme europabezogener ausrichten und sich nicht zu sehr auf die Aktivitäten der Kommission bei der Europäisierung der Bildungsgänge verlassen.	I also hope, however, that the Member States themselves will enhance the European dimension of their education systems, rather than relying unduly on the Commission's efforts to Europeanize syllabuses.
Dazu zählt vor allem eine bessere Fremdsprachenausbildung.	This requires better foreign language teaching, first and foremost.
Zum Schluß habe ich die dringende Bitte, im EU-Haushalt künftig mehr Geld für Austauschprogramme zur Verfügung zu stellen.	Finally, I would urge that in future, more funding should be earmarked for exchange programmes in the EU budget.
Hier vermisse ich konkrete Aussagen im Grünbuch.	I see nothing specific on this point in the Green Paper.
Die Frage ist: Bleibt das, was wir an Austausch fördern, ein Pilotprojekt, oder soll es eines Tages in einer größeren Breite ein Regelangebot werden?	The question is, are the exchanges which we are demanding to remain a pilot project, or are they to be offered much more widely one day?
Man muß sich einmal vorstellen: Heute wird für SOKRATES weniger Geld ausgegeben als für die Förderung des Tabakanbaus in Europa, um es mal so drastisch zu sagen.	Just think that, to put it starkly, less money is being spent on SOCRATES than to support European tobacco-growers.
Ich könnte mir vorstellen, daß künftig auch die Strukturfonds unter beschäftigungspolitischen Perspektiven für Austauschprogramme in Anspruch genommen werden, um möglichst allen Schülern, Auszubildenden und Studierenden, die nicht auf die Elternhilfe bei Bildungsaufenthalten im Ausland rechnen können, eine faire Chance zu bieten.	I could imagine that the Structural Funds might also be drawn on for exchange programmes - in terms of employment policy - so as to give a fair chance to a maximum number of school pupils, trainees and students who cannot rely on parental aid for educational visits abroad.
Zu diesem Zweck sollten die Fördersätze der Bildungsprogramme bedarfsgerecht erhöht werden.	The amount of funding for our educational programmes should be increased to meet this need.
