Vizepräsident der Kommission. - Frau Präsidentin, meine sehr verehrten Damen und Herren!	Vice-President of the Commission. - Madam President, ladies and gentlemen.
Spielzeuge sind kein Produkt wie jedes andere, sie sind bestimmt für die verwundbarste Verbrauchergruppe überhaupt, und deshalb ist es vollkommen klar, dass wir gerade bei Spielzeug die höchsten Anforderungen haben müssen, was die Sicherheit der Kinder angeht.	Toys are not like any other product. They are designed for the most vulnerable consumer group of all and it is therefore perfectly clear that we must have the highest standards for toys where children's safety is concerned.
Hier sind mit Recht eine ganze Reihe von sehr schwer wiegenden Fragen im Zusammenhang mit jüngsten Rückrufaktionen eines amerikanischen Herstellers, der von sich aus fehlerhafte Produkte vom Markt zurückgerufen hat, gestellt worden.	A whole range of very grave issues have rightly been raised here in connection with the latest recall campaigns of an American manufacturer, which has recalled faulty products from the market at its own initiative.
Ich möchte zunächst feststellen, in beiden Fällen, um die es hier geht, handelt es sich um Produkte, die nach europäischem Recht für den europäischen Markt nicht zugelassen waren.	First of all I would like to say that both cases concerned here involve products not licensed under European law for the European market.
Spielzeug mit bleihaltiger Farbe ist selbstverständlich - anders als in den Vereinigten Staaten von Amerika - in Europa seit langer Zeit verboten.	Toys with lead paint have, of course, been banned in Europe for a long time, unlike in the United States of America.
Spielzeug mit Magnetteilen oder anderen gefährlichen Teilen, die sich lösen könnten, ist selbstverständlich in Europa seit langer Zeit verboten.	Toys with magnetic parts or other dangerous parts which could become loose have also been banned, of course, for a long time in Europe.
Was wir also hier haben, ist kein Problem des geltenden Rechts - obwohl ich noch zum geltenden Recht komme, an dem sich auch etwas ändern muss -, sondern es ist ein Problem der Durchsetzung und der Beachtung des geltenden Rechts.	What we have here, therefore, is not a problem of applicable law (although I will be coming to applicable law, an area in which something has to be changed, later), but it is a problem of the implementation and observance of the applicable law.
Es gibt keine hundertprozentige Sicherheit für die Produkte, mit denen wir täglich umgehen.	Products we deal with every day cannot be one hundred per cent safe.
Der beste Gesetzgeber der Welt kann nicht garantieren, dass keine Fehler in der Produktion auftreten.	The best legislator in the world cannot guarantee that no defects will occur in production.
Der beste Gesetzgeber der Welt kann nicht garantieren, dass in der inzwischen ja weltweit organisierten Lieferkette nicht an irgendeiner Stelle ein Problem auftritt.	The best legislator in the world cannot guarantee that supply chains now organised on a global basis will not encounter a problem at any point.
Der beste Gesetzgeber der Welt kann auch nicht verhindern, dass in betrügerischer und krimineller Absicht gehandelt wird.	Nor can the best legislator in the world prevent trade with criminal or fraudulent intent.
Ich erinnere Sie an den Fall, in dem drei Menschen in Griechenland wegen der Benutzung eines fehlerhaften Dampfbügeleisens gestorben sind.	I would remind you of the case in which three people died in Greece after using a faulty steam iron.
Dieses Bügeleisen hatte nicht nur das europäische CE-Zeichen, sondern auch noch ein besonderes deutsches Sicherheitszeichen.	This iron not only had the European CE marking, but also a specific German safety symbol.
Gleichwohl war das Gerät nicht sicher, und zwar deshalb, weil es gefälscht war.	Nevertheless the appliance was not safe, probably because it was counterfeit.
Dagegen kann kein Gesetzgeber in der Welt etwas machen.	No legislator in the world can do anything to stop this.
Das ist die Verantwortung der Hersteller und es ist die Verantwortung derjenigen, die dafür sorgen müssen, dass die Hersteller die bestehenden Regeln einhalten.	That is the responsibility of the manufacturer and it is the responsibility of those who have to ensure that manufacturers comply with the existing rules.
Das sind die Marktüberwachungsbehörden der Mitgliedstaaten.	These are the market surveillance authorities of the Member States.
Es gibt kein europäisches System der Marktüberwachung.	There is no European market surveillance system.
Das liegt allein in der Zuständigkeit der Mitgliedstaaten.	This comes under the sole responsibility of the Member States.
Ich will Sie gerne darauf hinweisen, dass wir es hier in Wahrheit mit einem Problem zu tun haben, das sehr eng mit der ökonomischen Globalisierung zusammenhängt.	I would like to point out to you that we are in fact having to deal with a problem here that is very closely connected with economic globalisation.
Wir haben es heute mit weltweit organisierten Lieferketten zu tun.	Today this means we have to deal with worldwide supply chains.
Wir haben es mit Unternehmen zu tun, die unter einem Kostendruck stehen, der dazu führt, dass sie ihre Zulieferer immer weiter unter Kostendruck setzen und dazu bringen, zu immer niedrigeren Preisen anzubieten.	We have to deal with companies operating under pressure of costs, meaning that they are constantly putting their suppliers under pressure of costs, thereby contributing to prices constantly being reduced.
Das Risiko ist sehr groß, dass dies an irgendeiner Stelle zu Lasten der Sicherheit geht.	There is a very great risk that this will come at the expense of safety at some point.
Das ist der Grund, warum wir immer wieder sagen, je internationaler und weiter reichend die Lieferkette ist, desto größer ist die Verantwortung der Unternehmen, für jede einzelne Etappe der Lieferkette sicherzustellen, dass die bestehenden Bestimmungen eingehalten werden.	This is the reason why we are constantly saying that the more international and more extensive the supply chain becomes, the greater the responsibility of companies to ensure that the existing regulations are observed at each individual stage of the supply chain.
Das war zum Beispiel im Fall der bleihaltigen Farben bei Spielzeugen des amerikanischen Herstellers nicht der Fall - hier hat ein chinesischer Zulieferer eine Farbe geliefert, die er nicht hätte liefern dürfen.	This was not the case, for example, in the case of lead paint on toys produced by the American manufacturer. A Chinese supplier supplied a paint here which it should not have supplied.
Das ist der wahre Sachverhalt.	These is the truth of the case.
An erster Stelle steht die Verantwortung der Unternehmen: Sie tragen die Verantwortung dafür, dass ihr Produkt den geltenden europäischen Bestimmungen entspricht.	Corporate responsibility is foremost. Companies are responsible for their product complying with the current European rules.
Dann kommt die Verantwortung der Mitgliedstaaten: Sie haben dafür zu sorgen, dass die Marktüberwachung funktioniert.	Then comes the responsibility of the Member States. They have to ensure that market surveillance works.
