Frau Präsidentin, Herrn Belder möchte ich ausdrücklich für seinen Bericht danken.	Madam President, I should like to expressly thank Mr Belder for his report.
Rassismus, Fremdenfeindlichkeit und Antisemitismus sind auch innerhalb der Europäischen Union ein bedrückendes Problem.	Racism, xenophobia and antisemitism are a depressing problem, including within the European Union.
Ihre Bekämpfung gehört zu den gemeinsamen Zielen fast aller politischen Gruppen in diesem Parlament.	Fighting them is one of the common goals of almost every political group in this House.
Dieses Parlament wird auf vielen Gebieten zu diplomatischer Zurückhaltung bereit sein, in dieser Frage jedoch nicht!	This House is prepared to exercise diplomatic restraint in many areas, but not on this question.
Das ist gut so.	And rightly so.
Herr Belder weiß, daß der Ausschuß und ich gewünscht hätten, die Spezifik der jeweiligen Probleme in den Bewerberländern direkter zu benennen.	Mr Belder knows that I and the committee wished to quote the specifics of individual problems in candidate countries.
Einige Änderungsanträge von Frau Ludford versuchen, dies zu korrigieren. Ich werde sie daher unterstützen.	A number of proposed amendments by Baroness Ludford attempt to rectify this and I shall support them.
Zu allgemein scheint mir die Behandlung der sozialen Ursachen von Rassismus in den Bewerberländern und der äußerst bedeutsamen sozialen und beschäftigungspolitischen Konsequenzen einer konsequent antirassistischen Politik.	The way in which the social causes of racism in candidate countries and the highly significant social and employment policy consequences of a consistent anti-racist policy have been dealt with appears to me to be too general.
Daß Herr Belder bereit war, die Frage von Antisemitismus deutlich anzusprechen, gehört zu den wichtigsten Ergebnissen des Diskussionsprozesses. Auch hierfür, Herr Belder, meinen Dank.	The fact that Mr Belder was prepared to clearly address the question of antisemitism is one of the most important results of the discussion process and I again extend my thanks to Mr Belder.
Wenn man die verschiedenen Stellungnahmen der Kommission, des Parlaments, des Europarates, der Wiener Beobachtungsstelle durchsieht, so fällt auf, daß sich der Antisemitismus als eine besondere und besonders gefährliche Form des Rassismus in vielen Überschriften findet, aber auch nur in den Überschriften.	Leafing through the various positions of the Commission, the European Parliament, the Council of Europe and the Vienna Monitoring Centre, one is struck by the fact that antisemitism is quoted as a particular and particularly dangerous form of racism in several headlines, but only in the headlines.
Analyseneinschätzung und spezielle Programme zu seiner Bekämpfung fehlen fast vollständig.	There is almost a total lack of analytical appraisal or special programmes to combat it.
Für die Programme der Kommission in den Bewerberländern, Herr Kommissar, muß man das "fast " sogar weglassen.	And as far as the Commission programmes in the candidate countries are concerned, Commissioner, the word "almost" can be dispensed with.
Ich halte das für ein nicht zu akzeptierendes Versäumnis und wende mich in dieser Frage speziell an Sie.	I consider this an unacceptable oversight and I therefore refer this question to you specifically.
Antisemitismus ist ohne Zweifel weit verbreitet, existiert oft latent, was die Auseinandersetzung schwierig macht.	Antisemitism is, without doubt, widespread; often it is latent, which complicates the issue.
Wir haben heute am Vormittag in diesem Parlament eine seiner widerlichsten Formen erlebt, als die uralte Behauptung wiederholt wurde, die Juden seien am Antisemitismus selbst schuld.	This morning in this House we were witness to one of its most repulsive forms, when the age-old assertion that the Jews themselves are responsible for antisemitism was repeated.
Die Auseinandersetzung damit sollte für uns und die Kommission eine eigenständige und sehr, sehr konkrete Aufgabe sein!	This debate should therefore be a separate and very, very specific task for us and the Commission.
