. – Herr Präsident, meine Damen und Herren!	.
Wir haben uns in den letzten Tagen an den sechzigsten Jahrestag des 8. Mai 1945 erinnert. Wir erinnern aber auch an den 1. Mai 2004, als die Spaltung Europas beendet wurde.	Mr President, ladies and gentlemen, we have, over the past few days, observed the 60th anniversary of 8 May 1945, but we also recall 1 May 2004, when the division of Europe came to an end.
Jetzt kann auch in Europa zusammenwachsen, was zusammengehört. Dazu dienen die TEN-Projekte.	Now, in Europe, what belongs together can grow together, and the TEN projects help to bring this about, but we also know that the 30 TEN projects are a wish-list drawn up in a spirit of national ambition.
Wir wissen aber auch, dass die 30 TEN-Projekte ein Wunschkatalog der nationalen Egoismen sind. Die Brücke über die Straße von Messina hat mit dem Zusammenwachsen Europas nichts zu tun, sie steht aber in diesen Projekten.	The bridge over the Straits of Messina has nothing to do with European integration, but it is on the list.
Wir wissen, dass die Finanzierung aller 30 Projekte, die bis 2020 realisiert sein sollen, etwa 600 Milliarden ausmacht.	We know that funding all 30 projects, which are due to be completed by 2020, will call for some EUR 600 billion.
Wir wissen aber auch, dass wir von Seiten der EU – wenn man einen 20 %-Anteil voraussetzt –nach der jetzigen Finanzplanung 120 Jahre benötigen, damit die EU ihren 20 %-Anteil finanzieren kann.	We also know, though, that, if we presuppose a 20% share, the EU, under the present financial plan, will take 120 years to do that.
So viel Zeit haben wir nicht!	We do not have that much time.
So schön es auch ist, dass sich der Rat auf eine Euro-Vignette geeinigt hat – wir wissen aber, dass die Höhe der Maut nicht ausreicht, um z. B. den Brennertunnel zwischen Österreich und Italien zu finanzieren.	Yes, it is a good thing that the Council has agreed on a Euro-vignette, but we know that the amount levied will not be enough to fund, for example, the tunnel through the Brenner Pass between Austria and Italy.
Allein die Mauteinnahmen für Österreich würden bedeuten, dass wir 300 Jahre brauchen, bis Österreich seinen Anteil für den Brennertunnel finanzieren kann.	On the basis of the tolls that Austria collects, it would take 300 years for Austria to be able to fund its share of the Brenner tunnel.
Deshalb brauchen wir Prioritäten, wir brauchen Verkehrsprojekte europäischer Einheit.	That is why we need priorities; what we need is the sort of transport projects that will unite Europe.
Aus diesem Grund haben wir eine partei- und länderübergreifende Initiative gestartet.	This has prompted us to start an initiative transcending party and national boundaries.
Wir wollen als oberste Priorität für das Zusammenwachsen in Europa die Eisenbahnverbindungen von Berlin nach Warschau, Tallinn, Riga und Wilna, und wir wollen die Eisenbahnverbindung von Wien und Venedig nach Ljubljana, Bratislava, Prag und Budapest.	We want absolute priority to be given to the joining-up of the European rail links between Berlin, Warsaw, Tallinn, Riga and Vilnius, and we want a rail link between Vienna and Venice to Ljubljana, Bratislava, Prague and Budapest.
Mit diesen beiden Projekten haben wir alle 8 Hauptstädte der neuen Beitrittsländer erreicht. Dann kann Europa zusammenwachsen.	If we complete these two projects, we will have reached all eight capitals of the new Member States, and Europe will then be able to grow together.
Wir wollen jedenfalls lieber diese beiden Projekte bis 2010 zur Gänze realisiert haben, als bis 2020 30, 50 oder 48 Projekte halb fertig gestellt haben.	In any case, we would rather see these two projects fully realised by 2010 than have 30, 50 or 48 projects half-finished in 2020.
Nur wenn wir hier die Prioritäten setzen, kann Europa zusammenwachsen.	European integration is dependent on our setting priorities in this area.
