Herr Präsident, dieses ist die erste Fischereidebatte seit Amsterdam.	Mr President, this is the first fisheries debate since Amsterdam.
Das Parlament erhoffte sich von Amsterdam Fortschritte in der gemeinsamen Fischereipolitik im Sinne einer Entbürokratisierung der gesetzgebenden Prozesse und eines weiteren Versuchs in Richtung Demokratisierung, d.h. einer größeren Verantwortlichkeit des Parlaments.	Parliament hoped that Amsterdam would bring progress in the joint fisheries policy towards the debureaucratization of legislative processes and another attempt at democratization, by increasing the responsibility of Parliament.
Hierbei handelt es sich um einen ganz normalen politischen Anspruch einer demokratischen Versammlung in einer demokratischen Gesellschaft.	This is a perfectly normal political right of a democratic assembly in a democratic society.
Unsere Beiträge zu Amsterdam wurden jedoch ignoriert.	However, our contributions to Amsterdam were ignored.
Wir nähern uns nun dem Jahre 2002, und es ist unbegreiflich, daß das Parlament keine umfangreicheren Beiträge im Prozeß der Mitentscheidung leisten soll.	We are now approaching the year 2002, and it is incomprehensible that Parliament is not to make any more extensive contributions to the codecision process.
Der gesamte Binnenmarkt ist in den Prozeß der Mitentscheidung einbezogen.	The entire internal market is involved in the codecision process.
Und daher erscheint es noch weniger einleuchtend, daß die Fischerei hier ausgeschlossen sein soll, nachdem es nun eine Periode von vorübergehenden Ausnahmen gegeben hat, die nun ein Ende gefunden hat.	And that makes it all the more puzzling that fisheries are to be excluded, now that the period of temporary exemptions has come to an end.
Wir müssen die mangelnde Aufmerksamkeit, die uns der Europäische Rat zuteil werden ließ, mit einer noch strafferen Organisation und strengeren Überwachung unserer Arbeit in diesem Haus und mit größerer Offenheit kompensieren.	We must compensate for the lack of attention paid to us by the European Council by ensuring that our work in this House is even more tightly organized and strictly supervised, and by practising greater openness.
Die Herausforderung beginnt bei uns selbst.	The challenge begins here.
Das Parlament muß dem Fischereiausschuß die erforderlichen Kompetenzen erteilen.	Parliament must grant the necessary powers to the Committee on Fisheries.
Wir sollten daher auch die uns zugestandenen Kompetenzen im Prozeß der Mitentscheidung so weit wie möglich ausschöpfen.	We should therefore also make the fullest possible use of the powers granted to us in the codecision process.
Wir dürfen es nicht zulassen, daß die veterinärrechtlichen Fragen aus dem Fischereiausschuß herausgenommen werden und gleichzeitig auch ähnliche Fragen wie die Einrichtung spezifischer Laboratorien für Fischereiprodukte und ähnliches.	We must not allow the issues of veterinary law to be removed from the jurisdiction of the Committee on Fisheries, together with similar issues such as the establishment of specific laboratories for fisheries products, and so on.
Denn der Fachausschuß, so darf ich doch wohl behaupten, darf das höhere Wissen für sich in Anspruch nehmen!	Because I venture to assert that this specialized committee can rightly claim that it has the greater knowledge!
Wir behandeln heute auch die internationalen Fischereiabkommen mit Senegal und den Mauretanischen Inseln, wie wir gehört haben.	We are also dealing today with the international fisheries agreements with Senegal and Mauritius, as we have heard.
Ich beglückwünsche die Berichterstatter zu der Qualität ihrer informativen Arbeiten.	I congratulate the rapporteurs on the quality of their informative reports.
Doch auch hier muß ich sagen: Wir verlangen in Zukunft und werden das einklagen: größere Pünktlichkeit seitens der Kommission und des Rates, mehr Transparenz und eben mehr Kompetenzen.	Here again, though, I must say this: in the future we are going to demand, and take action to get, greater punctuality from the Commission and the Council, greater transparency and, especially, greater powers.
Der Ausschuß ist zum Dialog bereit und akzeptiert konstruktive Beiträge.	The Committee welcomes dialogue and accepts constructive contributions.
Aber er läßt sich nicht - da bin ich mir ganz sicher - als Instrument behandeln und läßt sich nicht auf Divergenzen ein, auch nicht mit anderen Ausschüssen dieses Hauses, die denjenigen, die von der Fischerei leben, schaden können.	But I can say with complete confidence that it will not allow itself to be used as a tool and will not get involved in any differences of opinion, including differences with other parliamentary committees, which may be harmful to those who depend on fishing for their living.
Und zum Schluß: Auch ich wünsche Frau Pery für die zukünftige neue Aufgabe alles Gute!	And, in conclusion, I too would like to wish Mrs Pery every success in her future position.
