Herr Präsident! Ich werde versuchen, mich an die Fakten zu halten.	– Mr President, I shall try to stick to the facts.
Faktum ist, dass es auf dem Gebiet der Energiepolitik sicherlich einige Fortschritte gegeben hat, gerade auch was den letzten Rat betrifft. Nur, Herr Ratspräsident, jetzt geht es um die Umsetzung.	One fact is that there has certainly been some progress on the energy policy front, at any rate as far as the last Council is concerned, but what we have to concern ourselves with now, Mr President-in-Office, is its implementation.
Ich würde mir wünschen, dass man viel mehr darüber nachdenkt, was die Umsetzung betrifft, was die Infrastruktur betrifft.	What I would like to see is a lot more thought given to implementation and infrastructure.
Poul Rasmussen und seine Initiative wurden schon erwähnt.	Reference has already been made to Poul Rasmussen and his initiative.
Wir haben am Montag die Richtlinien über die Transeuropäischen Energienetze beschlossen. Jetzt geht es aber darum, die Finanzierung aufzubringen.	On Monday, we adopted the directives on the Trans-European energy networks; we now have to get our hands on the money for them.
Wir haben zu wenig dazu im europäischen Budget, daher muss es nationale Budgets geben, die das ihre dazu beitragen.	Since there is too little for that purpose in the European Budget, we must find national budgets that will contribute their share.
Sie haben gesagt, wir sitzen alle in einem Boot, alle müssen rudern. Ich sehe noch nicht, dass alle rudern, aber ich hoffe, es kommt.	You said that we are all in the same boat, and that everyone has to row; I do not see everyone bent over the oars just yet, but I hope that will happen.
Was die außenpolitische Komponente betrifft – das möchte ich jetzt an die Kommission richten – so haben wir das seit Anbeginn, seit dem Amtsantritt der Kommission gefordert.	As regards the foreign policy elements – and this is something I would like to address to the Commission – we have been making this demand ever since the Commission was appointed, ever since it took office.
Es kommt spät, aber es kommt, und ich hoffe, dass wir in diesem Frühjahr noch einige Aussagen erhalten.	It is late in coming, but it is on the way, and I hope that we will get some statements in this half of the year.
Unsere Atomenergiepolitik – Herr Ratspräsident, Sie haben Recht – ist eine nationale Angelegenheit.	The President of the Council is right to say that our atomic energy policy is a matter for the nation states.
Ich unterstütze natürlich die österreichische Linie, aber die Frage der Sicherheit, auch der Weiterverbreitung, wird im Zusammenhang mit einer Erstarkung der Atomenergie eine große Rolle spielen, und da wünsche ich mir mehr Aktivitäten.	While I do of course endorse the Austrian approach, the issues of safety and of proliferation, along with the comeback that atomic energy is making, will have major roles to play, and that is where I would like to see more being done.
Wissenschaft und Forschung: Wenn ich mir hier die Liste anschaue, die im Ratsergebnis enthalten ist, dann ist es eigentlich eine traurige Liste.	Science and research: the list included with the Council conclusions is actually a sad one.
Es sind zwei Länder, nämlich Schweden und Finnland, die weit vorne liegen, damit wir überhaupt auf 3 % kommen.	Two countries – Sweden and Finland – are way out in front, and it is thanks to them that we hit the 3% mark.
Auch in Österreich sind wir leider noch nicht so weit, dass wir die 3 % auch wirklich erreichen können.	Nor, alas, is even Austria far enough advanced to reach 3%.
Auch da gilt es, dass alle rudern und dass vor allem die, die mehr Einkommen und eine höhere Wirtschaftskraft haben, mehr rudern, um überhaupt auf die 3 % zu kommen, die unsere Zielsetzung ist.	In this respect, too, we all need to pull on the oars, particularly those of us with higher incomes and greater economic clout, who must row more strongly, so that we achieve the 3% we have aimed for.
Letzte Bemerkung zur Dienstleistungsrichtlinie: Ich danke für die Unterstützung.	My last remark has to do with the services directive. I am grateful for your support.
Das ist ein wesentliches Element des sozialen Europas, wenn wir das so durchbekommen und wenn Sie das im Rat so durchbekommen.	This will be an essential element in the social Europe, provided that we can get it through this House and that you can get it through the Council.
Das ist ganz entscheidend.	That is quite crucial.
Sie haben die Arbeitgeber erwähnt. Nicht erwähnt haben Sie die Arbeitgeber im gemeinwirtschaftlichen Sektor – auch das ist ganz wichtig –, aber vor allem auch die Arbeitnehmervertretungen, die viel zu einem sozialen Europa beigetragen haben.	Although you referred to the employers, you did not mention the employers in the cooperative sector – which is itself of vital importance – or, in particular, the employees’ representative organisations, which have done much to bring about the social Europe.
