Herr Präsident, meine Damen und Herren! Ich möchte zunächst den Berichterstattern danken.	Mr President, I should like first of all to thank the rapporteurs.
Sie haben wahrlich eine komplizierte und schwierige Arbeit geleistet.	They have certainly carried out a complicated and difficult piece of work.
Ich denke, gerade das Parlament als Vertretung der Bürgerinnen und Bürger wird im Rahmen der kommenden Regierungskonferenz weiterhin eine intensive Arbeit zu leisten haben, damit sie tatsächlich den hohen Erwartungen der Menschen sowohl in der Union als auch in den Beitrittsländern gerecht werden kann.	I think that Parliament, as the representative of our citizens, will continue to have some intensive work to do within the framework of the forthcoming Intergovernmental Conference so that it might in actual fact do justice to the high expectations of people both in the European Union and also in the applicant States.
Unsere Fraktion wird sich aktiv mit eigenen Vorschlägen in die Debatte einbringen.	Our Group will actively involve itself in the debate by making a number of proposals of its own.
Wir kämpfen vor allem dafür, daß ein wahrhaft soziales und demokratisches Europa geschaffen wird, ein Europa, das das europäische Sozialstaatsmodell bewahrt, ein Europa, in dem der öffentliche Dienst nicht wegdereguliert wird und in dem alles getan wird, um Sozialdumping zu verhindern.	We are fighting above all for the creation of a genuinely social and democratic Europe, a Europe which retains the European model of the social State, a Europe in which public services are not deregulated away and in which everything is done to prevent social dumping.
Klar ist für uns, die sogenannten leftovers von Amsterdam dürfen nicht alleiniger Gegenstand der Regierungskonferenz bleiben.	It is clear to us that the Amsterdam left-overs ought not to remain the only subjects of the Intergovernmental Conference.
Die Union und ihre Mitgliedstaaten müssen angesichts der von uns allen gewollten Erweiterung endlich den Mut zu tiefgreifenden Reformen aufbringen, damit das politisch nach wie vor geteilte Europa demokratisch und sozialverträglich zusammenwachsen kann.	In view of the enlargement which we all want to see, the European Union and its Member States must finally summon up the courage to undertake radical reforms so that a still politically divided Europe might grow together democratically and in terms of the social contract between citizens.
Beunruhigend, ja geradezu alarmierend ist, was im Bereich der sogenannten Außen- und Sicherheitspolitik auf den Weg gebracht wird, mit welcher Vehemenz die bislang zivile europäische Integration ad acta gelegt wird und eine Militärunion geschaffen werden soll.	What is unsettling, indeed thoroughly alarming, is what has been set in motion in the field of foreign and security policy and the vehemence with which hitherto civil European integration is being shelved and a military Union is being created.
Im Bericht des Parlaments zum Beispiel wird verlangt, die Union müsse endlich Handlungsfähigkeit erlangen, Handlungsfähigkeit, die auf glaubwürdigen militärischen Mitteln basiert.	In Parliament' s report, for example, it is proposed that the European Union must finally acquire the ability to act - an ability to act based upon credible military resources.
Ich frage Sie alle, was, bitteschön, sind denn glaubwürdige militärische Mittel?	I would ask you all, please, what are credible military resources supposed to include.
Personenminen, Panzer oder gar Atomwaffen?	Personnel mines, tanks or even nuclear weapons?
Wohin die Reise geht, haben die Außen- und Verteidigungsminister am Montag in Brüssel festgelegt.	On Monday, in Brussels, the foreign and defence ministers defined where we are headed.
Von einem historischen Schritt war da die Rede.	This was an historic step.
Bis 2003 soll unter dem Dach der EU eine schnelle Eingreiftruppe geschaffen werden, de facto eine Europaarmee für 50 000 Mann für sogenannte Krisenoperationen in und um Europa.	By 2003, a rapid strike force is to be created under the umbrella of the EU, in effect a European army of 50,000 men for crisis operations in and around Europe.
Die deutsche Tageszeitung "Die Welt " charakterisierte dies gestern so, die klassische Verteidigung Europas bleibe allein Aufgabe der Nato, die EU-Eingreiftruppe stehe nicht in Konkurrenz zu ihr, sondern werde ihr neuer Trumpf.	Yesterday, the German daily newspaper, "Die Welt" characterised the plans as follows: the traditional defence of Europe would remain solely the responsibility of NATO; the EU strike force is not to compete with it but instead become its new trump card.
Vor diesem Hintergrund hatte unsere Fraktion bereits im Ausschuß den Antrag eingebracht, daß die Union Krieg als Mittel zur Lösung internationaler Konflikte ablehnt.	Against this background, our Group had already submitted a motion to the Committee to the effect that the European Union should repudiate war as a means of solving international conflicts.
Ich finde es schlichtweg unfaßbar, daß dieser Antrag im Ausschuß keine Mehrheit gefunden hat.	I find it downright incomprehensible that this proposal should not have found majority support in the Committee.
Unsere Fraktion wird diesen Antrag morgen im Plenum wieder einbringen.	Our Group will again submit this motion tomorrow in the Plenum.
Wir werden namentliche Abstimmung verlangen, denn wir sind der Meinung, die Bürgerinnen und Bürger haben ein Recht darauf zu wissen, wer in diesem Haus Krieg als legitim betrachtet.	We shall request a roll-call vote for we are of the opinion that citizens are entitled to know who in this Chamber regards war as legitimate.
