Herr Präsident, sehr geehrte Frau Kommissarin de Palacio, meine sehr geehrten Damen und Herren!	Mr President, Commissioner de Palacio, ladies and gentlemen, liberalisation must bring benefits.
Liberalisierung muss Vorteile bringen. Das haben die Berichterstatter sehr gut auf den Punkt gebracht.	I was pleased to see that the rapporteurs identified this as a key point.
Uns geht es darum, dass die Vorteile nicht durch neue Steuern kompensiert werden, sondern dass wir ein System schaffen, das ökologisch und betriebswirtschaftlich eine nachhaltige Energieversorgungssicherheit gewährleistet.	In our view, it is important that the benefits are not offset by new taxes and that we create a system which guarantees a sustainable and secure energy supply, in terms of both the environment and business management.
So wie ich heute Mittag entscheiden werde, ob ich ein Schnitzel oder Salat esse und damit die Energiezufuhr für meinen persönlichen Energiehaushalt bestimme, so möchte ich in Zukunft auch den freien Warenverkehr genießen, mich für Solar- oder Wasserkraft entscheiden können.	Just as I will decide this lunchtime whether to eat a schnitzel or a salad, thus determining the energy supply for my personal energy balance, in the future I also want to take advantage of the free movement of goods to be able to decide whether to have solar power or hydroelectric power.
Aber vielleicht nicht nur entweder oder, sondern es wäre schön, wenn ich sagen könnte, 50 % Solar- und 50 % Wasserkraft möchte ich in Zukunft in meinem privaten Haushalt oder in meiner Firma verwenden dürfen.	But perhaps it will not only be a choice between one or the other; it would be nice if I could say, in the future I want to be able to use 50% solar power and 50% hydroelectric power in my private house or in my company.
Hier lege ich allergrößten Wert darauf, dass es zu keiner Quersubventionierung kommt.	Here I attach the utmost importance to there being no cross-subsidisation.
Wir wollen beispielsweise insbesondere, dass die Endlagerung von Nuklearabfällen nicht aus anderen Bereichen quersubventioniert wird.	In particular, for instance, we do not want the final disposal of nuclear waste to be cross-subsidised from other sectors.
Wir wollen auch eine Grundversorgung, den Universaldienst und die Erfüllung gemeinwirtschaftlicher und ökologischer Verpflichtungen, allerdings durch öffentliche Ausschreibung, so dass die Leistungen gewährleistet werden, dass Effizienz im Mittelpunkt steht.	We also want a universal service and compliance with public service and environmental obligations; this will of course be achieved through public calls for tender, so that good service is guaranteed and efficiency is central.
Die Quantifizierung von Qualität beim Strom sollte durch eine externe zertifizierte Stelle gewährleistet sein.	An external certified body should be responsible for assessing quality in the electricity sector.
Wir wollen nämlich, dass in Zukunft auch erneuerbare Energie, Energieeffizienz und Energieeinsparung im Mittelpunkt stehen.	In the future, you see, we also want renewable energy, energy efficiency and energy-saving measures to be focal points.
In Zukunft darf es auch beim Netzpreis zu keiner Diskriminierung aufgrund von Strommenge oder Erzeugungsart kommen.	In the future, there must not be any discrimination in the network price on the basis of quantity of electricity or method of generation.
Jede Quersubventionierung soll in Zukunft unzulässig sein.	Nor should cross-subsidisation of any kind be admissible.
