Mir ist dabei durchaus bewusst, wie behutsam der Begriff "historisch" verwendet werden sollte.	I am fully aware how carefully the term 'historic' ought to be used.
Jedoch gibt es Situationen, in denen es ein Fehler wäre, die tatsächliche Dimension des Geschehens zu ignorieren, und heute stehen wir vor einer solchen Situation mit historischer Tragweite.	But there are situations where it would be a mistake to ignore the actual dimension of events, and we are faced today with one such situation with historic consequences.
Dabei habe ich als der für die Tschechische Republik zuständige Berichterstatter keine Veranlassung, überschwänglich oder gar euphorisch zu reagieren.	As rapporteur responsible for the Czech Republic, I have no reason to react with exuberance, let alone euphoria.
Zu frustrierend waren in der Vergangenheit die vielen unqualifizierten Äußerungen gewisser tschechischer Politiker, Aussagen, die den jeweiligen Wahlkämpfen zuzuschreiben waren.	The many unqualified statements by some Czech politicians in the past, statements made with an eye to the various election campaigns, have been too frustrating for that.
Dennoch sollten wir uns davor hüten, dem tschechischen Volk, einem Volk im Herzen Europas, den Beitritt zur Europäischen Union nur deshalb zu verwehren, weil Opportunisten, deren Namen in zehn Jahren wohl kaum jemand mehr kennen wird, sich verbale Entgleisungen geleistet haben.	We should be careful, though, not to deny the Czech people, a people at the heart of Europe, accession to the European Union simply because some opportunists, whose names will probably be almost forgotten in ten years' time, have been guilty of verbal gaffes.
Es bleibt der Einwand, es gehe gar nicht so sehr um die vielen kleinen und großen Opportunisten, sondern um die Frage nach einer möglichen Fortwirkung der Präsidentendekrete, die bei uns unter dem Namen Benes-Dekrete bekannt sind.	We are left with the objection that the problem is not so much the many opportunists, both small and great, but the question of the possible continuing effect of the presidential decrees known to us as the Bene? Decrees.
Was diesen Punkt angeht, so stehen die Tschechen in der selbst auferlegten Pflicht, das in Kopenhagen festgelegte Kriterium zu erfüllen, wonach es keine Diskriminierung von Minderheiten geben darf.	So far as this point is concerned, the Czechs have taken upon themselves the obligation to comply with the Copenhagen criterion that there can be no discrimination against minorities.
Sollte jemand in Tschechien nach dem Beitritt zur Europäischen Union dennoch dagegen verstoßen, so kann und wird die EU als Rechtsgemeinschaft entsprechende Mittel einsetzen.	Should anyone in the Czech Republic nevertheless be in breach of that after European Union accession, as a community of justice the EU can and will take appropriate action.
Dass bislang in Tschechien weder die Regierung noch das Parlament auf die Entschließungen unseres Europäischen Parlaments eingegangen ist, ist enttäuschend und bedauerlich. Darauf hat schon unserer Fraktionsvorsitzender hingewiesen.	The fact that neither government nor parliament in the Czech Republic have so far responded to our Parliament's resolutions is disappointing and regrettable, as our group chairman has already made clear.
Indes sollte die politische Geste seitens des Präsidenten Vaclav Klaus nicht kleingeredet werden.	President Vaclav Klaus's political gesture should not, however, be played down.
Die Tatsache, dass vor wenigen Wochen im März anlässlich des Jahrestages der deutschen Besetzung Böhmens und Mährens der höchste tschechische Repräsentant die Vertreibung der Sudeten-Deutschen bedauerte, ist ein ermutigendes Zeichen.	It is an encouraging sign that, a few weeks ago on the anniversary of the German occupation of Bohemia and Moravia in March, the highest Czech representative expressed regret for the expulsion of the Sudeten Germans.
Es ist ein Schritt in die richtige Richtung, dem hoffentlich weitere folgen werden.	It is a step in the right direction, which we may hope will be followed by others.
In jedem Fall ist Geduld im Umgang miteinander weiterhin nötig, denn Geschichtsbewältigung lässt sich schwerlich in ein Zeitraster pressen.	In any case, we still need patience in our dealings with one another because coming to terms with history is something on which it is hard to impose a time frame.
Im Übrigen sollte niemand denken, dass allein die Tschechen Probleme mit ihrer Geschichtsaufarbeitung haben, das Phänomen findet man nicht nur überall in den ehemaligen Ostblockstaaten, auch gestandene Mitgliedstaaten der Europäischen Union haben gelegentlich Probleme damit.	No one should think that the Czechs are the only ones having problems in dealing with their past; the phenomenon is not only found in all the countries of the former Eastern bloc, even long standing Member States of the European Union sometimes have problems with it.
Im Zusammenhang mit der Vergangenheitsbewältigung sollte eines beachtet werden: Wir wenden uns zurecht gegen kollektive Verurteilungen, aber tun nicht diejenigen Ähnliches, die die Tschechen nicht in der EU haben wollen, nur weil einige von den Tschechen unzumutbar sind.	There is one thing of which we should be careful when dealing with the past. We are right to oppose collective condemnations, but are not those who do not want the Czechs in the EU simply because a few Czechs are unreasonable doing much the same thing?
Denn, es ist heute schon darauf hingewiesen worden, wir nehmen nicht Regierungen auf, wir nehmen nicht Parteien und Fraktionen auf, sondern Menschen, wir nehmen Völker auf!	Someone has already pointed out today that we are not admitting governments, we are not admitting parties and groups, but we are admitting people, we are admitting nations.
