. – Herr Präsident!	.
Herr Kommissar, das war eine sehr technische Darstellung einer Sache, in der nichts weitergeht.	Mr President, Commissioner, that was a highly technical description of something that is going nowhere.
Die so zögerliche Umsetzung der Richtlinie über betriebliche Alterversorgungseinrichtungen ist enttäuschend und zugleich – aus meiner Sicht – fahrlässig.	That there is such dragging of heels when it comes to the transposition of the directive on occupational retirement schemes is not only disappointing but also – or so I believe – negligent.
Die Betriebspensionssysteme explodieren innerhalb der Europäischen Union, und die Richtlinie selbst bietet genug nationalen Umsetzungsspielraum, so dass man sie wirklich ausgestalten könnte.	Occupational pension schemes are burgeoning within the European Union, and the directive itself offers nation states enough scope to be able to organise them properly.
Die demographische Situation ändert sich dramatisch, und viele Staaten ziehen sich aus ideologischen Gründen schrittweise aus der Alters- und Gesundheitsvorsorge zurück; die Lücke sollen private Vorsorgemaßnahmen schließen.	The population statistics are changing dramatically, and many states are, for ideological reasons, progressively withdrawing from retirement and healthcare provision, the idea being that private provision should step into the gap.
Um die Pensionen in Zukunft sichern zu können, müssen zusätzliche Elemente der kapitalbildenden Altersvorsorge gefördert und mit Nachdruck betrieben werden.	If pensions are to be secured in future, other areas of capital-building retirement provision will have to be promoted and managed with vigour.
Wenn Betriebspensionen eine stabile zusätzliche Altersversorgung darstellen sollen, so muss gewährleistet sein, dass die Risiken für Arbeitnehmer praktisch reduziert werden. Denn zum schon traditionellen Arbeitsplatzrisiko der ArbeitnehmerInnen darf nicht auch noch das Risiko hinzukommen, dass ihre freiwilligen Beiträge und die Beiträge ihrer Unternehmen einem Verlustrisiko ausgesetzt sind.	If occupational pension schemes are to be a stable means of making additional provision for old age, there must be a guarantee of the risks to employees being reduced in real terms, for they already risk losing their jobs and must not also risk their own voluntary contributions, and the contributions made by the companies they work for, being put in jeopardy.
Deshalb muss eine eindeutige Trennung zwischen den Unternehmen und der Einrichtung der betrieblichen Altersversorgung gewährleistet sein, damit z. B. im Falle eines Unternehmenskonkurses oder eines freiwilligen Arbeitsplatzwechsels die erworbenen Ansprüche nicht verloren gehen.	That is why there must be an explicit separation guaranteed between the businesses and the institution for occupational retirement provision, so that, for example, the entitlements acquired are not lost in the event of the business going bust or the employee changing job of his or her own accord.
Ein europaweit organisierter Binnenmarkt für betriebliche Altersversorgung bedeutet für die ArbeitnehmerInnen mehr Mobilität, und die wollen sie ja.	A single market for occupational retirement provision organised on a European scale would mean more mobility for workers, and that is precisely what they want.
Neben der Entkoppelung des Arbeitsplatzrisikos vom Risiko der Vorsorgekapitalansprüche der Arbeitnehmer im Falle des Unternehmenskonkurses muss es Mindeststandards für die Einrichtungen der betrieblichen Altersversorgung mit klaren Informationsrechten der Aufsichtsbehörden, aber auch der Arbeitnehmer geben.	Alongside the decoupling of the risk of job loss from the risk of employees’ claims on the amassed capital in the event of the business going into administration, there must be minimum standards for occupational pension institutions, which must involve explicit information rights for both the supervisory authorities and the employees.
Die Vorsorgeanwärter und die Leistungsempfänger müssen Anspruch haben auf Informationen über die Kapitalanlage ihres jeweiligen Altersversorgungssystems bzw. die Kapitalmarktsituation.	Both those entitled to benefits and those actually in receipt of them must be entitled to receive information on the way in which their scheme’s capital is invested or on the state of the stock market.
Wenn möglich sollen die Arbeitnehmer auch bei der Auswahl dieser Institutionen durch ihr Unternehmen ein Mitspracherecht besitzen.	Employees should also, if possible, have a right to be consulted by their companies when the choice of these institutions is made.
Die Umsetzung dieser in den Erwägungsgründen 18 bis 23 genannten Ziele fördert nicht nur die Sicherheit der Arbeitnehmer, sondern ist auch ein Gebot der modernen Kapitalmarktaufsicht in der Gemeinschaft.	If the objectives named in recitals 18 to 23 are achieved, that not only puts the workers in a more secure position, but is also what modern stock market supervision in the Community requires.
Handeln ist Gebot der Stunde, Herr Kommissar, das sind wir ja auch sonst von Ihnen gewöhnt.	Now, Commissioner, is the time for action, and action is what we are used to getting from you.
