Frau Präsidentin, liebe Kolleginnen und Kollegen!	Madam President, ladies and gentlemen.
Es war hier vom europäischen Sozialmodell und vom europäischen System von Herrn Pronk die Rede.	Mr Pronk talked about the European social model and the European system.
Ich glaube, wir müssen das dynamischer betrachten.	I think we must look at that a little more critically.
Es geht nicht an, daß wir uns einfach darauf beschränken zu verteidigen, was einmal war.	We are not here to limit ourselves to defending the status quo.
Es gibt keinen Umbau ohne Verteidigung, das ist richtig, Verteidigung gegen die Landnahmeversuche des neoliberalen Projektes.	It is true that there is no change without defence, defence against the neo-liberal attempts to seize territory.
Aber es gilt eben auch: Angriff ist die beste Verteidigung.	But it is equally true that attack is the best form of defence.
Wir haben die Chance, die europäische Konstitution als eines der allerersten Niveaus zur Koordinierung von Europäisierung und Demokratisierung der Wirtschaft anzustreben.	We have the opportunity to design the European constitution as one of the basic levels for coordinating the Europeanisation and democratisation of the economy.
Das mag vermessen klingen, den einen zu aggressiv, den anderen zu optimistisch.	That may sound presumptuous, too aggressive for some, too optimistic for others.
Aber die reale Lage ist doch die, daß die neoliberale Offensive gerade auf EU-Ebene die wirksame Existenz von Mitgestaltungsmöglichkeiten der Arbeitnehmer auf breiter Ebene bedroht und zurückzudrängen begonnen hat.	But that is the real situation: the neo-liberal offensive in Europe especially is threatening and has started to reduce the effective existence of employees' chances to help shape affairs at the broader level.
Das geht jedenfalls zu weit.	That is going too far.
Wir sollten uns hier gemeinsam zumindest vornehmen, die gegenwärtige negative Dynamik dieses Prozesses umzukehren, und dazu ist der Bericht von Herrn Menrad ein allererster Schritt.	The least that we should decide here to do together is to reverse the current negative force of this process, and Mr Menrad's report is the first step in that process.
Aber wenn erst einmal die umgekehrte Dynamik in Gang gekommen ist, dann haben wir überhaupt keinen Grund, sie eben dort wieder zum Halten zu bringen, wo sie in unseren bisherigen Nationalgeschichten in der letzten Strukturierungsphase zum Halten gekommen ist.	But once the reverse force is under way we have no reason to bring it to a halt at the structure stage where it stopped in our national histories.
Wir sollten sehen, daß wir dann wirklich zugunsten einer Demokratisierung der Wirtschaft zusätzliche Schritte machen.	We should ensure that we really make further progress along the lines of democratising the economy.
Und wenn die Leute, die mit ihrem neoliberalen Vorstoß diese Dynamik in Gang gebracht haben, sich dann beklagen, haben sie selber schuld.	If the people who propelled this neo-liberal dynamic force then start to complain, they only have themselves to blame.
