Vizepräsident der Kommission. Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen, I should like to make just two brief comments.
Ich möchte nur zwei kurze Bemerkungen machen. Einige Teilnehmer an der Debatte, die ich im Augenblick aber nicht mehr sehe, haben kritisiert, dass das REACH-Projekt das Schutzniveau für die in der Chemieindustrie Beschäftigten beeinträchtigen würde.	Some of the participants in this debate, who I can no longer see here at the moment, have expressed the criticism that the REACH project would reduce the level of protection for employees in the chemicals industry.
Ich muss mit aller Entschiedenheit sagen, dass dies einfach Unsinn ist.	I can state conclusively that that is pure nonsense.
REACH kann das Schutzniveau in der Chemieindustrie nicht herabsetzen.	REACH cannot reduce the level of protection in the chemicals industry.
Die entsprechenden Arbeitsschutzbestimmungen bleiben vollständig in Kraft.	The relevant provisions on worker protection remain in full force.
Durch REACH wird nichts erlaubt, was bisher verboten war.	REACH does not permit anything that was previously prohibited.
Es wird ganz im Gegenteil dazu kommen, dass eine ganze Reihe von Stoffen, mit denen Beschäftigte bisher zu tun hatten, ihnen nicht mehr zugemutet werden.	Quite on the contrary, employees will no longer be expected to deal with a whole string of substances for which they were previously responsible.
REACH bringt also in jedem Fall für die Sicherheit der Beschäftigten am Arbeitsplatz eine deutliche Verbesserung.	At all events, therefore, REACH brings about a clear improvement in the safety of employees in the workplace.
Darum muss ich dieses Argument von Mitgliedern des Hauses, die so tun, als würden sie Arbeitnehmerinteressen vertreten, doch sehr deutlich zurückweisen.	Therefore, I must reject unambiguously this argument on the part of Members of Parliament who are acting as though they are representatives of workers' interests.
Als zweiten Gesichtspunkt möchte ich erwähnen, dass viele Rednerinnen und Redner mit Recht darauf hingewiesen haben, dass es jetzt darauf ankommt, REACH unbürokratisch, transparent, entschlossen, aber auch vollständig umzusetzen.	My second point is that many speakers have rightly pointed out that the important thing now is to implement REACH fully as well as transparently, resolutely and with the avoidance of unnecessary red tape.
Das verlangt eine unendliche Zahl von Initiativen, Projekten und Maßnahmen. Ich könnte sie Ihnen aufzählen, aber dazu reicht die Zeit nicht.	This requires an endless number of initiatives, projects and measures - I could list them all to the House, but there is not enough time.
Ich habe dem Vorsitzenden des Umweltausschusses bereits angeboten, im Februar in den Ausschuss zu kommen und dort ausführlich über die Maßnahmen zu berichten, die die Kommission im Hinblick auf die Umsetzung von REACH entweder bereits unternommen hat oder zu unternehmen plant.	I have already spoken to the Chairman of the Committee on the Environment, Public Health and Food Safety and offered to visit the committee in February and present a detailed report on the measures the Commission has either already taken or plans to take with regard to the implementation of REACH.
Dabei möchte ich ganz besonderen Wert auf die Beantwortung all der Fragen legen, die hier gestellt worden sind und die sich auf Erleichterungen und Hilfestellung für die kleinen und mittleren Unternehmen in Europa beziehen sowie die vielen Hunderttausende von Beschäftigten, die davon betroffen sind.	At the same time, I should like to attach particular importance to answering all the questions that have been asked here about support for European SMEs and a relaxation of the requirements imposed on them, and about the many hundreds of thousands of employees affected.
