Frau Präsidentin! Gestatten Sie mir, daß ich mit dem letzten Punkt gleich einmal aufräume.	Madam President, if I may I should like to clear up that last point immediately.
Herr Telkämper hat gesagt, es sind Gerüchte.	Mr Telkämper refers to rumour.
Wir sollten uns hier zu gut sein, um im Plenum Gerüchte zu kolportieren.	We should not stoop to peddle rumours in this chamber.
Wenn in einem Land, in dem es sehr dramatisch zugeht, versucht wird, einen Beitrag zur Ausbildung von Sicherheitskräften zu leisten, so daß sie zu zivilen Polizeikräften ausgebildet werden, ohne daß die Bewaffnung in den Händen der Stiftungen liegt, dann, meine ich, ist das auch ein Beitrag zu den Forderungen, die wir hier aufstellen.	If an attempt is made, in a country where such tragic events are taking place, to help with the training of security forces so that they can develop into civilian police forces, without the institutes being responsible for arming them, then I believe that, too, represents a contribution to achieving the objectives this House would like to see achieved.
Aber nun zu dem, worum es uns in der Entschließung heute geht: Die Aufzählung von Katastrophen gehört in diesem Teil der Plenarwoche ja schon fast zu den Gegebenheiten.	But now for the subject of today's motion. The catalogue of disasters at this time in the part-session has become almost a matter of routine.
Wir stellen auch immer wieder fest, daß die Maßnahmen, die ergriffen wurden, wirkungslos geblieben sind.	Time after time, too, we hear that the action taken has produced no effect.
Deswegen halte ich es für sehr notwendig, daß man zu neuen Maßnahmen kommt.	So I regard it as an absolute necessity to come up with a different kind of action.
Wenn die Frage der großen Flüchtlingslager nicht zu lösen ist, wenn es nicht möglich ist, das durchzusetzen, was Frau Ogata gefordert hat, nämlich die Entwaffnung der Milizen in den Lagern, dann stellt sich doch die Frage, ob wir nicht die Anstrengungen darauf richten müssen, daß diese Lager dezentralisiert werden und es nicht mehr möglich ist, daß sich zwischen 200.000 Flüchtlingen so und so viele Milizionäre verstecken und Banditen dort ihren schwunghaften Waffenhandel treiben.	If the problem of the overcrowded refugee camps cannot be solved, if it is impossible to achieve what Mrs Ogata has called for - the disarming of the militia in the camps - then the question arises of whether we should not direct our efforts towards decentralizing those camps, making it impossible for so many militia men to find concealment among 200, 000 refugees, and for bandits to pursue their flourishing arms trade there.
Wir hören immer wieder - auch in dem Papier der gegenwärtigen Präsidentschaft kam das zum Ausdruck - die Worte: " besorgt" , " fordert" , " verurteilt" .	We constantly hear - it happened again in this presidency's paper - words like 'concerned' , ' demands' , ' condemns' .
Damit haben wir noch kein Problem gelöst.	Those words have not solved any problems yet.
Auch Europa muß sich endlich einmal aufraffen, mit einer Truppe, mit einem militärischen Einsatz die humanitären Rechte zu sichern.	Europe, too, must finally get its act together and send troops, a military force to safeguard humanitarian rights.
Und wenn wir nachher den Bericht von Herrn Fassa diskutieren, haben wir darin genau diese Forderung auch vom Entwicklungsausschuß festgeschrieben, und ich hoffe, daß wir auf diesem Wege dorthin kommen, daß wir Recht auch durchsetzen und es nicht nur reklamieren.	And when we come to debate Mr Fassa's report in due course, we shall find that same demand expressed by the Committee on Development. And I hope that this approach will enable us to enforce the law, instead of just demanding it.
