Frau Präsidentin, Frau Ratspräsidentin, Herr Kommissionspräsident, liebe Kolleginnen und Kollegen!	Madam President, Madam President-in-Office, Mr President of the Commission, ladies and gentlemen.
Durch das Referendum in Irland wird der Gipfel in Göteborg eine noch größere Bedeutung haben, als wir ohnehin angenommen haben.	Because of the referendum in Ireland, the summit in Gothenburg will be even more important than we thought it would.
Wir als Fraktion der Europäischen Volkspartei (Christdemokraten) und der europäischen Demokraten sagen, dass Göteborg, gerade weil es jetzt Unsicherheiten, weil es Irritationen, weil es in den Ländern Mitteleuropas Besorgnisse gibt über ihre Mitgliedschaft in der Europäischen Union, ein Signal sein muss, dass die Länder in der Mitte Europas in der Europäischen Union willkommen sind und dass die Erweiterung der Europäischen Union jetzt die Priorität der Prioritäten ist.	As the Group of the European People's Party (Christian Democrats) and European Democrats, we think that, because of the present uncertainties, because of the confusion, because the central European countries are worried about their membership, the message to come out of Gothenburg must be that the central European countries are welcome in the European Union and that the enlargement of the European Union is now our top priority.
Das müssen wir den Menschen in der Mitte unseres Kontinents deutlich sagen.	And we must say as much, loud and clear, to the people of central Europe.
Unsere Fraktion ist seit langer Zeit dafür, dass sich an den nächsten Europawahlen im Jahre 2004 erste neue Völker beteiligen können, sollen.	Our group has long favoured the first new countries' being able to take part in the next European elections in 2004, and rightly so.
Dieses Signal muss gegeben werden.	We must send out this message.
Wir müssen auch flexibel sein.	We must also be flexible.
Wir haben jetzt die Debatte um die Strukturfonds.	We are currently debating the Structural Funds.
Einige wollen alles behalten, was sie bisher hatten.	Some people want to keep everything they had in the past.
Andere wollen die Strukturfonds überhaupt abschaffen.	Others want to do away with the Structural Funds altogether.
Wir als Fraktion der europäischen Christdemokraten sagen, Solidarität verdienen diejenigen in Europa, die am bedürftigsten sind. Deswegen brauchen wir auch in Zukunft die Strukturfonds, und diese müssen konzentriert werden auf die Länder, denen es in unserer zukünftigen Europäischen Union am schlechtesten geht.	The PPE-DE Group believes that those most in need deserve our solidarity, which is why we shall continue to need the Structural Funds in the future and why they must focus on the countries in the future European Union which are worst off.
Denn Solidarität darf kein Schlagwort sein, sondern muss sich durch die ganz konkrete Tat bewähren.	Solidarity should not just be a slogan; it should be manifested in the form of specific deeds.
Ich hatte gestern ein beeindruckendes Gespräch, wie viele andere Kolleginnen und Kollegen meiner Fraktion, mit dem Bischof Alfons Nossol aus Oppeln, dem früheren Schlesien, das heute Polen ist.	Yesterday I had a most impressive conversation, together with numerous colleagues from my group, with Bishop Alfons Nossol from Oppeln, formerly in Silesia and now part of Poland.
Dort lebt eine Minderheit von 300 000 Menschen.	A minority of 300 000 people live there.
Seitdem der Kommunismus in Polen verschwunden ist, ist es möglich, dass diese Minderheit ihren eigenen Gottesdienst in ihrer eigenen Sprache neben der polnischen Sprache abhält.	Since the demise of Communism in Poland, this minority has been able to worship in both their own and the Polish language.
Diese Menschen dort in Polen, wie auch die Ungarn in der Slowakei oder in Rumänien, schauen jetzt auf dieses Europa und erwarten, dass wir die Tore unserer Wertegemeinschaft der Europäischen Union nicht verschließen, sondern sagen: Ihr seid willkommen, wenn ihr die Voraussetzungen für die Aufnahme in unsere Wertegemeinschaft der Europäischen Union geschaffen habt.	These people in Poland, like the Hungarians in Slovakia or Romania, are looking towards Europe, hoping that we will not slam the door to our community of values in the European Union in their face and that we shall say: you are welcome, provided that you have set up the conditions needed by our community of values.
(Beifall)	(Applause)
Seien wir flexibel, was auch die Fragen der Freizügigkeit angeht, dass wir nicht schematische Lösungen schaffen, die beleidigend sind für die Länder Mitteleuropas.	We also need to be flexible when it comes to freedom of movement, so that we do not create structures which are offensive to the central European countries.
Wir brauchen Lösungen, die natürlich sowohl dem Interesse der Europäischen Union dienen als aber auch dem Interesse der Beitrittsländer.	Naturally, we need solutions that serve the interests of the European Union, but they must also be in the interests of the candidate countries.
Ich empfehle, dass wir uns bemühen, die notwendige Flexibilität zu gewährleisten.	I suggest that we make an effort to guarantee the flexibility needed here.
Nun zu Irland: Hüten wir uns vor schnellen Ratschlägen Irland gegenüber.	Now to Ireland. I think we should guard against meting out swift advice to Ireland.
Es ist jetzt die irische Regierung, die den Weg weisen muss, wie es weitergehen soll.	It is up to the Irish government now to show the way forward.
Ich mahne insbesondere die größeren Staaten der Europäischen Union, die in der Vergangenheit manchen Fehler begangen haben, indem sie meinten, den Kleinen den Weg weisen zu können: Halten Sie sich zunächst zurück und lassen Sie jetzt zunächst einmal eine Antwort durch Irland geben!	In particular, I urge the larger Member States of the European Union, which have often erred in the past by thinking they could dictate to the small Member States, to hold back to start with and at least let Ireland respond.
Dann werden wir sehen, wie wir diesen Weg weitergehen.	Then we shall see what needs to be done.
(Beifall)	(Applause)
Frau Präsidentin, Sie haben gesagt - und ich höre das mit sehr großer Freude -, dass die schwedische Präsidentschaft nun für den Konvent ist.	Madam President-in-Office, you said - and it was music to my ears - that the Swedish presidency is now in favour of a convention.
Wir haben gemeinsam einen weiten Weg zurückgelegt.	We have come a long way together.
Aber kämpfen Sie auch dafür, vor allen Dingen, wenn Sie nicht die Unterstützung bekommen.	But please fight for it, especially if you fail to muster complete support.
Die Endentscheidungen werden ja unter belgischer Präsidentschaft getroffen.	Of course, the decisions will be taken under the Belgian presidency.
