Herr Präsident, ich hoffe, Sie schauen bei mir auch nicht auf die Uhr.	Mr President, I hope that you will not need to watch the clock while I am speaking.
Wir haben heute vormittag schon sehr viel zum Thema Erweiterung gehört.	This morning we have already heard a great deal on the subject of enlargement.
Wir haben auch darüber gesprochen, daß es hier nicht nur darum geht, eine historische Chance zu nutzen, sondern daß wir sehr viel tun müssen, um diese Chance auch tatsächlich nutzen zu können.	We have also talked about how this has to do with more than just making use of a historical opportunity, as we have to do a great deal before we can actually use this chance.
Wir haben über Heranführungs- und Vorbeitrittsstrategie gesprochen, wo es darum geht, daß wir bei den Kandidatenländern den Prozeß der wirtschaftlichen und politischen Heranführung an das gemeinsame Europa so intensiv wie möglich vorantreiben.	We have discussed pre-accession strategies in the applicant countries, which involve driving forward as intensively as possible the process of economic and political accession to a common Europe.
Wir müssen allerdings nicht nur bei den Kandidatenländern sehr viel tun, auch bei uns gibt es Hausaufgaben zu erledigen.	But although we have a great deal to do in the candidate countries, there is also homework to be done here.
Wir reden in diesem Zusammenhang sehr häufig davon, daß wir institutionelle Reformen brauchen.	We often talk for instance about the need for institutional reforms.
Das ist ein wichtiges Thema, aber es ist nicht das einzige.	This is an important issue but it is not the only one.
Wir haben auch in unserem Bereich noch jede Menge wirtschaftliche Umstrukturierungsmöglichkeiten, um unsere eigenen Zukunftschancen zu sichern.	For example, there is much potential here for economic restructuring in order to safeguard our own chances for the future.
In diesem Zusammenhang gibt es für mich ein ganz besonders wichtiges Stichwort; Österreich als das Land mit wahrscheinlich einer der längsten Außengrenzen zu den Kandidatenländern ist daran interessiert, muß daran interessiert sein, daß wir für diese Grenzregionen auch in der Form Sorge tragen, daß der Übergang und die Öffnung der gemeinsamen Grenze so organisiert werden, daß auf beiden Seiten der Grenze der Vorteil überwiegt und niemandem Schaden zugefügt wird.	In this regard, I think that there is one important key idea. Austria, the country which probably shares one of the longest external borders with the candidate countries, is justifiably interested in ensuring that the crossing and opening of the common border is organised in such a way as to bring advantage to both sides and harm to neither.
Im Ausschuß für Regionalpolitik wurde in langen Diskussionen sehr viel erreicht.	The long discussions in the Committee on Regional Policy have achieved a great deal.
Ich bedanke mich besonders bei der Regionalkommissarin Monika Wulf-Mathies.	I would particularly like to thank the Regional Affairs Commissioner, Mrs Wulf-Mathies.
Wir haben gestern abend im Rahmen der Fragestunde bereits kurz über dieses Thema diskutieren können. Diese Kooperationsbereitschaft wurde heute auch zu Recht von allen Seiten des Hauses hervorgehoben.	Yesterday evening during Question Time, we touched on this subject briefly, and today all sides of the House have rightly emphasised this willingness to cooperate.
Sie hat zu guten Ergebnissen geführt. Es kann aber immer noch ein wenig mehr werden.	It has led to some fine results, but a little bit more could still be achieved.
Es kann und es muß vor allem mehr werden mit gesichertem Geld auf der einen und sehr vielen guten Ideen aus den Regionen auf der anderen Seite.	More could and should be achieved, given that the money is guaranteed and there are many good ideas from the regions.
Wir dürfen nicht immer darauf warten, daß uns von Europa etwas vorgegeben wird. Wir müssen die Dinge selbst in die Hand nehmen.	We should not always be waiting for Europe to lead the way; we must take things in hand ourselves.
In diesem Zusammenhang hätten wir bei den Vorschlägen, die die Kommission angeboten hat und denen wir im Grunde genommen inhaltlich voll zustimmen und die wir auch unterstützen wollen, das eine oder andere vielleicht gern anders gehabt.	On this subject, although in essence we fully approve and support the content of the Commission proposals, we would perhaps have liked to have seen one or two things treated differently.
Vielleicht auch ein eigenes Ziel "ländlicher Raum" . Aber wir sind auch damit zufrieden, daß wir sicher wissen, daß dieser ländliche Raum mit fixen Bevölkerungsanteilen entsprechend abgesichert werden kann.	Perhaps also a separate Objective for rural areas would have been good, although we are satisfied knowing that the rural area can be suitably safeguarded by specifying percentages of the population.
Für die nächsten Jahre und für den Übergang besonders wichtig sind auch phasing-out - Regeln, ein langes phasing-out für jene Gebiete, die nach den künftigen Kriterien nicht mehr förderfähig sein müssen, weil sie es bereits geschafft haben.	For the next few years and for the transition period the phasing-out rules are particularly important, as is a long phasing-out period for areas which will no longer be eligible for assistance under the future criteria because they no longer need it.
