Herr Präsident, ich kann mich den Worten meiner Vorredner eigentlich nur anschließen.	Mr President, I can only agree with the words of the previous speakers.
Wir müssen uns doch fragen, wann dieses Karussel aus Gewalt, Mord, Enführungen und Geiselnahmen in diesem Land nun endlich endet, wann endlich die politischen Kräfte und die verantwortlichen Demokraten stark genug sein werden, die Waffen schweigen zu lassen und Korruption und Drogenhandel zu besiegen.	We do have to ask when this circle of violence, murder, kidnapping and hostage-taking will finally end, when the political authorities and the responsible democrats will finally be strong enough to silence the guns and stamp out corruption and drug trafficking.
Die Regierung Pastrana - und wir beglückwünschen sie dazu - beginnt mit der Kraft einer neuen Regierung, jetzt mit der stärksten Konfliktpartei zu verhandeln, mit allen Schwierigkeiten, die das bedeutet.	The Pastrana government - and we congratulate them on this - are using the strength inherent in a new government to open negotiations with the strongest of the warring factions, with all the difficulties this involves.
Wir können nur hoffen, daß auch mit den anderen Gruppen Verhandlungen folgen, daß Entführungen, Geiselnahmen, Mord von seiten der paramilitärischen Gruppen, aber auch der Guerilla enden und daß endlich auch das Militär versteht, daß es nicht nur als Verteidiger der Staatsmacht im militärischen Sinn auftreten soll, sondern auch als Verteidiger von demokratischen und humanen Verhaltensweisen.	We can but hope that negotiations with the other groups will follow, that the paramilitary groups as well as the guerrillas will stop the kidnapping, hostage-taking and killing and that the armed forces finally come to realise that their function is not only to defend the power of the state in a military sense, but also to defend democratic and humane practices.
Auf diesem Gebiet hat sowohl das Militär, aber auch - wie schon gesagt wurde - der Rechtsstaat Kolumbien, so er einer werden will, wirklich noch sehr viel zu lernen, und wir müssen ihm dabei helfen.	In this respect, not only the armed forces but also, as has been said already, the constitutional State of Colombia - assuming it wishes to become one - certainly still have a very great deal to learn, and we must help them in that learning process.
Es ist entwürdigend für ein Land, an der Spitze einer solchen Negativliste zu stehen.	It is degrading for a country when its name appears at the top of such a blacklist.
Noch grausamer und schlimmer ist es aber für seine Menschen.	But it is even worse and even more horrific for its people.
Wir fordern die Regierung auf und unterstützen sie darin, die Verteidiger der Menschenrechte zu schützen, und wir unterstützen ihre Bemühungen um Frieden und Gerechtigkeit.	We call on the Colombian Government to protect the defenders of human rights and shall support their efforts to do so. We shall also support them in their quest for justice and peace.
Bei unserer Reise nach Bogotá im Dezember haben wir auch mit der UNO-Hochkommissarin für Bogotá gesprochen, die sich mit sehr viel Mut für die Menschenrechte eingesetzt hat.	During our visit to Bogota in December, we also spoke to the UN High Commissioner for Bogota, who has been an extremely courageous champion of human rights.
Es war die Frage, ob dieses Amt erhalten bleiben könnte.	There was a question mark over the future of her post.
Wir hoffen das sehr, und das ist auch meine Frage an die Kommission, ob sie alles tut, damit dieses Amt, das in Kolumbien hochgeschätzt ist, auch erhalten bleibt.	We very much hope that the office of High Commissioner, which is held in high esteem in Colombia, can be preserved, and I should like to ask the Commission whether it is doing everything in its power to ensure that the post will in fact be preserved.
